sentence_index,NN,IN,JJ,NNS,DT,VBG,RB,VB,CC,VBP,PRP,VBZ,TO,PRP$,WRB,VBN,VBD,MD,WP,WDT,POS,EX,RBR,JJR,CD,NNP,RBS,RP,JJS
1,21,21,18,19,9,4,5,7,6,4,4,3,5,4,2,2,1,5,1,1,4,0,3,0,0,1,0,0,0
2,21,19,15,11,8,5,6,6,4,5,7,3,3,3,3,2,0,3,0,0,2,1,1,0,0,0,0,0,0
3,19,16,14,10,9,5,4,5,3,6,8,3,4,5,5,4,2,2,1,1,0,0,0,1,0,0,0,1,0
4,17,13,14,10,8,12,7,3,5,5,8,3,4,2,3,3,4,0,2,0,0,0,0,0,1,0,0,0,0
5,19,15,15,13,11,7,7,6,4,2,5,2,2,2,2,1,6,1,0,1,0,1,0,0,0,0,0,0,0
6,27,14,10,5,11,9,5,6,4,4,6,1,2,3,4,0,6,1,0,0,0,2,0,2,0,0,0,0,0
7,23,17,11,7,11,12,6,6,6,4,4,2,3,3,3,1,6,1,0,1,0,1,1,0,0,0,0,0,0
8,20,15,14,12,9,10,7,5,5,6,3,3,5,3,2,3,1,2,1,0,2,1,0,1,0,2,0,0,1
9,22,18,14,9,8,6,10,4,5,5,7,3,5,5,2,2,5,0,1,1,0,2,3,0,1,0,0,0,0
10,27,13,11,5,9,5,5,4,4,3,4,5,1,4,2,2,2,2,1,1,0,0,0,0,1,0,1,0,0
11,30,18,14,12,11,11,13,8,6,3,8,5,4,4,5,2,6,1,1,2,1,0,1,1,1,0,0,0,0
12,18,8,12,10,8,6,7,7,7,3,3,5,3,5,2,1,0,3,0,2,1,1,0,0,1,0,0,0,0
13,18,14,15,14,10,5,10,4,4,6,7,3,4,5,6,3,6,0,0,1,0,1,1,1,1,0,1,1,0
14,13,12,16,17,10,5,8,6,3,4,1,0,4,3,3,4,4,1,0,2,0,1,0,0,0,0,0,0,0
15,22,15,12,10,13,11,8,4,4,6,4,6,5,2,4,6,0,1,0,1,3,0,1,0,0,0,0,1,0
