sentence_index,NN,IN,JJ,DT,NNS,PRP,VBG,RB,VB,VBP,CC,VBZ,VBD,NNP,WRB,TO,PRP$,RP,VBN,WP,MD,WDT,POS,JJR,JJS,RBR,CD,EX,PDT,UH,FW,RBS
1,13,9,5,5,4,4,4,5,1,1,3,3,2,5,1,0,1,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0
2,12,11,10,7,4,8,5,5,2,8,5,3,0,3,1,3,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0
3,15,8,14,6,5,4,5,6,3,5,7,3,1,3,2,2,3,1,2,1,1,0,2,0,1,0,0,1,0,0,0,0
4,18,13,9,6,5,8,5,10,6,5,5,6,0,5,1,1,2,2,1,2,1,1,2,0,1,0,0,1,0,0,0,0
5,14,8,9,6,5,11,4,8,5,5,4,2,1,6,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
6,13,7,10,11,4,6,1,3,2,3,4,9,3,5,2,2,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
7,15,9,14,8,7,8,4,8,10,4,8,4,2,4,2,2,3,0,1,1,4,0,0,0,2,0,1,1,0,1,1,0
8,20,18,6,11,9,10,9,7,6,5,8,5,1,3,1,2,1,2,1,1,3,2,1,0,0,0,0,0,0,0,1,0
9,18,17,13,9,1,15,6,10,12,3,5,6,3,1,1,3,3,1,0,1,4,0,2,0,1,1,0,0,0,0,0,0
10,12,10,16,5,9,9,9,3,6,7,4,1,4,3,3,3,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
11,24,16,14,8,5,19,6,8,8,4,5,5,12,3,3,2,2,3,2,1,2,0,1,1,1,2,1,1,1,0,0,0
12,19,14,6,11,8,10,8,9,6,6,5,6,1,3,0,2,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0
13,12,13,9,6,6,6,6,9,8,4,3,4,4,1,2,1,3,3,4,1,2,1,0,0,0,0,0,1,0,1,0,0
14,21,9,7,10,6,7,6,7,8,3,5,0,9,5,1,3,3,3,0,1,2,1,0,1,0,1,0,0,0,0,0,0
15,23,16,7,10,4,9,6,9,6,5,3,4,2,3,2,2,0,1,1,0,2,2,1,0,0,0,0,0,0,1,0,0
16,18,13,9,8,9,10,8,8,7,8,5,7,1,2,2,3,3,2,4,2,2,0,2,0,1,0,0,0,0,0,0,0
17,17,14,13,6,7,7,9,5,7,4,4,7,3,1,3,4,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0
18,18,12,8,11,4,12,7,8,6,4,2,7,2,0,1,3,2,2,1,2,0,1,1,0,0,1,1,0,0,0,0,1
19,24,14,11,11,9,6,11,6,6,3,6,5,1,3,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
20,18,10,10,6,10,6,7,8,8,4,5,3,3,1,2,4,3,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0
21,20,13,12,11,10,5,11,7,5,2,3,5,3,3,1,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
22,17,9,14,13,9,8,4,5,7,6,5,5,2,3,3,5,1,1,2,0,0,1,3,1,0,0,0,0,1,0,0,0
23,15,13,11,9,12,5,12,5,5,4,4,5,1,2,3,4,1,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0
24,20,11,16,9,11,12,5,6,9,8,6,3,3,0,3,4,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
