sentence_index,NN,IN,JJ,NNS,DT,RB,VBG,CC,VB,PRP,PRP$,VBP,VBZ,TO,VBN,VBD,WRB,MD,NNP,POS,WDT,WP,CD,JJR,EX,RBR,RP,RBS,JJS,WP$,PDT,NNPS
1,25.0,21.0,18.0,15.5,9.5,5.5,6.5,7.0,7.0,3.0,3.5,4.0,3.5,4.5,3.5,1.0,1.5,4.5,0.5,2.0,0.5,0.5,0,0.5,0.5,2.0,0,0,0,0,0,0
2,22.5,16.5,12.5,12.0,6.5,9.0,5.5,4.5,7.0,5.5,3.0,5.0,4.5,3.0,2.5,0,3.0,3.5,0,1.0,1.0,0.5,0.5,0.5,1.0,1.5,0,0,0,0,0,0
3,20.5,13.5,14.0,8.0,8.5,5.5,6.0,3.5,6.0,6.5,4.5,4.5,2.5,3.5,4.0,1.5,4.0,3.0,1.0,1.0,1.0,0.5,0,1.0,0,0,0.5,0,0,0,0,0
4,21.0,13.5,12.0,8.0,9.5,6.5,7.5,4.0,5.5,7.0,3.0,4.5,3.5,4.0,3.0,2.5,2.0,2.0,0.5,0,0,1.5,1.0,0,0,0,0,0,0,0,0,0
5,22.5,16.0,14.5,13.5,11.5,6.0,5.0,5.5,7.5,5.0,3.0,2.0,1.5,2.5,2.0,4.0,2.5,3.0,3.0,1.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0
6,25.0,15.0,10.5,8.5,12.0,4.5,6.5,6.0,6.5,5.5,3.5,3.5,3.0,2.5,0.5,4.0,4.0,2.5,3.0,1.0,0,0,0.5,1.0,1.0,0,0,0,0,0,0,0
7,24.0,14.5,13.5,8.0,11.0,5.0,7.5,6.5,6.5,4.5,3.5,5.5,3.0,2.5,1.0,3.5,2.5,1.5,2.0,0,1.0,0,0,0,0.5,0.5,0,0,0,0,0,0
8,23.0,14.5,13.5,11.5,7.0,7.0,8.5,5.5,6.5,4.0,4.0,5.0,2.0,4.5,2.5,1.0,1.5,3.0,3.0,2.0,0.5,1.0,0.5,1.0,0.5,0,0,0,0.5,0,0,0
9,23.0,16.5,16.0,11.0,8.0,6.0,4.0,6.0,5.5,6.0,4.5,4.0,3.0,3.5,1.5,4.0,2.5,2.0,3.0,1.5,0.5,0.5,0.5,0.5,1.0,1.5,0,0,0,0.5,0,0
10,24.0,12.5,16.0,10.0,8.0,6.0,7.0,4.5,5.5,3.5,3.5,4.0,3.0,2.0,1.5,1.0,1.0,2.5,1.0,0,1.5,1.0,0.5,0,0,0,0,0.5,0,0,0,0
11,29.0,16.0,15.0,10.0,8.0,8.5,7.5,7.5,6.5,6.0,4.5,2.5,4.0,3.0,1.5,3.0,3.0,2.0,0,1.0,1.5,0.5,1.5,1.0,0,0.5,0,0,0,0,0.5,0
12,22.0,13.5,13.5,10.0,7.5,5.5,6.0,7.5,6.0,4.5,3.0,3.0,4.0,2.0,1.0,0,1.5,3.5,0,1.0,2.0,0.5,1.0,0.5,0.5,0,0,0,0,0,0,0
13,22.0,16.5,15.5,12.5,9.0,8.0,5.0,4.5,4.0,5.0,4.5,5.5,2.5,2.5,3.0,3.0,3.5,1.0,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0
14,22.5,13.5,14.5,15.0,9.5,7.5,6.0,6.5,6.0,1.5,3.5,2.5,1.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.0,0,0.5,0,0.5,0,0,0,0,0,0,0
15,21.5,14.5,13.5,9.5,11.5,8.5,6.5,4.5,3.0,3.5,4.5,4.5,5.5,3.0,3.5,2.0,2.5,1.0,3.5,2.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0
16,22.0,13.0,11.5,10.5,10.0,7.5,9.0,5.5,6.0,3.5,3.5,4.0,4.0,4.0,3.0,0.5,2.5,2.0,0.5,0,0,1.0,0,0.5,0,0,0,0,0,0,0,0
17,19.5,16.5,16.5,16.5,9.5,8.5,7.5,4.0,7.0,5.5,3.5,6.5,6.0,3.5,2.5,0,2.5,3.0,0,0.5,1.0,1.5,0,1.5,0,0,1.0,0,0.5,0,0,0
18,22.5,16.0,13.0,16.0,11.5,5.5,9.0,5.5,6.0,5.0,3.0,5.5,6.0,4.0,3.0,0,1.0,1.5,0,0.5,1.5,1.0,0,0,0,0.5,0,0,0,0,0,0
19,31.0,17.5,15.0,15.0,11.0,5.5,10.0,6.0,4.0,3.0,5.0,4.0,5.0,4.0,2.0,0,0.5,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0
20,17.5,19.5,15.0,15.5,10.0,8.5,11.0,3.5,5.5,4.0,4.0,4.5,2.5,2.5,3.5,1.5,2.5,1.0,1.0,1.0,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0
21,21.5,15.5,17.0,14.0,9.5,9.5,4.5,6.0,4.5,4.5,2.0,4.0,5.5,3.5,3.5,3.0,2.0,1.0,1.0,0,0,1.5,0.5,0,0,0,0,0.5,0,0,0,0
22,24.5,13.5,12.5,10.0,11.0,8.0,7.0,3.5,4.0,3.5,3.0,2.0,5.0,2.5,2.5,3.5,1.5,1.0,3.0,0.5,1.0,1.0,0,0,0,0.5,0,0,0,0,0,0
23,21.5,13.5,12.5,10.5,6.0,7.0,5.0,5.5,7.0,4.0,3.5,2.5,6.5,4.0,1.0,0.5,2.0,1.0,3.0,2.0,1.0,0,1.0,0.5,0,0.5,0,0,0,0,0,0
24,19.5,15.5,12.0,17.5,9.0,7.5,7.5,5.5,5.0,5.5,5.0,5.5,4.5,3.5,2.0,1.0,3.0,1.5,1.0,0.5,2.0,0,0,1.0,0,0,0.5,0,0,0,0,0
25,21.5,17.0,12.0,12.5,10.5,3.5,7.5,5.0,5.5,5.0,5.5,3.5,5.5,3.0,2.5,1.5,3.5,1.0,3.0,0,0,1.0,0,0,1.0,0,0,0.5,0,0,0,0
26,21.0,16.0,16.0,14.5,8.0,5.5,6.5,7.0,6.5,4.0,4.5,5.5,2.5,4.0,2.0,1.5,2.0,1.5,3.0,1.0,0,0,0.5,0,0,0.5,0,0,0,0,0,0
27,21.5,14.0,12.5,11.5,7.5,7.0,6.5,5.0,5.0,3.5,5.0,6.5,3.5,3.5,1.5,0,2.0,1.5,4.0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
28,22.0,16.5,15.5,12.5,9.0,7.0,5.0,6.5,6.0,5.5,4.5,5.0,6.5,3.0,0.5,0.5,2.0,1.0,3.5,1.0,0,1.0,0.5,0,0,0,0,0,0,0,0,0
29,23.5,15.5,11.0,14.5,7.0,5.0,8.0,6.0,7.5,3.5,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.5,1.0,1.0,0.5,1.0,0.5,0.5,0,0,0,0,0,0,0
30,24.5,15.0,9.5,11.5,10.0,5.5,4.0,6.5,4.0,4.0,3.5,2.0,7.5,2.0,0.5,0,2.0,1.0,2.5,1.5,0.5,0.5,1.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5
