sentence_index,NN,IN,JJ,NNS,DT,RB,CC,VBG,PRP,VB,PRP$,VBZ,VBP,TO,VBD,NNP,VBN,MD,WRB,POS,WDT,WP,CD,JJR,EX,RP,RBR,WP$,PDT,RBS,JJS,NNPS
1,29,21,18,12,10,6,8,9,2,7,3,4,4,4,1,0,5,4,1,0,0,0,0,1,1,0,1,0,0,0,0,0
2,24,14,10,13,5,12,5,6,4,8,3,6,5,3,0,0,3,4,3,0,2,1,1,1,1,0,2,0,0,0,0,0
3,22,11,14,6,8,7,4,7,5,7,4,2,3,3,1,2,4,4,3,2,1,0,0,1,0,0,0,0,0,0,0,0
4,25,14,10,6,11,6,3,3,6,8,4,4,4,4,1,1,3,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0
5,26,17,14,14,12,5,7,3,5,9,4,1,2,3,2,6,3,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0
6,23,16,11,12,13,4,8,4,5,7,4,5,3,3,2,6,1,4,4,2,0,0,1,0,0,0,0,0,0,0,0,0
7,25,12,16,9,11,4,7,3,5,7,4,4,7,2,1,4,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
8,26,14,13,11,5,7,6,7,5,8,5,1,4,4,1,4,2,4,1,2,1,1,1,1,0,0,0,0,0,0,0,0
9,24,15,18,13,8,2,7,2,5,7,4,3,3,2,3,6,1,4,3,3,0,0,0,1,0,0,0,1,0,0,0,0
10,21,12,21,15,7,7,5,9,3,7,3,1,5,3,0,2,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0
11,28,14,16,8,5,4,9,4,4,5,5,3,2,2,0,0,1,3,1,1,1,0,2,1,0,0,0,0,1,0,0,0
12,26,19,15,10,7,4,8,6,6,5,1,3,3,1,0,0,1,4,1,1,2,1,1,1,0,0,0,0,0,0,0,0
13,26,19,16,11,8,6,5,5,3,4,4,2,5,1,0,3,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
14,32,15,13,13,9,7,10,7,2,6,4,2,1,0,0,3,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0
15,21,14,15,9,10,9,5,2,3,2,7,5,3,1,4,7,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0
16,22,16,12,13,9,9,5,9,3,4,5,3,3,3,1,1,4,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0
17,21,17,19,16,10,9,4,4,3,6,2,8,7,5,0,0,2,0,2,0,1,2,0,1,0,1,0,0,0,0,1,0
18,22,18,17,25,6,3,6,8,7,8,5,4,7,5,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0
19,37,20,12,12,10,2,6,10,3,4,4,5,1,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
