sentence_index,NN,IN,JJ,NNS,DT,PRP,RB,VB,CC,VBG,VBZ,NNP,VBP,VBD,PRP$,TO,MD,WRB,VBN,RP,WP,POS,WDT,CD,JJR,PDT,RBR,JJS,UH,NNPS,EX,FW,$,WP$,(,)
1,17,8,6,6,6,6,6,8,5,1,2,4,6,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,15,9,7,5,6,6,5,4,3,3,1,5,3,1,1,2,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3,11,8,16,8,6,7,11,4,3,1,3,4,2,3,0,1,3,1,0,1,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0
4,21,10,10,7,4,6,4,7,3,3,3,3,6,0,2,1,2,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
5,20,7,11,2,10,5,2,10,5,2,2,12,3,0,3,2,6,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
6,23,16,12,7,9,7,4,8,7,5,4,8,3,2,2,1,5,2,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7,20,10,10,8,8,8,6,8,4,3,4,2,4,2,3,1,4,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
8,19,13,16,8,8,10,0,5,5,5,3,7,6,3,3,1,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,26,15,13,13,9,6,5,8,4,6,2,5,4,4,4,3,4,1,1,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
10,20,20,14,10,7,10,5,11,5,9,6,8,3,4,3,4,2,1,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
11,18,11,14,8,8,10,1,6,4,4,4,2,5,1,3,1,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,19,15,14,12,9,4,2,12,4,8,1,2,3,0,0,2,6,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,26,19,16,11,8,3,6,4,5,5,2,3,5,0,4,1,2,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,14,8,14,6,13,2,8,4,5,2,2,11,4,4,2,2,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,24,13,14,7,9,10,2,5,7,2,3,5,6,3,2,1,1,3,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16,22,16,12,13,9,3,9,4,5,9,3,1,3,1,5,3,2,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,21,17,19,16,10,3,9,6,4,4,8,0,7,0,2,5,0,2,2,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
18,22,18,17,25,6,7,3,8,6,8,4,0,7,0,5,5,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19,25,16,16,12,5,14,11,4,6,7,7,3,8,4,4,1,2,4,4,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20,20,14,15,10,13,9,5,4,4,5,4,7,4,5,0,2,1,3,2,1,0,1,0,1,1,2,1,0,0,0,1,0,1,0,0,0
21,23,19,20,16,10,4,9,3,5,5,7,0,5,2,2,3,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
