sentence_index,NNS,NN,JJ,IN,VB,RB,VBG,DT,CC,MD,VBP,NNP,TO,VBZ,VBN,PRP,PRP$,WDT,CD,WRB,JJR,WP,RBR,VBD,POS,EX,RP,JJS,(,),NNPS,UH,RBS,FW,PDT
1,6,18,8,7,7,7,1,3,6,4,4,0,0,2,2,3,1,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
2,9,15,10,11,2,2,3,6,5,1,3,0,1,0,4,2,1,0,0,1,0,0,1,3,1,1,0,0,0,0,0,1,0,0,0
3,11,13,8,14,3,13,5,6,3,1,5,0,3,1,2,3,2,0,0,1,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0
4,11,10,5,14,10,10,4,7,3,4,1,1,5,1,1,4,0,1,1,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
5,8,19,12,15,7,3,5,7,5,4,1,2,3,2,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
6,12,13,14,9,7,7,4,7,5,3,6,1,1,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,18,13,15,11,7,6,6,5,4,3,6,2,3,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8,23,17,8,12,6,4,7,7,6,4,3,0,2,3,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9,25,9,14,8,11,3,11,7,5,7,5,1,3,2,3,2,1,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
10,27,21,14,15,9,4,7,6,9,7,5,1,2,0,1,1,2,2,0,1,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0
11,26,16,15,13,10,2,10,4,7,6,3,1,4,1,1,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,33,19,18,15,9,2,7,5,9,5,5,1,1,4,3,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,19,18,17,13,12,4,9,9,6,7,3,1,5,3,1,1,2,1,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
14,24,21,20,13,7,4,3,5,7,5,4,0,2,4,4,2,2,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
15,19,29,22,17,8,4,6,13,8,6,6,0,6,2,5,1,0,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,24,26,28,17,11,1,9,9,6,4,3,2,2,2,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,32,16,25,17,10,6,13,6,6,8,4,0,5,2,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,32,25,23,19,10,5,11,8,11,6,4,0,1,3,1,2,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
19,35,22,20,21,10,1,6,7,10,3,6,1,3,4,2,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,34,20,13,14,10,7,6,8,9,4,4,0,4,8,1,3,2,1,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
21,30,27,21,20,9,2,10,11,7,5,5,1,2,6,6,2,2,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22,27,28,23,24,14,8,11,5,11,6,4,1,4,5,4,6,4,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
23,39,26,23,24,13,10,12,9,9,7,3,4,5,1,4,1,2,0,0,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0
24,32,33,24,17,9,4,12,10,12,5,3,0,7,6,4,4,4,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,39,24,27,27,7,4,12,10,12,4,5,2,3,3,1,1,2,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
26,45,27,35,31,18,8,10,15,14,4,5,14,7,7,0,2,1,1,5,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0
27,43,31,41,24,21,12,14,14,12,10,3,11,4,4,2,2,0,1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
28,40,40,41,27,18,9,12,12,11,6,7,17,8,2,2,2,3,2,5,1,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0
29,37,38,48,31,23,19,16,15,10,8,5,11,7,9,4,6,1,2,7,3,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
30,41,40,43,27,15,20,10,7,10,3,5,15,7,2,5,3,3,2,6,1,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0
31,10,6,2,5,7,7,8,6,3,2,2,0,3,0,2,3,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
32,9,7,4,5,6,2,6,5,3,3,2,0,1,1,3,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
33,15,21,15,13,8,4,6,7,8,2,4,8,2,4,5,2,2,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
34,26,20,16,11,11,4,5,4,7,2,3,6,5,2,4,4,3,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,25,25,21,20,12,8,6,10,7,2,4,14,5,3,6,4,2,4,4,1,2,1,1,1,1,0,0,0,1,1,1,0,0,1,0
36,18,23,20,12,13,11,10,4,8,4,9,12,3,2,4,3,3,1,4,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0
37,21,30,26,13,12,17,13,10,8,5,1,6,3,5,3,1,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
