sentence_index,NN,JJ,NNS,VBG,RB,IN,VB,DT,CC,NNP,VBP,MD,TO,VBN,VBZ,PRP,VBD,CD,PRP$,WDT,WRB,JJR,WP,RBR,JJS,FW,POS,EX,(,),RP,RBS,NNPS,UH
1,16,13,5,3,6,11,4,6,8,0,2,3,2,4,3,4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2,16,11,9,2,6,10,5,6,4,0,3,2,1,2,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0
3,16,12,7,1,2,11,4,6,7,3,5,1,3,4,4,3,1,0,2,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0
4,16,13,8,5,3,7,7,5,3,0,2,5,1,1,1,3,0,0,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0
5,19,12,4,7,5,7,10,3,3,2,1,4,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,14,15,14,5,2,7,5,3,3,2,4,3,2,0,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
7,14,13,19,9,7,15,9,9,6,0,2,4,3,0,5,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
8,9,13,17,9,6,10,6,7,5,1,5,4,3,2,3,1,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
9,15,12,20,9,6,13,9,5,5,1,3,7,2,2,1,2,0,0,3,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
10,13,13,26,4,4,13,12,7,9,1,4,7,3,3,0,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
11,16,14,27,7,2,14,9,6,7,1,4,3,2,0,4,3,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0
12,12,14,25,8,7,15,12,5,5,0,6,6,4,2,1,5,0,0,1,1,1,1,1,2,0,0,0,1,0,0,0,1,0,0
13,19,13,29,7,3,15,11,6,7,1,3,6,3,0,2,2,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
14,21,13,29,7,6,18,10,11,5,1,6,5,4,3,1,1,0,0,2,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
15,23,18,20,6,9,15,11,8,4,0,7,6,5,2,5,1,0,1,0,2,0,1,2,0,0,0,1,3,0,0,0,0,0,0
16,25,16,32,5,3,20,7,9,9,3,2,3,3,0,3,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17,25,28,38,12,3,22,11,9,5,0,3,5,5,2,5,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
18,20,20,27,7,2,15,11,13,8,0,4,5,2,2,5,1,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0
19,23,23,32,8,3,17,12,8,8,0,5,4,5,2,5,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,23,21,28,11,9,17,15,9,7,1,2,6,8,2,7,3,0,1,1,2,4,2,0,0,0,0,0,1,0,0,1,0,0,0
