sentence_index,NN,IN,PRP,JJ,DT,NNP,RB,VBZ,VB,VBP,NNS,VBG,CC,VBD,PRP$,WP,TO,MD,CD,VBN,WRB,RP,POS,PDT,WDT,JJS,RBS,JJR,UH,EX,RBR,$,FW,NNPS
1,13,8,6,5,4,4,6,2,3,4,3,1,3,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,14,9,9,4,6,3,2,3,4,3,3,5,5,4,2,2,2,1,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0
3,9,5,11,5,4,3,11,6,1,3,1,3,3,4,2,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
4,11,6,6,7,6,3,6,3,2,1,0,0,1,3,2,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
5,9,7,10,2,5,1,5,1,0,6,3,3,2,2,2,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6,14,6,7,3,6,5,5,2,3,2,1,2,1,3,2,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7,15,8,10,7,10,5,4,4,4,3,2,3,4,4,2,1,1,0,1,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0
8,13,6,8,7,9,3,5,6,4,1,0,1,3,4,2,1,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0
9,14,6,10,7,4,3,7,4,5,5,0,1,1,3,3,1,2,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
10,14,7,6,9,5,5,5,2,5,2,2,2,1,4,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
11,22,6,6,2,4,5,8,2,1,3,2,3,5,8,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,15,9,8,7,5,6,7,4,3,4,1,3,3,2,3,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,12,8,10,6,3,6,7,5,1,5,4,2,3,0,2,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
14,13,9,8,5,3,3,6,4,3,4,3,3,1,1,1,1,2,0,1,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0
15,13,8,6,8,3,5,9,3,2,5,1,5,2,4,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
16,15,8,6,7,6,6,10,6,2,2,2,5,3,2,3,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
