sentence_index,NN,IN,JJ,DT,PRP,RB,NNS,NNP,VBD,VB,VBP,CC,VBG,VBZ,PRP$,TO,VBN,RP,WRB,MD,WP,WDT,CD,POS,EX,PDT,RBR,UH,JJS,JJR,RBS,NNPS,(,),FW
1,9.0,7.0,7.5,5.0,8.0,8.0,5.0,0.5,0,4.0,5.5,3.0,4.5,3.5,1.0,1.5,2.0,0.5,1.5,2.0,0.5,1.0,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0
2,11.0,7.0,5.0,6.0,6.5,3.0,5.0,2.0,2.0,5.0,3.0,5.5,5.0,3.5,1.0,2.5,0.5,1.5,0,0.5,2.0,0.5,0.5,0.5,0,0,1.0,1.0,0,0,0.5,0,0,0,0
3,7.0,6.5,3.5,4.5,9.0,7.0,2.5,3.5,2.0,1.0,3.0,2.5,2.5,5.0,1.0,1.0,2.0,0.5,0.5,0,1.0,0.5,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0
4,8.0,4.5,7.0,5.5,5.5,6.0,1.0,2.0,2.0,2.0,2.0,2.5,0,3.0,1.0,0.5,1.0,0.5,0,0.5,0.5,1.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0
5,8.0,7.5,2.5,6.0,7.5,4.5,3.5,1.0,2.0,0.5,5.5,2.0,2.5,1.0,1.5,1.0,2.0,0.5,0.5,0,1.0,0.5,0.5,0.5,0,0,0,0,1.0,0,0,0,0,0,0
6,9.0,6.5,5.0,4.0,6.0,5.5,2.5,3.5,2.0,1.5,3.5,1.5,1.5,2.5,1.5,0.5,1.5,0.5,0.5,0,0.5,1.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0
7,10.5,8.0,6.0,9.0,8.5,4.0,4.0,2.5,3.0,3.0,3.5,3.5,2.5,3.0,1.0,1.0,3.0,1.5,0.5,0,0.5,1.0,1.0,0,0.5,0,0,0,0,0,0,0,0,0,0
8,9.0,8.0,8.0,7.0,9.0,5.5,4.0,3.0,3.0,4.0,3.5,2.5,1.5,5.0,2.0,1.5,0,1.0,1.0,0.5,0.5,1.0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
9,11.5,7.5,6.5,5.0,8.5,5.5,2.0,2.0,1.5,4.5,4.5,1.0,1.0,4.0,2.5,1.5,0.5,0.5,1.0,0.5,0.5,0,1.5,0,1.0,0,0,0,0,0,0,0,0,0,0
10,11.5,6.0,5.5,3.5,4.5,4.5,6.0,2.5,2.0,4.5,3.0,2.5,1.5,1.5,1.5,1.5,2.0,0.5,1.0,0.5,0.5,0.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0
11,15.5,7.5,3.0,3.0,4.5,7.0,5.0,3.5,4.0,3.5,4.0,3.5,1.5,2.0,1.5,0.5,1.0,0.5,0.5,1.5,1.0,1.0,0.5,0.5,0,0,0,0,0,1.0,0,0,0,0,0
12,15.5,8.5,5.0,7.0,8.5,6.5,0.5,3.5,2.0,2.5,5.0,2.5,2.0,3.5,2.5,1.5,1.0,1.0,1.5,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0
13,12.0,9.0,6.0,5.5,9.5,7.0,2.0,5.5,2.0,2.5,4.0,2.5,2.0,4.0,2.5,1.0,1.5,2.0,2.5,0.5,0.5,0.5,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0
14,14.0,10.0,6.0,6.0,8.0,9.5,5.5,2.0,5.0,3.5,4.5,2.0,2.5,2.5,2.0,1.5,2.0,2.0,2.5,0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0
15,17.5,11.0,8.5,7.0,6.5,10.0,1.5,4.5,8.0,3.0,3.5,2.5,4.5,1.5,2.5,1.5,2.0,0.5,1.5,0,0.5,0.5,0.5,1.0,0,0,0.5,0.5,0.5,0,0,0,0,0,0
16,20.0,14.5,7.5,9.5,7.0,11.5,4.0,4.0,8.0,2.0,2.5,3.5,4.0,3.5,2.5,1.0,2.0,1.0,1.0,0.5,1.5,0,1.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0
17,18.0,13.5,6.5,10.5,7.5,5.5,5.5,4.0,8.5,3.0,1.5,4.5,3.0,4.0,2.0,1.0,1.0,0,1.0,0,0.5,0,0.5,0,1.5,0,0,0.5,0,0,0,0,0,0,0
