sentence_index,NN,JJ,NNS,VBG,IN,RB,DT,VB,CC,VBP,VBZ,VBN,PRP,TO,NNP,MD,PRP$,WRB,VBD,WDT,CD,WP,JJR,RBR,POS,JJS,RP,EX,RBS,UH,(,),NNPS,FW
1,17,21,7,1,11,7,6,3,5,4,5,3,4,0,0,2,2,3,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2,21,12,8,4,11,6,8,7,7,6,3,2,10,4,0,3,2,3,3,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0
3,25,10,6,11,12,8,12,5,4,2,4,1,6,4,1,1,2,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,19,16,16,9,16,6,12,7,7,4,3,3,2,3,0,4,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5,17,12,15,6,7,7,9,6,6,5,4,3,4,4,0,4,1,2,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0
6,17,14,13,10,12,7,5,4,6,6,5,3,5,2,0,1,2,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,16,10,14,7,12,10,9,8,3,3,2,4,4,5,0,2,4,1,5,2,1,2,0,1,1,1,0,0,0,1,0,0,0,0
8,29,18,12,15,14,5,16,10,7,5,5,2,4,5,2,3,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
9,25,15,16,12,16,8,14,9,4,3,11,6,7,5,0,3,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10,22,12,21,9,11,10,13,11,4,7,8,7,5,5,0,4,3,4,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0
11,23,19,16,8,14,5,9,12,10,5,6,3,3,6,0,2,0,2,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
12,21,16,20,7,19,4,9,10,6,9,6,7,3,5,0,4,1,4,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
13,19,12,20,9,16,6,13,8,5,3,4,8,4,3,0,3,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,25,19,17,7,14,8,10,7,9,4,10,4,5,5,1,1,2,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
15,25,23,26,17,28,8,12,5,8,5,10,5,7,3,0,1,1,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
16,30,23,24,8,26,9,11,5,7,10,4,10,6,4,0,3,5,4,0,1,0,1,3,0,1,0,0,0,1,0,0,0,0,0
17,32,12,24,13,26,9,12,7,7,3,8,8,3,4,1,5,3,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
18,25,16,22,13,21,6,13,11,6,6,8,5,4,3,0,5,2,5,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
19,38,25,28,10,18,6,8,7,10,3,5,2,1,3,1,2,2,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0
20,32,21,30,14,25,14,8,9,8,7,9,3,7,6,2,1,7,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
21,46,35,30,12,31,14,14,10,13,5,11,5,6,7,12,0,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
22,42,28,22,19,24,5,7,9,8,9,7,7,6,5,0,2,2,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0
23,33,34,34,16,30,12,7,11,9,5,11,4,7,2,11,4,6,4,1,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0
24,35,33,31,20,28,11,9,12,7,8,10,6,8,4,17,1,3,4,1,0,6,2,1,0,0,0,0,0,1,0,0,0,1,0
25,124,94,27,23,20,70,12,6,7,11,5,15,6,4,0,0,7,4,12,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0
26,121,110,32,49,20,35,5,12,6,5,4,6,0,3,10,5,1,0,6,1,4,0,2,2,0,0,0,0,0,0,1,1,0,0
27,125,104,35,18,24,36,15,15,13,6,7,3,3,5,22,3,2,2,6,1,6,0,1,1,0,0,0,0,0,0,0,0,0,1
28,5,6,8,3,5,4,7,4,3,2,3,0,3,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,30,23,24,7,21,6,10,9,8,2,3,3,1,1,3,5,1,1,2,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0
30,22,24,25,8,14,5,9,10,6,4,4,4,2,2,4,2,1,1,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
31,23,18,23,5,12,5,7,6,5,4,4,3,1,1,2,3,2,3,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
32,18,7,4,2,4,4,1,0,2,5,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,11,8,11,2,7,8,8,3,4,6,1,4,2,1,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,53,9,4,19,1,0,2,1,1,1,0,2,1,0,0,0,1,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
35,14,5,15,4,10,0,4,3,4,3,3,3,3,2,0,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
36,45,10,8,9,7,2,3,3,5,2,0,1,1,1,2,1,1,0,2,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0
37,5,2,5,1,2,1,3,0,1,3,0,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,23,6,8,2,8,3,3,1,5,2,7,3,2,1,3,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
39,7,4,7,2,2,2,4,0,3,4,0,2,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
