sentence_index,NN,JJ,RB,VBG,NNS,IN,DT,VBN,VB,CC,VBZ,VBP,TO,VBD,NNP,PRP$,PRP,MD,CD,WRB,WDT,JJR,POS,RBR,JJS,WP,EX,RBS,RP,(,),FW,NNPS
1,31,17,6,5,8,20,9,4,3,7,7,5,2,1,0,4,4,3,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0
2,32,19,13,4,6,15,8,2,5,7,3,2,4,1,0,7,1,2,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0
3,36,15,5,3,9,21,15,4,4,6,4,2,4,7,0,5,5,1,2,3,2,2,1,0,0,0,1,0,0,0,0,0,0
4,28,14,7,6,9,13,12,1,9,5,2,3,5,5,0,4,4,2,0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
5,28,20,6,9,18,16,9,1,8,8,12,2,6,0,0,3,4,2,2,2,4,1,3,1,1,0,1,0,0,0,0,0,0
6,23,18,12,11,18,15,7,2,3,9,5,3,2,0,0,3,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
7,19,17,10,13,17,16,13,5,6,4,5,5,5,2,0,1,3,2,2,2,0,1,4,0,0,1,0,0,1,0,0,0,0
8,26,15,9,9,16,18,10,2,7,4,5,3,4,0,0,4,1,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0
9,25,22,10,9,15,18,12,2,4,6,5,2,4,0,0,3,1,2,2,2,1,0,1,1,1,1,0,1,0,0,0,0,0
10,22,13,12,13,21,19,14,5,8,7,7,4,3,0,0,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,23,20,13,14,18,18,13,3,9,6,3,3,6,0,0,2,4,4,1,1,2,5,0,1,0,1,0,0,1,0,0,0,0
12,27,21,5,10,19,29,13,2,13,9,5,6,6,0,0,2,4,3,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
13,22,17,11,12,24,19,11,8,8,7,5,9,4,1,0,3,3,2,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0
14,24,19,9,16,22,18,14,6,6,8,7,4,5,1,1,2,6,2,0,3,2,1,0,1,0,0,0,0,1,0,0,0,0
15,24,18,12,17,26,22,9,3,7,8,4,5,5,1,0,5,4,3,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0
16,25,22,6,15,28,19,14,2,6,7,10,7,5,0,0,4,5,1,0,3,1,2,1,0,0,2,0,1,0,0,0,0,0
17,27,24,11,13,29,23,11,4,8,8,8,7,5,0,0,4,4,2,0,4,0,2,1,0,1,0,0,0,0,0,0,0,0
18,27,18,16,18,25,25,16,11,6,8,11,3,4,0,0,2,4,3,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0
19,28,27,7,19,26,21,13,3,5,6,7,7,5,2,0,3,2,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0
20,35,21,9,14,30,28,8,2,7,10,7,7,5,0,0,6,3,1,0,3,1,0,2,0,0,1,0,0,0,0,0,0,0
21,42,26,7,12,23,32,12,6,3,11,12,8,3,1,0,5,3,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0
22,34,29,13,18,25,23,11,3,7,9,9,3,5,0,0,3,4,2,1,3,0,0,2,0,0,1,0,1,0,0,0,0,0
23,31,19,16,19,35,31,8,0,7,11,4,8,6,0,1,5,5,1,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0
24,44,43,15,15,34,30,12,6,10,8,9,10,2,2,14,6,4,2,7,3,0,1,1,1,0,1,0,0,0,1,1,0,0
25,30,23,13,13,29,21,11,1,8,7,8,5,4,0,0,7,3,3,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0
26,36,26,11,12,28,26,12,1,7,8,9,9,6,2,1,3,3,0,1,3,1,0,2,1,0,0,1,0,0,0,0,0,0
27,35,26,12,9,25,25,11,4,8,7,6,10,6,1,0,3,4,5,0,2,3,1,0,1,0,1,0,0,1,0,0,0,0
28,42,39,104,80,34,25,16,6,7,8,7,3,6,1,1,2,1,2,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0
29,85,72,38,21,29,16,6,60,13,9,3,6,3,25,8,2,2,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
30,87,77,40,16,26,17,8,61,9,6,10,4,2,25,5,3,0,1,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0
31,93,72,32,15,26,21,12,57,12,6,7,7,1,25,7,3,0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
32,82,75,33,12,30,20,11,59,8,7,6,8,7,25,10,1,0,3,1,1,2,4,0,2,0,0,0,0,0,0,0,0,0
33,96,81,30,10,24,19,8,57,9,8,8,5,2,25,12,3,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0
34,100,51,82,67,24,17,7,1,8,8,7,4,4,0,9,3,1,0,4,0,2,1,2,1,0,0,0,0,0,1,1,0,3
35,135,78,39,13,26,20,7,6,12,5,6,7,3,6,9,2,1,5,3,1,1,0,1,0,1,1,0,0,0,0,0,1,0
36,109,54,78,81,20,12,8,2,4,5,5,3,2,1,5,2,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
37,113,59,77,69,19,18,9,2,5,8,7,4,3,0,3,3,1,0,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0
38,124,48,75,85,14,17,5,5,4,3,6,1,1,1,8,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,114,46,75,79,16,13,5,2,5,8,5,6,4,0,10,3,2,1,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0
40,110,52,76,79,20,11,3,4,7,4,6,3,3,0,10,1,1,2,3,0,1,1,0,2,1,0,1,0,0,1,1,0,0
41,123,52,74,82,14,9,4,3,5,3,4,4,4,1,8,3,0,1,2,0,1,0,0,0,1,0,0,0,1,2,2,2,0
42,124,48,79,83,11,10,3,2,6,5,4,4,4,1,8,2,1,2,1,1,2,3,0,1,1,0,0,0,0,0,0,0,0
