sentence_index,NN,RB,JJ,VBG,NNS,IN,VB,DT,CC,VBN,NNP,VBP,VBZ,TO,MD,PRP$,VBD,CD,PRP,WRB,JJR,WDT,POS,RBR,WP,JJS,RP,EX,NNPS,RBS,(,),FW,PDT,UH
1,28.0,8.0,16.0,4.5,11.5,22.5,6.0,8.5,6.5,4.5,0.5,7.5,5.0,2.5,4.0,3.0,1.5,0.5,7.5,2.5,1.5,1.0,1.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0
2,26.0,8.0,16.5,7.5,8.0,14.0,5.5,7.5,6.0,1.0,0,4.0,3.5,4.5,2.0,4.0,0.5,0.5,3.0,2.5,1.0,1.0,0.5,0,1.0,0.5,0.5,0.5,0,0.5,0,0,0,0,0
3,23.0,4.0,14.0,4.5,12.0,15.5,6.0,10.5,6.0,3.0,0.5,2.5,2.5,3.0,3.0,3.0,3.5,1.0,3.5,3.0,2.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0
4,21.5,9.0,15.0,6.0,14.5,13.0,8.5,12.0,6.0,1.5,0,4.5,2.0,4.0,3.5,3.0,2.5,0,3.0,2.5,1.0,1.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0
5,22.5,6.5,18.5,6.5,22.0,16.5,5.0,9.0,6.5,3.0,0,6.0,7.0,4.0,1.5,2.5,0.5,1.0,2.5,3.0,2.0,2.0,2.0,1.0,0.5,0.5,0,1.5,0,0,0,0,0,0,0
6,17.0,8.5,20.0,10.0,20.5,14.5,8.5,7.5,8.0,2.0,0,3.5,5.0,3.5,3.5,2.0,0.5,1.5,2.5,0,0.5,1.0,1.0,0,0,0,0,0.5,0,0,0,0,0,0,0
7,17.0,9.0,16.5,7.5,23.5,15.0,6.0,10.0,4.5,5.0,0,6.5,3.5,4.5,2.0,1.5,2.5,1.0,2.5,3.0,1.5,1.5,2.0,1.0,0.5,0,0.5,0.5,0,0,0,0,0,0,0
8,22.5,6.5,15.0,7.0,16.5,19.5,7.5,11.0,5.0,2.5,0,2.5,3.5,3.0,3.0,3.0,0,0.5,1.0,1.5,1.5,1.0,1.0,0.5,0,0,0,1.0,0,0,0,0,0,0,0
9,24.5,7.5,22.5,10.0,21.0,19.0,7.5,10.0,5.5,2.5,0.5,3.5,3.0,4.5,4.0,3.0,0.5,1.5,1.5,2.5,0.5,1.5,0.5,0.5,1.0,0.5,0.5,0,0,0.5,0,0,0,0,0
10,22.5,7.5,16.0,13.5,20.0,17.0,10.0,12.0,5.5,3.0,0.5,4.0,5.5,4.0,5.0,2.5,0,0.5,2.5,2.5,1.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
11,25.5,9.0,25.5,10.5,22.5,18.0,11.0,11.5,5.5,3.5,0.5,3.5,2.5,6.5,7.0,1.5,0.5,0.5,3.5,2.0,5.0,1.0,0,1.0,1.0,0,1.0,0,0,0.5,0,0,0,0,0
12,36.0,6.5,27.0,8.5,23.0,27.5,14.5,14.5,8.5,3.5,11.5,5.0,5.5,5.0,4.0,2.5,0,3.0,2.5,2.0,0.5,2.0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
13,25.0,7.5,23.5,9.5,31.0,23.5,11.0,9.0,9.0,5.5,13.5,9.0,3.5,3.5,4.0,3.0,1.5,2.5,1.5,3.0,1.5,2.0,0.5,0,1.5,0,0.5,0,0,0,0,0,0,0,0
14,30.0,8.0,32.5,15.0,26.5,21.5,11.0,13.0,9.5,4.5,6.0,4.0,7.0,6.0,4.5,1.0,0.5,3.5,4.5,1.5,0.5,1.5,0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0
15,23.0,10.5,23.5,13.5,23.0,20.0,7.0,9.5,6.0,2.0,1.0,6.5,4.0,4.0,4.0,3.0,0.5,0.5,4.5,3.0,1.5,0,0,1.0,1.5,0,0,0,0,1.0,0,0,0,0,0
16,28.0,4.5,29.5,11.0,27.5,19.0,9.5,12.5,6.5,2.5,10.0,6.5,5.5,5.0,3.0,2.5,0.5,3.0,4.5,2.5,2.5,1.0,0.5,0.5,2.0,0,0,0,0,0.5,0,0,0,0,0.5
17,39.5,9.0,31.0,15.5,35.5,28.0,9.0,7.5,8.5,4.5,12.0,6.0,4.0,4.5,2.5,3.0,0.5,3.5,3.0,2.5,2.5,1.5,0.5,0,0.5,1.0,0,0.5,1.5,0,0.5,0.5,0,0,0
18,18.5,10.0,13.0,10.0,17.0,18.5,4.5,11.0,6.0,6.5,0,2.0,6.0,3.0,2.5,2.0,0.5,0,2.5,2.5,1.0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0
19,19.0,6.0,18.0,11.5,15.5,14.5,4.0,9.5,4.5,2.0,0,3.5,5.5,3.5,2.0,2.5,1.0,0,1.5,1.5,1.5,1.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
20,22.5,8.0,14.5,8.5,19.0,16.5,5.5,7.0,7.5,1.0,0,4.0,5.0,3.5,2.0,3.5,0.5,0,2.5,2.5,0,0.5,1.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
21,29.0,6.5,16.0,8.5,16.5,20.0,2.0,9.5,7.5,3.5,0,5.0,8.0,2.0,1.0,3.0,0.5,0.5,1.5,0.5,0.5,0.5,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0
22,21.5,7.5,16.5,10.5,15.0,14.0,5.5,8.0,6.5,2.0,0,2.0,4.5,3.5,2.0,2.5,0,0.5,3.0,2.0,0.5,0,1.0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0
23,20.0,8.5,11.5,10.0,21.5,18.5,7.0,6.5,7.0,0.5,0.5,4.5,2.5,5.0,1.5,4.0,0,0.5,3.0,1.0,0,0.5,1.0,1.0,0.5,0.5,0,0.5,0,0,0,0,0,0,0
24,26.5,9.0,27.0,9.0,21.5,20.0,7.0,9.0,5.0,3.0,7.0,6.0,6.0,1.5,1.5,3.0,1.0,3.5,3.0,2.0,1.5,0,1.0,1.0,1.0,0,0,0,0,0,0.5,0.5,0,0.5,0
25,67.0,16.0,60.5,52.0,24.0,16.0,9.5,8.0,6.0,2.5,4.5,4.5,5.0,3.5,4.0,3.5,0,2.0,2.0,1.0,0.5,1.0,0.5,0,0.5,0,1.0,0.5,0,0,0,0,0,0,0
26,33.0,54.5,36.0,47.0,28.5,20.5,10.5,10.0,8.0,1.5,8.5,6.0,8.5,4.0,2.5,3.0,1.5,3.5,3.0,3.5,0.5,0.5,1.0,0.5,0.5,0,1.0,0.5,0,0,0,0,0,0,0
27,63.0,53.5,51.0,17.5,25.5,20.5,9.5,8.5,7.0,7.5,6.5,7.0,4.0,4.0,4.0,2.0,0.5,2.0,2.5,1.0,1.0,1.5,0.5,1.0,1.0,0,0.5,0,0,0,0,0,0,0,0
28,88.5,66.0,52.0,71.0,30.0,20.0,16.5,11.5,7.5,5.0,5.5,5.5,5.0,6.0,4.0,1.5,1.5,2.5,1.5,1.0,0,1.0,0,1.5,0,0,1.5,0.5,0,0,0,0,0,0,0
29,63.5,70.0,63.0,48.5,31.0,19.5,12.0,4.0,8.5,33.5,6.5,6.0,2.5,3.5,4.5,2.0,12.5,4.5,1.0,0,0.5,2.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
30,79.0,61.5,64.0,50.5,22.5,11.5,12.0,5.5,6.5,32.0,7.5,6.0,5.0,2.5,1.5,2.0,13.0,3.5,1.0,0,1.0,1.5,0,1.5,0,0,1.0,0.5,0,0,0.5,0.5,0,0,0
31,95.0,69.5,59.0,12.5,29.5,19.5,11.0,8.5,8.5,29.0,11.0,6.5,5.5,2.0,4.0,2.5,14.5,4.5,0.5,0.5,1.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
32,60.5,67.0,57.5,12.0,30.5,19.5,13.0,9.5,8.5,30.5,8.5,6.0,6.0,6.0,5.5,1.5,12.5,3.0,1.5,1.5,2.0,2.0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
33,53.0,16.0,43.0,6.5,12.5,12.5,4.5,5.5,4.5,29.0,6.0,3.5,5.0,1.0,0.5,2.0,12.5,2.5,0.5,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
34,52.0,41.5,26.5,34.5,14.5,10.5,6.0,5.5,4.5,1.0,4.5,2.5,3.5,2.5,0.5,2.0,0.5,2.0,2.0,1.0,0.5,1.5,1.0,0.5,0,0,0,0,1.5,0,0.5,0.5,0,0,0
35,82.5,62.5,56.5,12.0,28.5,23.0,12.5,8.0,7.5,6.0,10.0,7.0,6.5,4.0,3.5,1.5,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.5,1.5,0.5,0,0,0,0.5,0,0,0.5,0,0
36,95.0,83.5,50.0,57.0,27.5,14.5,8.5,7.0,6.0,3.0,9.5,4.5,4.0,3.5,1.0,2.0,1.5,4.0,1.5,0.5,0,0,0.5,0,0,1.0,0.5,0,0.5,0.5,0,0,0,0,0
37,98.0,94.0,53.0,37.5,28.0,16.0,6.5,8.0,8.5,3.0,10.0,8.0,4.5,5.0,0.5,2.0,0.5,4.0,1.0,1.5,1.5,2.0,0.5,1.5,0,0.5,0,0,0,0,0,0,0,0,0
38,78.0,75.0,36.5,46.5,17.0,18.0,2.5,9.0,4.5,5.5,4.0,1.5,3.5,2.0,0,1.5,6.5,1.5,1.5,1.0,0,1.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
39,82.0,79.5,47.0,44.5,28.5,18.0,10.5,6.0,7.5,3.0,9.5,7.0,2.5,4.0,4.0,2.0,1.5,3.0,2.0,1.0,1.0,2.5,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0,0
40,78.0,87.0,56.0,55.5,22.0,18.5,10.0,5.5,6.0,4.0,12.5,3.5,5.5,2.5,2.5,1.5,0.5,4.5,1.0,1.0,0.5,0.5,1.0,1.0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0
41,86.5,100.0,53.5,43.5,21.5,15.0,10.5,9.5,5.5,3.0,8.0,7.5,2.5,4.5,4.0,2.5,0.5,3.5,2.0,0.5,2.0,1.0,0,0.5,0.5,0.5,0.5,0,0.5,0,1.0,1.0,1.0,0,0
42,88.0,104.5,58.0,46.5,17.0,14.5,9.5,4.5,6.0,2.5,10.0,4.5,4.5,4.5,3.5,2.0,0.5,3.0,1.5,1.5,2.0,1.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0
43,81.5,99.5,56.5,58.0,19.0,15.0,9.5,7.0,6.0,2.0,9.5,1.5,4.0,2.5,4.5,1.5,0.5,3.5,1.0,1.0,0.5,0,0,1.0,0.5,0.5,0,0,0.5,0,0.5,0.5,0,0,0
44,79.5,100.0,55.5,58.0,22.0,16.0,6.5,3.5,5.5,3.0,7.0,3.5,4.5,6.0,1.0,2.5,2.0,3.5,2.0,1.0,0,0.5,0.5,0,0,2.0,0.5,0,0.5,0,0,0,0,0,0
45,89.5,99.0,53.0,57.5,18.5,14.0,8.5,6.0,5.0,0.5,7.5,3.0,4.5,3.0,2.0,3.5,0.5,3.5,1.5,1.0,0,0.5,0.5,0,0.5,1.0,0,0,0,0,0,0,0,0,0
46,85.0,99.5,56.5,59.0,16.0,11.5,8.5,5.0,5.0,5.5,6.5,3.0,4.0,4.5,1.5,2.5,2.0,3.5,2.5,2.0,0,0,0,0,0,1.0,0,0,0.5,0.5,0,0,0,0,0
47,207.5,64.0,44.5,27.0,14.5,7.5,6.0,3.0,3.5,2.0,5.5,4.0,2.5,2.0,2.0,0.5,2.5,2.5,1.0,1.0,0.5,0.5,0,0,0.5,0,0,0,1.0,0,0,0,0.5,0,0
48,76.0,99.5,54.5,55.0,19.0,15.5,10.5,10.5,6.0,1.5,8.5,3.0,6.5,6.0,3.0,1.5,0,3.5,3.5,1.0,0.5,2.0,0.5,0.5,0,1.0,0,0,0,0.5,0,0,0,0,0
49,81.5,98.5,51.0,56.0,14.0,11.5,7.5,8.5,5.0,2.5,10.0,2.0,6.0,4.0,2.5,3.0,0.5,3.5,0.5,0.5,1.0,0.5,0,1.0,0,0.5,0,0,0,0.5,0,0,0,0,0
50,216.0,60.5,49.5,19.5,12.0,11.0,7.0,4.0,2.5,2.0,8.0,4.5,1.5,1.5,3.0,1.0,4.0,2.5,0.5,1.0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0
