sentence_index,NN,IN,DT,JJ,PRP,RB,NNS,VBD,VBG,CC,VBP,NNP,VB,VBN,VBZ,PRP$,TO,WRB,RP,MD,WDT,CD,WP,EX,POS,UH,RBR,JJR,PDT,JJS,RBS,(,),NNPS
1,10,6,6,7,8,7,7,0,4,4,7,0,5,1,4,1,2,2,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2,8,5,6,6,4,4,7,0,5,6,3,1,6,1,4,0,3,0,1,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0
3,5,8,5,2,7,3,4,0,2,2,3,4,1,4,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4,5,3,5,7,5,6,2,1,0,4,3,1,2,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,8,7,3,5,4,4,2,2,2,5,1,1,3,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
6,4,7,2,7,5,6,4,1,1,2,5,2,0,2,3,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
7,6,8,8,5,7,4,6,2,2,3,4,0,2,4,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8,5,10,5,9,10,6,8,2,2,2,6,3,4,0,4,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,6,6,7,4,4,0,1,1,4,1,4,1,4,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10,9,5,2,2,3,4,10,0,1,4,4,0,4,4,1,2,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
11,9,9,2,4,3,6,8,0,0,2,5,2,6,1,2,1,1,0,0,3,2,0,1,0,1,0,0,2,0,0,0,0,0,0
12,16,8,9,3,9,6,0,2,1,2,6,1,2,1,3,2,1,3,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
