sentence_index,NN,IN,DT,JJ,PRP,RB,NNS,VBD,CC,VBP,NNP,VBG,VB,VBN,VBZ,PRP$,TO,WRB,RP,CD,MD,WDT,WP,EX,POS,UH,JJS,PDT,RBR,JJR,NNPS,RBS
1,10,5,4,5,3,6,4,1,4,2,1,1,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,10,2,3,4,3,4,2,0,2,2,6,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,5,8,5,2,7,3,4,0,2,3,4,2,1,4,4,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
4,5,3,5,7,5,6,2,1,4,3,1,0,2,2,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
5,7,8,7,3,5,4,4,2,2,5,1,2,1,3,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
6,4,7,2,7,5,6,4,1,2,5,2,1,0,2,3,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0
7,6,8,8,5,7,4,6,2,3,4,0,2,2,4,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
8,5,10,5,9,10,6,8,2,2,6,3,2,4,0,4,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,9,9,6,6,7,4,4,0,1,4,1,1,4,1,4,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
10,9,5,2,2,3,4,10,0,4,4,0,1,4,4,1,2,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
11,9,9,2,4,3,6,8,0,2,5,2,0,6,1,2,1,1,0,0,0,3,2,1,0,1,0,0,0,0,2,0,0
12,16,8,9,3,9,6,0,2,2,6,1,1,2,1,3,2,1,3,1,0,1,0,0,0,1,1,1,0,0,0,0,0
13,12,10,8,6,9,7,0,4,2,3,5,2,4,3,3,3,2,4,2,0,1,0,0,1,2,0,0,0,0,0,0,0
14,15,11,9,7,8,13,8,9,3,5,1,2,4,4,1,3,1,3,1,1,0,1,0,1,2,1,0,0,1,0,0,0
15,22,14,11,9,7,11,2,12,3,2,4,4,4,4,0,4,3,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0
16,25,21,13,8,8,13,6,14,4,3,2,3,2,3,1,2,1,2,2,2,1,0,2,1,0,1,1,0,0,0,0,0
17,19,18,13,9,9,8,10,15,6,1,2,4,3,1,1,2,2,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0
18,21,9,10,11,8,7,4,10,4,2,1,5,1,4,1,2,1,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0
19,15,10,12,11,8,9,4,10,3,2,2,5,2,4,2,2,3,1,4,1,0,1,1,0,0,1,1,0,0,0,0,0
20,17,11,8,7,6,6,5,11,6,0,0,4,4,2,1,1,1,1,2,1,1,0,1,1,1,1,1,0,0,0,0,0
21,15,20,14,12,9,7,11,10,2,2,3,2,3,2,0,4,2,0,2,1,1,1,2,0,0,0,1,0,0,0,0,0
22,21,11,12,9,7,9,3,10,4,3,2,5,0,1,0,2,1,2,2,0,1,1,1,1,0,1,1,1,0,0,0,0
23,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,9,7,7,7,6,3,4,4,3,3,2,2,3,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0
25,19,13,13,7,14,6,7,8,5,5,3,8,8,3,2,1,3,2,1,0,1,1,1,0,0,0,0,1,0,2,0,0
26,19,16,10,11,8,8,7,1,5,4,2,6,1,1,4,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
27,15,14,11,14,8,4,11,11,3,3,4,5,1,2,1,4,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
28,15,14,11,14,8,4,11,11,3,3,4,5,1,2,1,4,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
29,19,13,10,10,7,7,5,6,2,2,2,6,1,2,1,3,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
30,19,13,10,10,7,7,5,6,2,2,2,6,1,2,1,3,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
31,18,12,11,14,8,9,3,10,3,3,2,6,1,2,0,4,2,0,3,1,0,0,2,1,0,0,0,0,0,1,0,0
32,16,15,7,6,10,4,8,10,5,3,5,7,1,2,1,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
33,17,14,12,7,9,11,7,8,3,4,4,3,2,5,2,2,3,2,1,1,1,1,0,1,0,0,0,1,0,0,0,0
34,8,12,10,8,9,7,11,6,3,4,4,2,5,2,3,2,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1
35,19,10,8,6,6,5,7,0,5,4,2,4,4,2,5,2,2,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0
36,8,9,10,9,4,5,10,1,3,3,6,5,1,1,4,1,2,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
37,13,12,13,9,6,8,6,5,2,1,6,5,3,2,1,0,3,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
38,14,12,11,7,8,7,3,8,3,1,7,3,4,2,2,1,3,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0
39,9,12,10,11,10,6,6,10,2,1,10,5,6,1,2,2,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
40,13,13,17,11,8,7,6,8,3,2,5,2,1,3,3,1,2,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
41,14,14,14,6,7,7,6,6,2,3,8,5,6,1,1,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
42,7,10,8,10,5,6,6,2,3,5,3,1,3,6,3,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
