sentence_index,RB,NN,JJ,NNS,VBG,IN,VB,NNP,CC,DT,VBN,VBP,MD,TO,CD,VBZ,PRP,WRB,PRP$,JJR,VBD,WDT,RBR,WP,POS,NNPS,RP,JJS,EX,(,),UH,RBS,FW
1,5,11,9,9,2,12,4,0,5,8,0,4,2,0,1,4,5,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2,2,14,9,14,7,16,8,0,3,8,1,3,4,2,0,5,4,1,1,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0
3,3,10,13,15,6,10,8,1,6,6,2,3,5,2,0,1,2,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4,6,12,15,24,4,13,9,1,9,4,3,3,6,3,0,1,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5,5,20,18,19,8,15,6,0,8,9,3,5,4,2,1,4,1,1,2,2,0,2,1,1,0,0,1,0,0,0,0,0,0,0
6,8,11,11,24,4,8,3,0,6,9,7,10,1,3,0,3,5,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,3,21,14,27,7,14,14,1,7,7,3,2,8,3,0,0,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8,5,21,20,26,4,21,12,0,8,8,5,3,8,4,2,3,2,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0
9,4,21,19,29,7,22,8,0,10,8,4,3,6,1,1,3,1,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
10,12,22,17,26,7,14,16,1,8,8,2,3,8,5,0,2,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11,2,38,39,33,7,28,15,12,8,11,4,5,5,5,6,6,1,2,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0
12,2,36,35,36,13,18,16,16,9,7,4,1,6,9,6,4,2,3,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0
13,8,22,17,26,7,18,7,2,9,9,3,5,6,2,0,6,3,1,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0
14,7,36,40,43,9,19,20,13,13,12,1,5,4,7,8,9,2,2,1,3,0,1,0,2,0,1,0,0,0,2,2,0,0,0
15,4,38,40,41,8,22,17,23,9,9,2,7,3,7,7,3,2,3,1,1,0,2,0,1,1,0,0,0,0,0,0,0,1,0
16,6,31,37,34,17,24,15,19,8,11,5,4,5,3,6,4,3,3,3,7,1,3,0,2,0,1,0,0,1,0,0,0,0,0
17,8,46,38,50,7,31,19,18,9,14,5,3,8,8,6,2,3,2,3,1,0,0,1,3,1,0,1,0,0,1,1,0,0,0
18,98,38,68,43,50,27,19,20,8,8,10,4,4,4,7,3,1,1,1,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0
19,72,51,36,40,91,26,18,20,11,11,5,4,4,3,7,8,0,2,3,5,1,3,1,0,2,0,0,0,1,0,0,0,0,0
20,52,103,43,41,77,21,13,24,7,6,3,8,4,5,7,3,0,1,1,3,2,2,1,0,1,0,1,0,0,0,0,0,0,0
21,3,157,45,41,77,23,13,19,7,5,8,4,4,3,7,5,1,3,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0
22,27,42,59,45,39,22,11,19,11,10,59,2,3,3,6,5,1,1,1,2,27,1,2,1,0,1,0,0,0,0,0,0,0,0
23,101,38,43,34,67,21,14,23,9,9,7,2,3,5,7,6,0,1,1,1,4,3,1,1,2,1,0,0,0,0,0,0,0,0
24,5,161,75,42,5,26,29,31,9,7,8,15,2,6,8,2,1,3,2,3,3,2,1,0,0,2,2,1,0,0,0,0,0,1
25,81,68,52,23,93,10,16,12,7,3,0,4,5,2,5,4,1,0,1,0,1,1,1,0,0,0,2,0,0,1,1,0,0,0
26,2,10,7,6,4,5,5,0,3,6,1,2,2,3,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
27,4,9,4,6,0,4,5,0,4,5,3,3,2,2,0,0,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
28,8,19,11,12,6,7,8,6,6,5,2,2,2,3,3,6,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
29,2,12,9,15,5,4,7,1,5,5,1,1,2,4,1,2,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
30,4,11,10,14,3,8,5,2,4,6,0,2,2,1,1,1,2,0,0,1,0,2,2,0,1,0,0,0,1,0,0,0,0,0
31,4,27,12,18,7,7,5,9,6,6,1,4,2,1,3,2,1,1,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
32,3,6,5,6,2,3,2,0,5,2,1,1,1,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
