sentence_index,RB,NN,JJ,NNS,VBG,IN,VB,DT,NNP,CC,VBP,MD,TO,VBN,CD,VBZ,PRP,WRB,PRP$,JJR,VBD,WDT,WP,RBR,POS,RP,EX,NNPS,JJS,RBS,(,),PDT,UH
1,10,25,15,15,4,25,9,8,1,6,10,5,3,5,0,3,11,2,2,3,2,2,1,0,3,0,0,0,0,0,0,0,0,0
2,3,20,14,10,11,13,6,7,0,5,6,2,5,0,0,4,5,3,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
3,3,10,13,15,6,10,8,6,1,6,3,5,2,2,0,1,2,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4,11,15,16,20,6,13,8,12,0,7,6,5,3,2,0,2,2,1,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
5,7,17,17,26,4,17,2,9,0,5,10,1,2,5,0,2,1,4,2,3,1,0,1,1,1,0,2,0,0,0,0,0,0,0
6,5,11,22,23,9,14,14,8,0,7,4,6,5,2,2,5,3,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
7,8,15,16,30,2,14,6,7,0,5,8,2,4,5,0,2,2,4,2,2,3,3,0,2,0,0,1,0,0,0,0,0,0,0
8,4,19,15,17,5,21,8,12,0,6,2,4,2,3,0,2,1,1,2,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0
9,5,24,23,27,11,20,11,8,1,5,5,6,5,3,1,1,2,3,3,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0
10,3,23,19,19,14,15,12,10,1,4,4,8,5,1,1,4,2,4,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0
11,5,28,31,27,7,18,13,10,1,5,4,10,7,4,0,2,3,3,1,5,1,0,1,1,0,1,0,0,0,1,0,0,0,0
12,8,45,33,27,7,26,16,16,23,8,4,5,4,5,6,6,1,2,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
13,4,28,30,38,7,28,14,7,27,11,9,6,3,3,5,2,0,3,3,3,2,4,1,0,1,0,0,0,0,0,0,0,0,0
14,7,36,46,31,14,25,16,12,11,11,4,7,7,3,7,7,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
15,9,22,29,20,10,18,7,10,2,4,8,5,3,1,0,4,5,4,1,3,0,0,1,2,0,0,0,0,0,1,0,0,0,0
16,3,31,37,27,7,19,13,11,20,6,6,5,5,3,6,1,4,2,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,1
17,7,52,38,42,18,33,10,4,24,9,5,3,4,5,7,0,2,1,2,3,1,3,1,0,0,0,1,3,1,0,1,1,0,0
18,4,10,8,9,2,12,3,6,0,4,1,2,2,2,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19,5,10,9,5,4,8,3,6,0,3,0,2,2,1,0,4,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,7,10,8,8,3,5,4,6,0,5,1,3,2,0,0,3,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21,6,16,6,10,5,8,1,7,0,4,2,1,1,1,0,4,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,2,9,4,5,3,5,4,5,0,4,1,2,2,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,1,9,4,8,1,6,7,5,0,3,1,2,4,1,0,1,1,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
