sentence_index,NNS,NN,JJ,IN,RB,VBG,VB,DT,VBP,NNP,CC,PRP,VBN,VBZ,TO,MD,VBD,WRB,PRP$,WP,RP,CD,JJR,WDT,RBR,POS,EX,(,),PDT,RBS,JJS,FW,NNPS,UH
1,9,10,11,8,8,0,10,6,8,1,3,15,2,3,3,1,3,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,8,21,12,20,7,0,9,9,8,3,4,14,1,5,2,1,1,4,2,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
3,14,28,14,15,5,0,9,9,7,0,6,8,0,2,1,5,1,4,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
4,14,18,11,11,8,1,8,6,7,4,6,12,4,3,3,4,1,3,1,1,3,0,1,1,2,2,1,0,0,0,0,0,0,0,0
5,21,18,10,17,3,1,5,7,12,3,8,10,3,3,1,3,0,3,2,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
6,14,24,18,13,3,4,10,9,5,0,7,7,0,5,4,5,0,3,2,1,1,1,2,2,2,2,1,0,0,0,0,1,0,0,0
7,18,13,20,15,8,3,12,7,5,2,5,7,3,5,4,5,3,2,1,1,1,0,1,3,1,0,3,0,0,0,0,0,0,0,0
8,16,22,18,13,9,2,12,3,5,5,4,5,3,1,3,7,0,3,0,1,1,0,0,0,2,2,0,2,2,0,0,0,2,0,0
9,19,16,25,14,7,8,12,8,5,2,7,7,0,5,2,3,2,2,0,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0
10,28,22,22,16,4,2,9,6,4,3,6,3,0,3,3,4,2,2,1,0,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0
11,26,21,22,18,4,6,12,9,5,3,6,4,2,2,4,7,2,1,1,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0
12,28,23,18,19,10,9,6,15,7,1,7,9,3,3,4,3,1,2,1,1,2,0,3,2,2,0,0,0,0,0,0,0,0,0,0
13,25,27,26,19,5,11,12,11,10,3,5,4,0,3,7,3,1,3,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
14,26,23,28,20,11,8,9,7,10,2,5,5,4,4,4,3,1,3,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0
15,25,22,21,18,6,7,11,8,10,6,8,4,2,1,5,3,1,0,1,2,2,0,2,1,1,0,0,3,3,0,0,1,0,0,0
16,23,34,29,23,8,13,8,11,5,3,6,5,1,3,4,4,1,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
17,30,31,24,26,9,10,9,9,5,2,9,5,2,2,3,6,2,1,1,2,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0
18,35,27,32,23,7,11,11,16,10,3,6,5,1,1,7,3,3,1,1,2,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0
19,41,27,29,23,14,14,15,9,9,2,9,4,6,5,5,5,2,2,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
20,46,37,26,25,10,13,11,17,10,1,13,5,4,8,6,5,3,2,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0
21,32,26,22,26,11,10,9,13,9,4,10,8,5,4,5,2,6,3,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0
22,40,30,35,27,11,12,13,8,8,0,8,1,4,3,3,5,1,4,1,1,1,0,2,2,1,0,1,0,0,1,0,0,0,0,0
23,38,26,29,26,11,15,12,9,13,0,8,8,3,6,4,4,1,3,4,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0
24,33,42,39,23,8,15,9,5,6,1,8,1,1,4,5,5,1,0,2,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
25,38,95,67,27,92,20,6,6,5,1,6,2,30,4,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,34,82,72,31,76,28,13,10,6,2,11,6,19,9,5,3,6,2,4,1,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0
27,33,30,28,32,14,16,11,10,11,1,8,6,3,4,2,3,1,3,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
28,26,33,29,19,10,7,9,17,8,4,10,6,5,9,9,4,3,1,4,2,0,0,1,2,1,0,3,0,0,2,0,0,0,0,0
29,25,32,32,25,12,10,12,12,4,4,5,6,3,7,5,4,3,3,1,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30,32,21,25,19,9,16,10,10,7,7,9,5,3,4,4,2,3,2,3,1,0,1,0,0,1,0,0,1,1,2,0,0,0,0,0
31,25,50,118,20,33,33,7,8,5,3,7,2,68,3,3,4,17,1,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
32,34,23,23,27,11,11,7,11,6,4,10,11,4,4,3,3,3,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
33,30,25,30,19,9,11,14,7,4,21,11,7,5,2,5,2,2,1,3,2,1,5,1,1,1,0,0,1,1,0,0,0,0,1,0
34,152,59,34,15,4,35,11,5,16,21,8,2,3,10,2,2,3,2,1,1,1,5,0,1,1,1,1,0,0,0,0,0,0,0,0
35,135,54,30,18,33,35,12,4,13,19,7,6,25,6,3,1,3,1,1,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0
36,134,58,26,19,26,38,12,6,17,19,7,4,20,7,3,1,2,2,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
37,132,67,30,19,18,36,10,8,17,22,4,4,15,11,4,2,2,3,3,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
38,146,48,37,18,24,31,10,5,12,20,9,5,19,9,3,2,3,2,3,1,2,5,1,1,0,1,0,0,0,0,0,0,0,0,0
39,90,47,31,21,18,25,15,9,21,20,5,14,12,6,5,1,3,5,4,1,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0
40,10,25,16,16,14,1,13,10,4,6,7,11,2,3,6,5,4,3,1,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,1
