sentence_index,NNS,NN,JJ,IN,RB,VBG,VBN,VB,DT,NNP,CC,VBP,VBZ,TO,MD,VBD,PRP,CD,PRP$,WRB,WDT,JJR,WP,RBR,POS,(,),FW,RP,JJS,EX,PDT,NNPS
1,21,25,27,17,7,5,1,6,9,1,7,4,6,3,3,0,4,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2,17,25,20,20,11,6,1,5,11,5,6,5,3,2,3,1,4,0,3,2,0,0,1,1,0,2,2,0,0,0,0,0,0
3,28,22,27,15,2,6,1,9,8,0,6,4,3,4,5,0,2,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0
4,18,33,21,18,4,8,0,6,11,1,8,4,5,4,4,2,2,0,3,2,2,2,1,1,0,0,0,0,0,0,0,1,0
5,21,32,21,21,9,7,2,8,10,0,6,1,8,1,6,0,2,0,1,1,2,3,1,1,0,0,0,0,0,0,0,1,0
6,14,27,20,12,6,6,0,9,4,0,8,5,2,5,5,0,1,0,2,1,2,0,1,1,1,0,0,0,0,0,0,0,0
7,27,15,24,16,10,11,5,10,8,0,7,3,2,2,6,1,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
8,20,24,26,19,5,5,2,7,7,0,7,1,8,5,3,0,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
9,26,27,21,21,6,6,1,11,6,1,9,6,5,6,3,0,4,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
10,32,23,27,20,10,10,0,8,5,0,10,3,2,3,5,0,3,0,4,0,1,3,1,0,0,0,0,0,0,0,0,0,0
11,28,35,25,21,6,11,1,9,9,0,8,1,1,2,6,2,1,1,1,1,0,3,1,0,0,0,0,0,0,1,0,0,0
12,27,25,29,21,9,7,3,8,8,2,8,4,5,5,4,0,2,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0
13,22,28,33,19,8,8,2,10,12,1,5,5,3,6,5,0,3,0,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0
14,30,33,31,26,8,12,1,10,11,1,7,3,4,6,7,0,2,0,2,3,1,2,1,2,0,0,0,0,1,0,0,0,0
15,21,26,26,20,8,12,1,5,14,3,7,3,9,3,2,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
16,28,27,34,18,10,8,3,8,13,1,7,7,1,5,5,0,1,0,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0
17,37,29,32,21,12,9,5,12,9,2,8,3,1,3,6,0,2,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0
18,34,25,26,21,8,10,3,12,11,0,10,1,4,6,7,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0
19,39,30,23,24,8,13,2,9,8,1,11,7,7,6,2,1,5,0,3,3,0,1,1,1,1,0,0,0,0,1,0,0,0
20,43,35,26,24,8,14,5,5,15,1,9,7,12,3,2,0,3,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
21,33,24,26,25,14,14,3,8,15,0,7,7,7,5,3,0,3,0,2,3,1,3,2,1,0,0,0,0,0,0,0,0,0
22,38,42,30,26,11,14,2,10,8,3,9,7,5,4,5,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
23,41,30,33,28,11,15,3,10,4,2,8,3,4,4,4,1,4,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0
24,38,95,67,27,92,20,30,6,6,1,6,5,4,3,3,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
25,40,31,43,29,12,12,2,6,5,2,6,6,4,4,1,0,4,0,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0
26,38,81,83,33,69,27,18,10,9,2,9,9,7,5,3,4,5,0,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0
27,25,46,103,16,31,18,99,12,10,0,8,3,5,6,5,31,1,0,1,3,2,2,0,1,0,0,0,0,2,0,2,0,0
28,36,42,46,23,94,14,82,10,14,1,8,3,7,5,5,12,0,1,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0
29,40,31,45,26,110,15,97,5,7,2,8,7,1,4,1,3,1,2,1,0,2,0,0,0,0,2,2,0,1,0,0,0,0
30,34,31,51,24,76,68,77,7,11,2,7,3,3,3,4,21,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
31,32,38,37,23,16,15,4,8,8,0,10,5,4,5,4,0,1,0,4,1,1,3,2,0,1,0,0,0,0,0,0,0,0
32,42,28,38,20,48,121,40,11,7,11,8,7,5,6,2,2,2,5,3,2,2,2,0,0,0,1,1,0,0,0,0,0,1
33,35,203,61,24,10,8,2,11,5,13,10,6,5,4,3,1,0,6,2,2,1,0,1,0,1,0,0,0,0,1,0,0,0
34,155,63,38,20,12,38,4,9,4,16,8,16,8,5,2,2,0,6,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0
35,64,42,52,20,75,70,28,11,4,14,10,9,8,6,0,6,0,6,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0
36,63,46,52,23,69,63,29,14,4,19,12,8,3,4,3,7,2,6,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0
37,142,62,38,20,18,37,14,9,4,18,10,17,7,4,0,0,1,6,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0
38,23,162,52,25,25,42,18,9,12,23,9,7,6,3,1,0,1,5,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0
39,17,16,21,21,5,9,1,12,10,9,5,2,0,2,7,1,6,0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0
40,29,35,32,17,5,6,3,14,7,27,9,5,2,6,3,0,3,5,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0
41,58,98,57,22,10,85,6,9,6,27,6,9,3,2,2,1,1,5,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
42,197,39,35,20,4,10,2,6,11,25,6,14,7,3,3,1,1,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
43,194,30,28,25,7,11,3,12,8,26,9,16,5,2,4,0,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
44,206,36,36,20,5,6,3,7,5,14,7,15,6,4,2,3,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
45,190,29,41,22,3,13,3,11,5,25,6,16,5,3,2,0,0,5,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0
46,193,22,41,24,4,12,4,12,5,24,9,13,4,2,2,1,0,5,2,2,2,0,0,0,1,1,1,0,0,0,0,0,1
47,195,44,30,18,2,8,3,8,11,19,6,13,6,3,3,2,2,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
48,199,47,24,20,4,7,3,8,8,18,8,14,5,5,1,1,1,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
49,203,42,23,9,3,9,1,11,10,22,7,14,6,5,3,1,2,4,2,2,0,2,2,0,1,1,1,1,0,0,0,0,0
50,206,41,28,16,2,5,2,12,11,20,10,12,6,1,4,2,3,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
