sentence_index,NN,NNS,JJ,IN,RB,VBG,VB,DT,VBP,NNP,CC,VBN,PRP,VBZ,TO,MD,VBD,WRB,PRP$,CD,WP,WDT,RP,JJR,RBR,POS,EX,PDT,RBS,),(,JJS,NNPS,FW,UH,LS
1,14.5,8.0,12.0,8.0,7.0,0.5,8.0,6.0,7.0,2.0,4.0,2.0,14.0,3.0,2.0,0.5,4.0,2.0,1.5,0,2.0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0
2,22.5,8.0,11.0,17.0,9.0,0.5,7.5,7.5,6.0,2.5,5.5,2.0,10.0,4.0,1.0,0.5,3.0,4.0,1.0,0.5,1.5,0,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0
3,21.5,11.5,15.0,15.0,5.0,1.0,6.0,7.5,6.0,4.0,5.5,0.5,6.0,1.5,1.5,2.5,3.0,3.0,1.0,0,0.5,1.0,2.0,1.0,0.5,1.0,0,0.5,0,0,0,0,0,0,0,0
4,17.5,13.0,11.5,10.5,6.5,0.5,8.0,6.0,7.5,4.0,5.5,2.5,8.5,1.5,3.0,3.0,1.0,2.5,1.0,0,0.5,1.5,2.0,0.5,1.5,1.0,0.5,0,0,0,0,0,0,0,0,0
5,18.0,15.5,9.0,15.0,5.0,0.5,5.0,6.0,10.5,5.5,6.0,2.0,9.0,3.5,1.0,3.0,1.0,3.0,2.0,0,1.5,1.0,0.5,1.0,1.5,0,0.5,0,0.5,0,0,0,0,0,0,0
6,17.5,13.0,14.0,14.0,5.0,5.5,9.5,7.5,4.5,0.5,4.5,0,6.5,2.5,3.5,4.0,2.5,2.5,1.0,0.5,1.0,2.0,1.0,1.0,1.5,1.0,0.5,0,0,0,0,0.5,0,0,0,0
7,17.5,14.5,18.5,15.5,6.5,2.5,8.5,6.5,4.0,2.0,5.0,3.5,6.5,3.0,3.0,4.5,2.5,2.5,1.0,0,0.5,2.0,1.0,1.0,1.0,0,1.5,0,0,0,0,0,0,0,0,0
8,21.0,14.5,18.5,15.0,8.0,2.0,9.5,6.5,7.0,3.5,4.0,2.0,8.0,2.5,2.5,5.0,1.0,2.5,0,0.5,1.0,0.5,1.5,0,1.5,1.0,0.5,0,0,1.0,1.0,0,0,2.0,0,0
9,20.5,17.0,23.0,16.5,8.5,5.0,12.0,6.0,5.5,3.0,6.0,0.5,6.0,4.0,3.0,3.5,2.0,2.5,1.0,0,2.0,1.0,1.5,0,0,1.0,1.0,0,0.5,0,0,0,0,0,0,0
10,24.0,25.0,20.0,15.0,4.5,5.0,9.0,7.0,6.5,1.5,6.5,0,4.0,2.0,3.0,4.5,1.5,2.0,1.0,0.5,1.0,1.5,1.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0
11,22.0,26.0,18.0,16.5,4.0,6.0,9.5,8.5,4.5,2.0,7.0,1.5,3.5,3.5,3.0,6.0,1.0,2.0,1.0,0,0.5,1.0,1.0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0
12,29.0,37.5,20.5,21.5,8.0,9.0,8.5,11.5,6.0,6.0,9.5,3.0,5.5,4.0,2.5,4.0,2.5,2.5,1.0,2.5,1.0,2.0,1.0,2.5,1.0,0,0,0,0,0,0,0,0.5,0,0,0
13,28.0,29.0,28.0,20.0,4.0,9.5,11.5,9.0,8.5,9.0,8.0,1.0,3.0,3.5,5.0,3.0,0.5,3.0,1.5,2.5,0.5,0,0.5,0,0,1.0,0.5,0,0,0,0,0,0,0,0,0
14,26.0,29.5,28.0,17.0,8.5,7.0,14.5,9.0,8.5,6.0,6.5,3.0,4.0,4.0,6.0,5.0,2.0,2.0,0.5,3.0,1.5,2.5,2.0,1.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0
