sentence_index,NNS,NN,JJ,IN,RB,VBG,VBN,VB,VBP,DT,NNP,CC,VBZ,TO,MD,CD,VBD,PRP,PRP$,WRB,WDT,JJR,WP,RBR,POS,),(,EX,RP,JJS,FW,NNPS,RBS,PDT
1,20.0,24.0,26.0,15.0,8.5,5.0,0.5,4.5,5.0,6.5,0.5,8.0,6.0,3.5,2.0,0,1.0,4.0,2.5,2.5,2.0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
2,17.0,25.5,19.5,19.5,10.0,4.5,3.0,5.0,5.5,8.0,7.5,8.0,3.0,2.5,3.0,0,1.0,4.5,3.0,1.0,1.0,0,0.5,0.5,0,1.5,1.5,0,0.5,0,0,0,0,0
3,21.5,25.5,23.5,17.0,5.0,5.5,3.5,8.0,4.5,7.5,0,6.0,3.0,4.5,3.0,0,1.5,3.0,2.5,2.0,1.0,0.5,1.0,0,0.5,0,0,0,0,0,0,0,0,0
4,18.5,28.0,19.5,17.0,10.0,7.5,1.5,7.5,4.5,10.0,1.5,7.0,5.0,5.0,4.0,0,1.5,3.0,3.0,2.0,2.0,1.0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0.5
5,18.5,28.5,23.5,20.0,7.0,4.0,3.0,8.5,2.5,9.0,4.0,5.5,6.5,3.0,5.0,0,0,3.0,2.0,2.0,2.0,1.5,0.5,1.0,0,1.5,1.5,1.0,0,0.5,0,0,0,0.5
6,17.0,23.0,22.0,14.5,8.0,4.0,2.5,6.5,6.0,6.0,2.5,7.5,3.5,4.0,3.5,0,0,3.0,2.0,1.5,1.5,0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0,0,0,0,0
7,20.0,18.5,24.5,13.5,8.0,7.5,4.5,8.5,3.5,7.0,2.0,7.5,4.0,1.5,5.5,0,0.5,2.5,2.0,2.5,1.0,0.5,0,1.0,0,0.5,0.5,0.5,0,0,0,0,0,0
8,19.0,28.0,22.5,19.0,5.0,7.5,2.0,9.5,1.5,7.5,1.5,6.5,6.0,5.0,4.0,0,0.5,2.5,1.5,0.5,0.5,1.0,0.5,0,0.5,0,0,0,0,0,0,0,0,0
9,27.0,26.5,21.5,21.5,5.0,7.5,0.5,11.5,5.5,8.0,1.5,7.0,4.0,5.5,4.5,0,0,2.5,1.5,0.5,0.5,0,1.0,0.5,1.0,0,0,0.5,0,0,0,0,0,0
10,28.0,23.0,27.5,19.5,6.0,8.5,0,8.0,4.0,8.0,1.0,8.0,3.5,3.5,4.0,0,0,3.0,3.0,1.0,0.5,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0
11,32.0,35.0,28.0,22.0,6.0,12.5,2.0,11.5,3.0,10.0,4.5,10.0,1.0,2.5,7.5,2.5,1.5,1.5,1.0,1.5,0.5,1.5,0.5,0.5,0,0,0,0,0,1.5,0,0,0,0
12,40.0,31.5,29.5,22.5,5.5,8.0,3.0,11.5,4.0,8.0,7.5,10.5,4.0,5.0,6.0,2.5,0,1.5,2.0,0.5,0.5,0,1.5,0.5,1.0,0,0,0,0,0,0,0,0,0
13,36.5,28.5,31.0,22.5,5.5,7.5,2.5,12.0,3.5,11.0,7.0,8.0,3.5,5.5,5.0,2.5,0.5,2.0,2.0,0.5,0,0.5,1.0,0,0.5,0,0,0,0.5,0,0,0.5,0,0
