sentence_index,NN,NNS,JJ,IN,VBG,RB,VB,VBP,DT,NNP,VBN,CC,VBZ,PRP,VBD,TO,MD,CD,WRB,PRP$,WDT,WP,RP,JJR,POS,RBR,EX,RBS,PDT,NNPS,JJS,(,),FW,LS
1,19,7,13,8,1,6,6,6,6,3,2,5,3,13,5,1,0,0,2,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0
2,24,8,10,14,1,11,6,4,6,2,3,7,3,6,5,0,0,0,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
3,15,9,16,15,2,5,3,5,6,8,1,5,1,4,5,2,0,0,2,2,1,1,2,1,1,1,0,0,1,0,0,0,0,0,0
4,17,12,12,10,0,5,8,8,6,4,1,5,0,5,1,3,2,0,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5,18,10,8,13,0,7,5,9,5,8,1,4,4,8,2,1,3,0,3,2,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0
6,11,12,10,15,7,7,9,4,6,1,0,2,0,6,5,3,3,0,2,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
7,22,11,17,16,2,5,5,3,6,2,4,5,1,6,2,2,4,0,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
8,20,13,19,17,2,7,7,9,10,2,1,4,4,11,2,2,3,1,2,0,1,1,2,0,0,1,1,0,0,0,0,0,0,2,0
9,25,15,21,19,2,10,12,6,4,4,1,5,3,5,2,4,4,0,3,2,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0
10,26,22,18,14,8,5,9,9,8,0,0,7,1,5,1,3,5,1,2,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0
11,23,26,14,15,6,4,7,4,8,1,1,8,5,3,0,2,5,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,35,47,23,24,9,6,11,5,8,11,3,12,5,2,4,1,5,5,3,1,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0
13,29,33,30,21,8,3,11,7,7,15,2,11,4,2,0,3,3,5,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,29,33,28,14,6,6,20,7,11,10,2,8,4,3,3,8,7,5,1,0,3,2,2,2,1,0,1,1,0,0,0,0,0,0,0
15,38,39,27,24,6,3,12,4,9,22,1,13,5,2,0,3,2,6,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,44,40,32,31,15,7,14,5,13,14,6,10,7,2,2,5,3,7,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,39,44,35,28,10,5,21,7,8,20,3,9,5,4,1,5,4,7,2,4,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0
18,46,46,41,31,5,8,17,8,7,22,2,9,3,2,3,8,4,7,3,1,1,0,0,1,3,1,0,1,0,1,0,1,1,0,0
19,45,32,48,18,10,20,21,5,8,14,2,7,9,2,3,7,8,7,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0
20,10,4,7,5,0,2,4,4,3,1,2,1,0,5,2,1,1,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
21,4,6,4,3,1,3,2,3,4,0,0,0,1,1,1,0,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,90,33,82,13,34,30,9,12,4,20,14,6,3,0,7,6,3,5,1,1,2,0,1,1,1,2,0,0,0,1,0,0,0,0,0
23,47,33,62,21,7,55,16,10,9,16,12,9,8,5,4,6,4,5,3,2,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0
24,8,11,10,9,6,5,7,3,10,0,1,4,2,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
25,12,7,9,8,4,4,5,3,8,0,2,4,1,0,0,2,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
26,11,7,7,7,3,5,7,0,6,0,1,3,5,2,2,4,3,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
27,16,4,9,10,3,4,4,1,10,3,2,3,5,1,0,1,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
28,11,11,15,9,6,4,7,2,5,3,3,3,2,2,1,2,4,1,1,1,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0
29,122,24,56,9,10,18,9,9,4,3,77,4,0,0,13,2,3,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,48,30,32,11,11,20,3,6,4,7,2,5,2,2,1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
32,42,15,18,4,7,19,0,3,4,1,1,2,4,1,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
33,7,7,5,5,4,4,3,5,2,0,0,2,1,0,0,1,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
34,2,1,1,1,0,1,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
35,31,4,5,4,3,8,2,3,2,0,1,1,2,2,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,51,147,40,16,11,10,15,23,8,14,20,8,8,4,10,5,6,4,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
37,6,3,1,3,0,4,3,1,3,0,1,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,179,17,63,11,10,6,5,3,7,0,86,5,2,1,27,2,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,73,115,67,3,35,14,2,12,3,0,4,0,5,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,90,133,46,15,8,29,7,13,5,6,4,5,7,1,2,5,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41,4,3,3,7,1,1,4,3,3,1,0,1,0,4,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42,17,12,11,14,5,4,4,5,8,1,0,4,3,3,0,3,1,0,3,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0
43,14,6,11,12,2,2,4,4,5,0,0,4,2,7,1,1,2,0,3,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0
44,5,5,7,7,1,2,3,1,2,2,2,2,0,1,3,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
45,151,24,46,21,109,4,13,14,10,14,0,10,3,2,1,2,3,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
46,4,4,0,3,0,0,3,2,2,2,1,1,0,4,0,1,2,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0
47,16,19,7,16,14,12,12,4,10,2,4,8,4,7,1,3,5,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
48,152,114,44,12,8,4,17,25,9,15,2,7,12,1,1,5,2,3,1,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0
49,133,175,30,12,6,3,13,14,5,19,1,7,9,2,5,4,3,3,1,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0
50,5,4,2,6,1,2,2,1,3,1,0,1,0,4,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
