sentence_index,NN,NNS,JJ,IN,DT,RB,VBG,VB,PRP,CC,VBP,VBZ,TO,VBN,WRB,NNP,MD,PRP$,VBD,WDT,CD,JJR,WP,RP,RBR,POS,EX,UH,JJS,RBS,NNPS,(,)
1,12,3,11,10,6,5,4,7,6,5,4,2,1,1,0,0,3,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0
2,6,4,8,5,4,3,1,4,9,5,2,3,2,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
3,8,5,5,11,4,4,4,3,7,3,3,5,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,3,2,5,4,3,8,1,6,8,3,5,2,2,0,2,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
5,7,4,10,9,5,8,2,3,5,4,5,2,1,2,3,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
6,9,2,7,5,6,9,1,2,8,3,3,0,3,4,2,0,0,1,6,0,1,0,0,1,0,0,1,1,0,0,0,0,0
7,13,3,9,11,8,4,0,2,10,3,2,2,2,1,1,0,1,0,7,0,1,2,2,0,0,1,0,1,0,0,0,0,0
8,11,3,7,8,8,3,3,6,10,4,4,4,2,1,0,0,2,2,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0
9,8,8,7,8,6,8,2,5,5,3,2,3,3,1,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10,8,11,8,12,5,7,4,3,4,3,3,2,0,1,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,10,10,9,3,5,3,3,5,5,6,1,1,1,0,8,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
12,8,6,8,9,7,1,4,5,6,2,5,1,3,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
13,11,7,8,6,3,5,3,3,3,4,3,4,2,3,1,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0
14,6,5,9,5,3,6,3,7,5,5,3,1,3,1,2,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0
15,16,3,3,11,8,3,5,5,9,5,2,4,1,0,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
16,7,3,11,8,5,4,5,5,4,3,2,3,3,1,2,0,3,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0
17,9,8,9,11,5,4,3,2,4,3,2,0,2,5,2,0,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0
18,9,9,10,4,3,5,4,5,4,2,3,2,1,1,2,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,16,5,9,8,10,6,1,3,6,1,1,2,3,0,1,0,0,1,8,2,0,0,0,0,0,0,1,1,0,0,0,0,0
20,15,4,2,9,5,6,5,0,4,4,2,3,1,2,1,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
21,11,5,8,8,5,5,6,4,5,3,3,6,1,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
22,10,10,4,7,6,5,6,5,4,3,3,6,2,1,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
23,14,8,7,5,5,7,4,8,5,5,4,3,5,2,3,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
24,15,10,6,5,6,6,5,6,5,2,6,4,3,1,1,0,1,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0
25,11,13,9,10,6,6,6,5,4,4,4,4,4,4,0,1,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
26,14,7,6,12,8,9,5,7,6,2,4,3,4,1,2,0,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
27,14,13,11,9,13,11,4,6,10,4,2,0,3,5,1,0,2,1,10,2,2,0,0,1,0,1,0,1,0,0,0,0,0
28,25,14,16,10,13,7,3,6,4,7,1,0,4,5,2,0,1,2,9,2,1,0,0,0,0,3,0,1,0,0,0,0,0
29,18,16,17,13,10,7,4,3,4,7,11,1,3,4,0,0,1,1,0,2,2,2,0,1,2,1,1,1,0,1,0,0,0
30,17,13,14,17,10,6,8,5,5,5,4,3,6,5,1,1,1,4,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0
31,20,22,18,13,9,6,10,10,4,10,5,7,3,2,2,3,2,3,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0
32,27,18,8,17,8,12,13,11,10,12,11,5,6,6,3,0,1,2,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0
33,29,24,22,17,9,12,10,14,11,10,8,6,6,2,4,2,3,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
34,27,28,23,23,14,7,10,9,9,7,7,13,5,2,6,0,3,1,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0
35,30,22,20,19,9,16,13,6,11,9,9,12,4,2,2,1,3,4,2,1,1,1,1,0,0,2,0,0,1,0,0,1,1
36,23,28,14,19,11,10,8,12,6,7,6,9,10,7,4,0,4,5,1,3,1,0,0,3,2,0,0,0,0,0,0,0,0
37,25,30,22,16,13,5,14,11,4,5,8,6,6,4,4,1,4,4,0,1,0,3,1,1,2,1,0,0,0,0,0,0,0
38,27,21,14,22,12,12,10,10,10,8,10,7,6,6,4,1,1,3,7,1,0,0,3,1,0,1,0,0,0,0,0,0,0
39,24,27,19,15,12,6,18,12,8,6,7,6,6,3,5,2,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
40,30,21,20,24,14,11,16,12,10,9,8,9,5,6,3,3,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41,35,25,18,21,15,7,16,11,6,10,9,8,6,7,2,0,2,5,0,1,0,2,1,1,0,2,0,0,0,0,0,0,0
42,30,26,22,26,16,7,8,9,7,7,9,8,6,4,5,2,3,6,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0
43,36,22,22,20,18,8,18,10,4,9,4,9,7,3,2,0,3,2,0,3,0,0,2,1,1,1,0,0,0,1,0,0,0
44,39,26,33,24,13,9,15,6,6,10,8,11,5,4,4,1,2,4,4,3,0,0,2,0,0,1,0,0,1,0,0,0,0
45,42,31,28,32,16,10,18,20,9,9,14,6,6,8,4,18,5,3,3,2,6,0,2,2,1,0,0,0,1,0,0,0,0
46,49,42,36,35,14,11,17,14,5,11,11,11,2,9,6,17,5,2,1,1,7,1,1,0,1,0,1,0,0,1,1,0,0
47,48,43,45,31,10,28,18,25,7,8,10,7,5,6,4,24,8,3,1,1,7,5,3,0,3,0,1,0,0,0,0,0,0
48,11,7,5,9,4,5,3,5,2,3,2,3,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
49,74,110,42,13,10,39,17,9,3,5,13,7,4,2,4,10,0,0,2,0,4,0,0,0,0,1,0,0,1,0,0,0,0
50,102,65,40,18,7,23,51,9,6,6,9,4,3,1,1,7,3,1,0,0,4,1,0,7,1,3,0,0,1,0,0,0,0
