sentence_index,NN,IN,JJ,PRP,NNS,DT,RB,VBP,VB,CC,VBD,VBZ,TO,WRB,NNP,VBG,PRP$,VBN,WP,RP,MD,POS,WDT,UH,JJR,RBR,CD,EX,FW,JJS,PDT,NNPS
1,20,12,13,14,7,7,9,11,4,10,3,2,1,2,2,1,2,3,1,1,0,0,0,1,0,1,0,0,0,0,0,1
2,14,16,12,10,8,7,10,8,6,5,2,3,1,5,1,6,1,2,2,1,2,0,0,1,1,2,0,0,0,0,0,0
3,22,13,12,17,4,9,6,8,9,7,3,2,2,3,3,1,2,2,2,1,1,2,0,1,0,0,0,0,0,0,1,0
4,16,9,8,13,4,11,11,5,5,5,11,2,2,2,1,0,1,2,1,1,1,1,0,1,1,1,2,1,0,0,0,0
5,21,18,12,17,7,11,6,14,10,7,1,1,3,5,1,0,2,1,3,1,2,1,0,0,1,0,0,0,0,0,0,0
6,25,15,13,12,12,8,9,8,6,7,3,4,4,2,1,0,3,0,1,2,1,2,2,0,0,0,0,1,0,0,0,0
7,23,14,4,14,5,7,8,6,9,7,1,1,3,3,2,2,0,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0
8,25,14,15,11,3,9,3,6,6,6,4,3,2,3,2,0,3,0,1,2,3,0,0,1,0,1,0,0,0,0,0,0
9,19,9,7,8,7,9,10,0,2,6,16,1,0,2,0,0,3,2,0,3,0,0,1,1,1,2,0,1,0,0,0,0
10,8,13,9,11,2,3,6,6,5,3,2,3,3,2,1,5,2,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0
11,21,16,20,12,7,8,6,11,7,5,3,4,4,3,0,2,3,1,2,1,2,0,2,0,0,1,1,0,0,0,0,0
12,11,15,12,13,12,7,7,11,4,5,1,5,3,3,2,0,2,1,2,0,0,0,0,1,4,1,0,0,0,0,0,0
13,17,12,9,10,5,9,11,1,5,3,14,1,5,2,0,1,2,1,1,2,0,2,0,1,1,1,1,0,0,0,0,0
14,20,18,17,11,7,5,8,7,3,3,4,2,1,3,6,0,2,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0
15,18,9,9,9,8,7,6,4,6,4,11,0,2,0,1,2,2,1,0,4,0,0,0,1,0,1,1,0,1,0,0,0
16,16,16,10,12,6,16,9,1,3,3,11,0,1,4,1,3,2,4,1,1,1,1,0,1,0,0,1,1,0,1,0,0
17,26,9,14,13,8,7,5,7,5,4,2,6,4,5,4,0,2,0,0,0,0,2,0,1,1,2,0,1,0,0,0,0
18,20,16,15,11,7,11,8,5,13,8,2,3,5,2,0,1,1,0,2,0,4,0,1,0,1,1,0,0,0,0,0,0
19,24,13,10,8,7,10,7,3,8,5,3,4,3,3,1,2,1,0,0,1,2,1,0,1,0,1,0,0,2,1,0,0
20,15,11,16,11,7,9,14,8,8,3,4,4,4,4,3,0,2,0,0,3,1,3,0,1,0,1,0,0,0,0,0,0
21,22,13,12,13,6,10,7,2,2,2,13,0,2,3,1,2,1,3,1,2,0,0,1,1,0,1,1,0,0,0,0,0
22,12,11,11,7,20,11,7,12,8,5,1,2,4,4,2,0,0,1,0,1,1,1,1,1,4,0,0,0,0,0,0,0
23,20,14,15,3,14,6,7,5,6,8,1,4,1,1,4,1,0,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0
24,16,16,9,10,16,8,7,5,3,7,3,4,0,1,4,3,2,0,2,3,1,2,3,1,0,0,1,0,1,0,0,0
25,11,16,13,7,14,10,4,2,3,5,5,3,2,1,2,4,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0
26,17,8,11,7,10,6,8,8,4,5,2,4,0,2,3,2,3,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0
27,22,11,8,11,7,12,6,6,7,3,4,4,3,0,2,1,4,1,2,1,0,1,2,1,0,0,0,0,0,0,0,0
28,16,16,14,13,10,4,8,8,3,6,1,5,2,3,2,2,3,2,1,0,1,2,0,1,1,0,0,0,1,0,0,0
29,17,13,11,10,9,5,13,7,4,6,2,6,3,1,2,1,5,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
30,16,12,8,8,11,4,5,9,6,8,1,1,1,2,2,4,5,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0
31,15,11,11,14,8,5,11,7,8,7,2,5,3,6,0,2,2,1,1,2,2,0,0,1,0,0,0,0,0,1,0,0
32,15,12,11,11,6,5,9,8,5,4,1,5,1,6,1,5,3,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0
33,23,16,10,14,7,13,8,10,10,8,2,6,3,2,1,3,5,1,3,2,2,1,1,0,1,0,0,1,0,0,1,0
34,25,16,14,10,5,9,10,8,4,5,2,4,0,5,4,0,2,1,0,3,3,3,1,0,0,0,0,0,0,0,0,0
35,22,20,8,11,10,6,11,7,1,5,2,4,2,2,2,1,1,5,1,2,0,1,1,1,0,1,0,1,2,0,0,0
36,22,16,12,10,12,6,7,8,6,4,1,5,2,3,2,5,2,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0
37,21,16,7,11,5,9,12,6,9,4,1,6,3,4,0,4,2,3,5,1,2,0,0,0,0,0,0,1,0,0,0,0
38,16,13,16,11,11,7,3,9,7,6,3,4,3,3,6,0,1,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0
39,23,14,12,12,12,7,9,10,7,3,1,5,2,1,3,2,2,4,1,3,3,1,0,0,0,0,0,0,1,0,0,0
40,25,15,18,10,8,9,7,4,2,8,9,2,3,0,1,7,2,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0
41,20,12,13,8,10,8,5,4,4,9,2,2,2,1,1,8,2,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0
42,21,13,9,14,7,8,7,11,5,5,1,5,3,1,2,4,2,2,3,0,1,0,2,0,3,0,0,2,0,0,0,0
43,28,11,8,9,9,8,6,5,6,7,2,10,3,1,6,0,3,2,2,0,2,4,1,0,0,0,0,0,0,0,0,0
44,18,9,13,15,7,5,9,6,5,5,4,4,3,2,5,4,2,2,2,1,1,1,0,0,0,0,0,0,2,0,0,0
45,15,13,16,4,12,6,1,3,6,3,2,1,2,1,4,6,2,3,1,0,2,0,0,0,0,1,0,0,1,0,0,0
46,23,13,7,9,4,9,4,5,6,4,3,4,3,1,6,3,2,0,1,4,1,1,1,0,1,0,1,0,0,0,0,0
47,19,7,10,15,3,10,9,6,11,5,1,8,6,2,3,2,3,1,3,0,4,1,1,0,0,0,0,0,0,0,1,0
48,18,11,10,7,7,5,5,5,6,6,3,3,5,1,1,3,2,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0
49,19,13,13,9,7,8,4,8,6,3,4,3,4,1,2,3,3,2,2,0,0,0,1,0,1,1,1,0,0,0,0,0
50,17,11,15,8,8,8,4,4,5,6,2,4,3,0,4,2,2,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0
