sentence_index,NN,NNS,IN,JJ,DT,PRP,VB,RB,CC,VBP,VBG,VBZ,TO,MD,VBD,NNP,WRB,PRP$,VBN,WP,RP,WDT,POS,JJR,RBR,CD,UH,EX,JJS,FW,PDT,RBS,(,),NNPS
1,14.0,6.5,7.5,7.5,5.5,9.5,5.5,7.0,6.0,7.0,0.5,1.5,1.0,0.5,1.5,1.5,1.0,1.0,2.0,1.0,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0.5
2,10.0,7.5,11.0,8.0,5.0,7.0,4.5,6.5,3.5,6.0,3.5,2.5,1.5,1.5,1.0,0.5,3.5,0.5,1.5,1.0,1.0,0,0,1.5,1.0,0,0.5,0,0,0,0.5,0,0,0,0
3,15.0,5.5,10.0,8.5,6.5,10.5,6.5,4.5,4.5,5.5,0.5,1.5,1.0,1.5,2.0,2.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0,0
4,11.5,8.5,8.0,6.5,6.0,8.5,6.5,7.0,5.0,3.0,0.5,1.0,1.5,2.5,6.5,1.0,1.5,0.5,1.0,1.0,0.5,0.5,1.5,0.5,0.5,1.0,0.5,0.5,0.5,0,0,0,0,0,0
5,14.0,9.0,11.0,8.5,6.5,11.5,10.0,5.5,5.5,8.0,0,0.5,2.5,2.5,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0,1.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0
6,18.5,9.5,9.5,8.5,6.5,9.5,4.5,6.0,6.0,6.0,0,3.0,3.0,1.5,1.5,0.5,2.0,1.5,0.5,0.5,1.5,1.0,1.5,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0
7,17.0,7.5,10.5,3.0,4.0,9.5,6.5,6.0,5.0,3.5,1.0,0.5,1.5,4.0,1.0,1.5,2.5,0,0,0,2.0,0,2.0,0,0,0,0.5,0,0,0,0,0,0,0,0
8,17.5,8.5,10.5,9.0,6.5,8.0,6.5,2.0,6.0,4.5,0,2.0,2.5,3.5,2.5,1.0,2.5,1.5,0,1.0,2.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0
9,17.5,7.5,7.0,8.0,7.5,4.5,4.0,6.5,4.5,1.0,0,1.0,1.0,1.0,8.5,0.5,1.5,1.5,2.0,0,1.5,0.5,0,1.0,1.0,0.5,0.5,0.5,0,0,0,0,0,0,0
10,8.0,7.0,10.5,7.5,3.0,6.5,6.0,4.5,3.0,4.5,4.0,1.5,2.5,3.5,1.0,1.5,1.5,1.0,0,1.0,1.0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0
11,12.5,8.5,11.5,11.0,6.0,10.0,6.5,4.5,5.0,7.5,2.0,2.5,2.5,2.0,2.0,0,2.5,1.5,1.5,1.5,1.0,1.0,0,0,1.0,0.5,0,0,0,0,0,0,0,0,0
12,11.5,12.5,11.0,7.5,5.5,8.5,6.0,4.5,5.0,6.5,1.0,2.5,2.5,2.5,0.5,1.0,1.5,1.0,1.0,1.5,0.5,0,0,2.0,0.5,0,0.5,0,0.5,0,0,0,0,0,0
13,13.5,9.5,10.0,9.0,5.0,7.5,5.0,6.0,3.5,2.5,2.5,0.5,2.5,2.0,7.0,0,2.0,1.5,0.5,0.5,1.0,0.5,1.5,1.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0
