sentence_index,RB,JJ,NN,VBN,NNS,VBG,IN,VBD,VB,DT,CC,NNP,VBP,TO,MD,VBZ,PRP,CD,WRB,PRP$,WDT,WP,JJR,RBR,POS,RP,EX,NNPS,JJS,RBS,PDT,UH,FW
1,6,20,29,1,13,2,16,1,5,11,8,1,3,2,4,6,5,0,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0
2,8,13,27,6,12,9,16,7,4,14,8,1,5,2,2,1,9,0,4,3,1,0,1,1,0,1,1,0,0,0,0,1,0
3,15,31,27,2,17,16,17,0,6,9,8,0,7,4,5,8,6,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,20,26,1,29,8,22,11,9,11,8,0,2,6,1,1,8,2,1,3,1,0,3,1,1,0,1,0,0,0,0,0,0
5,15,28,28,2,23,7,23,0,7,12,6,0,5,4,3,7,4,1,0,1,2,1,3,2,0,0,0,0,0,0,0,0,0
6,13,31,37,2,30,9,23,1,16,11,9,0,9,5,10,2,2,1,4,0,0,0,5,3,0,0,0,0,0,0,0,0,0
7,5,7,13,0,11,4,8,0,3,5,4,0,3,2,3,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0
8,3,6,14,2,11,7,7,0,2,7,7,0,2,2,1,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
9,4,12,13,1,11,7,5,0,4,3,7,0,3,0,3,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
10,2,17,15,1,23,9,11,0,8,7,6,0,5,4,2,2,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0
11,7,7,18,3,13,5,12,0,5,7,7,0,6,4,2,3,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
12,46,72,80,20,35,33,13,17,1,6,5,0,7,2,0,5,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
13,57,98,111,13,32,37,16,14,6,10,7,0,3,3,3,6,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
