sentence_index,JJ,NN,RB,VBN,NNS,VBG,IN,VBD,DT,VB,CC,NNP,VBP,TO,VBZ,MD,CD,PRP,PRP$,WDT,WRB,POS,WP,JJR,RBR,NNPS,RP,(,),EX,JJS,RBS,FW
1,36,46,7,2,19,10,27,0,12,7,11,0,4,4,11,3,0,2,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0
2,23,33,9,5,18,12,25,1,8,8,8,0,3,7,5,3,2,3,4,0,4,1,1,0,1,0,0,0,0,1,0,0,0
3,30,32,12,2,20,15,23,0,9,9,8,0,5,5,4,3,1,4,4,1,3,2,2,0,0,0,0,0,0,0,0,1,0
4,36,20,18,6,26,10,21,2,6,3,7,1,3,4,7,1,2,2,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0
5,36,21,6,5,37,11,25,0,12,7,8,0,7,3,2,2,1,1,2,1,3,2,0,2,2,0,1,0,0,0,0,0,0
6,42,25,14,1,31,17,23,2,10,13,7,2,7,4,1,7,0,2,1,2,1,0,1,1,0,0,0,2,2,1,0,0,0
7,98,82,52,13,47,31,32,8,9,12,10,0,2,5,5,7,1,3,3,0,1,2,1,3,2,0,1,0,0,1,0,0,0
8,92,72,53,18,50,38,21,10,9,15,9,1,4,6,3,8,0,0,2,1,1,0,2,1,1,0,0,0,0,0,1,0,0
9,106,80,50,22,46,42,19,15,5,6,6,2,6,4,4,2,1,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0
10,105,87,51,31,51,43,18,11,9,4,7,0,3,4,3,3,1,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0
11,94,91,58,26,42,36,17,11,8,7,8,1,6,3,2,3,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
12,97,70,80,24,31,48,13,15,4,5,5,0,5,4,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,7,16,2,0,12,5,13,0,7,2,3,0,3,2,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,12,20,5,3,9,4,11,0,6,3,5,0,6,2,3,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
15,11,19,8,4,10,3,14,0,5,4,5,0,1,2,5,2,0,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0
16,13,16,4,0,9,6,9,0,4,4,6,0,1,2,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,13,19,2,0,9,3,8,0,5,6,4,0,2,3,5,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
18,11,19,1,0,12,4,11,0,8,5,3,0,1,1,2,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
19,10,18,3,0,11,3,10,0,7,4,5,0,2,1,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,11,16,3,2,12,7,7,0,3,3,2,0,2,1,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21,12,17,2,1,14,4,7,0,7,4,6,1,5,1,1,2,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
22,9,17,2,0,17,6,7,1,7,4,6,2,3,2,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
23,9,15,2,1,15,4,7,0,4,5,3,3,7,2,1,2,0,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0
24,9,18,1,0,16,7,10,0,5,7,4,0,1,2,1,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
25,12,15,2,4,10,3,13,0,9,5,5,1,2,1,3,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
26,7,12,2,0,14,7,8,0,5,6,4,0,2,4,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,75,69,94,55,22,17,14,14,4,17,5,9,4,2,2,9,4,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0
28,63,82,92,63,29,21,18,13,4,7,5,11,2,3,5,2,5,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
29,90,74,87,43,31,21,20,5,8,8,7,14,4,2,5,3,5,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0
30,45,40,64,48,27,11,23,8,9,15,6,18,3,4,3,5,5,2,2,1,2,0,1,0,0,2,0,0,0,0,0,1,0
31,83,89,89,53,14,23,14,19,7,7,3,7,3,2,6,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
32,97,87,98,53,13,23,7,18,6,6,6,4,2,1,4,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
33,8,16,2,1,8,3,9,0,5,4,1,0,2,1,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
34,86,86,98,62,10,20,5,20,5,3,4,4,2,1,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,93,83,77,40,22,22,12,20,7,9,5,8,3,5,2,3,3,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0
36,81,74,92,41,16,23,11,26,8,8,5,10,1,5,2,2,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
37,73,79,89,50,26,23,15,17,6,7,8,10,3,6,2,1,3,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
38,81,85,86,43,23,24,19,18,7,6,5,8,1,3,6,2,3,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
39,80,89,88,41,15,22,14,20,8,6,7,8,8,6,3,2,3,3,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0
40,79,57,99,58,22,19,15,24,6,10,4,9,2,3,3,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,76,62,98,52,22,17,16,24,7,5,4,14,3,2,3,1,3,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1
42,79,77,93,37,29,28,11,19,4,6,8,10,7,3,2,2,3,2,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0
43,96,76,97,36,19,24,10,25,8,4,6,9,5,2,3,1,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
44,80,79,96,36,26,22,15,22,6,10,7,9,3,8,4,1,3,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
45,74,72,91,32,22,30,18,29,5,8,5,9,6,7,3,1,3,3,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0
46,84,82,91,45,22,15,14,23,10,5,5,8,4,5,6,1,3,1,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0
47,75,69,94,41,25,20,16,21,9,9,7,10,11,4,5,1,4,2,3,4,1,2,0,0,1,0,0,0,0,0,0,0,0
48,68,77,93,43,19,20,12,30,8,9,5,12,4,3,5,3,4,2,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0
49,81,63,90,45,24,16,14,26,9,8,6,9,8,6,4,2,3,3,2,2,1,1,1,1,0,0,1,0,0,0,0,0,0
50,66,79,92,47,17,18,12,27,6,8,7,7,8,6,4,2,4,3,3,2,2,3,0,1,2,1,0,0,0,0,0,0,0
