sentence_index,NN,RB,JJ,VBG,NNS,VBN,IN,VB,DT,VBD,CC,NNP,VBP,TO,MD,VBZ,CD,PRP,PRP$,WDT,WRB,WP,RBR,JJR,POS,NNPS,EX,RP,(,),JJS,RBS,PDT,WP$,FW
1,34.5,6.5,28.0,7.5,18.0,1.0,22.0,7.0,11.0,0,9.0,0,3.5,4.0,2.5,8.5,0,3.5,2.0,1.0,3.0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0
2,27.5,6.0,22.5,11.5,17.5,3.0,21.5,9.0,8.0,0.5,6.5,1.0,2.5,5.0,4.5,3.5,1.0,2.0,2.5,0.5,2.5,1.0,1.0,0,0.5,0,0.5,0,0,0,0,0,0,0,0
3,29.0,10.0,21.5,8.5,19.0,2.5,20.5,8.5,8.0,0,6.5,1.0,5.5,4.0,4.5,3.0,1.0,2.5,2.0,1.5,2.0,1.5,0,0.5,1.0,0,0.5,0,0,0,0,0.5,0,0.5,0
4,20.0,11.0,25.5,8.0,25.5,4.5,20.0,7.0,6.5,1.0,5.5,0.5,3.5,4.5,3.0,5.5,1.0,3.0,3.0,1.0,1.5,0,0.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0
5,17.5,5.5,26.5,10.5,27.0,2.5,18.0,9.0,11.0,0,5.0,0,5.5,3.0,4.0,2.5,1.0,1.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0,0.5,0.5,0,0,0,0,0,0,0
6,22.5,8.5,28.0,13.0,27.0,1.5,19.0,11.5,9.5,1.0,6.5,1.5,4.5,3.0,6.5,1.5,0,2.5,1.0,1.5,0.5,1.0,0,0.5,1.0,0,0.5,0,1.0,1.0,0,0,0,0,0
7,53.5,30.0,59.0,18.0,31.5,7.0,23.5,11.5,10.5,4.0,8.5,0,3.0,5.0,6.5,3.5,0.5,3.0,2.0,0.5,1.0,1.0,1.5,1.5,1.5,0,0.5,0.5,0,0,0,0,0,0,0
8,47.0,29.5,58.0,25.0,38.0,10.5,20.0,11.5,8.5,5.0,8.0,0.5,4.5,5.0,6.0,3.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0,0,0,0,0,0,0.5,0,0,0,0
9,51.0,28.0,62.0,25.5,34.5,11.0,17.0,7.5,6.0,8.0,6.0,3.0,4.0,4.0,4.5,3.5,0.5,0,1.0,1.0,0,0.5,0,1.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0
10,60.5,28.0,63.5,25.5,41.5,16.0,16.0,8.5,9.0,5.5,7.5,0,4.0,4.0,5.5,3.0,0.5,1.0,1.0,2.0,0,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0
11,61.5,32.0,56.0,21.5,35.0,15.0,20.5,8.5,9.0,5.5,8.5,1.0,6.5,4.5,3.5,3.0,0,3.5,1.5,0.5,2.0,1.0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0
12,51.0,46.0,58.5,30.0,29.0,12.5,21.5,8.0,7.0,7.5,7.0,0,7.0,4.5,3.0,3.0,0,3.5,1.5,0.5,0,1.0,0,0.5,1.0,0,0,0,0,0,0,0,0,0,0
13,23.0,5.5,18.5,6.0,21.5,2.5,18.0,6.5,7.0,0.5,6.0,0,6.5,4.5,3.0,3.0,0,2.0,2.0,1.0,1.0,1.0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
14,22.0,7.0,23.0,9.0,22.0,2.5,17.5,7.5,7.0,0.5,6.5,0.5,5.0,4.5,4.0,4.0,0.5,1.0,1.0,0.5,1.0,2.0,1.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0
15,27.0,10.0,17.5,7.5,23.5,4.5,19.5,8.0,7.0,0,7.5,1.0,1.5,3.5,4.5,5.0,0.5,1.5,2.5,2.0,1.5,0.5,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0
16,27.5,5.0,22.5,10.5,18.5,4.0,14.5,8.5,6.0,0,8.5,0.5,1.5,4.0,4.0,4.5,0.5,2.0,0.5,0.5,0,1.0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
17,26.0,6.0,21.5,7.0,25.5,1.5,18.0,8.0,7.5,0.5,7.0,0,4.0,4.0,5.0,4.0,0,2.0,2.0,1.5,1.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32.0,3.0,18.0,7.5,24.5,1.0,17.0,6.5,7.5,0.5,7.0,1.0,3.0,2.5,3.5,4.0,0.5,0.5,2.5,0.5,1.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,24.5,5.5,18.5,10.5,25.5,1.5,18.0,9.5,9.0,0,6.5,1.5,4.5,3.0,4.5,2.5,0,3.5,1.5,0.5,1.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
20,28.5,4.5,22.0,9.5,22.5,1.5,18.0,7.0,9.5,1.0,5.5,0.5,3.0,1.5,5.0,3.0,0,2.0,0.5,1.5,0.5,1.0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0
21,27.5,5.0,21.0,5.0,23.0,1.5,14.5,6.5,9.0,1.5,7.0,1.0,7.0,3.5,2.5,3.5,0,2.5,3.0,1.5,2.0,1.0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0
22,25.5,7.0,18.0,9.5,26.5,1.0,16.0,7.0,7.5,0.5,7.0,2.5,3.0,2.5,4.5,3.0,0,1.0,1.5,1.5,1.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0
23,12.0,2.5,12.5,6.0,19.5,1.5,11.0,5.5,6.5,0,3.0,1.5,5.0,2.5,2.0,1.0,0,2.5,0.5,1.0,1.0,0.5,0,0.5,1.0,0,0,0,0,0,0,0,0.5,0,0
24,19.0,3.5,9.5,7.0,16.5,1.0,10.0,5.5,6.5,0,4.5,0,1.5,1.5,4.0,2.0,0,0,0.5,0.5,1.0,1.0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
25,11.0,1.5,8.0,3.0,10.0,3.5,10.0,4.5,7.0,0,4.0,0.5,2.5,0.5,2.5,1.5,0,1.5,0.5,0,0.5,1.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
26,18.0,7.0,10.0,8.5,23.5,1.0,12.5,6.5,6.5,0,6.5,0,3.0,4.5,3.0,1.0,0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0
27,44.0,49.0,47.5,14.5,21.0,29.5,13.5,13.5,5.5,7.0,5.0,5.0,3.5,2.5,7.5,2.0,2.0,1.0,1.5,1.0,1.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0
28,79.5,92.0,68.5,19.5,28.5,46.0,18.0,8.5,4.0,12.0,5.0,14.0,3.0,3.0,1.5,3.0,4.5,0,0.5,1.0,0,0,1.0,1.5,0,0,0,0.5,0,0,0,0,0,0,0
29,84.0,82.0,83.5,37.0,23.5,26.0,18.0,7.5,7.5,5.5,5.5,13.5,5.5,1.5,2.0,4.5,4.0,0,0,3.5,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0
30,22.5,34.0,27.5,6.5,20.0,25.0,16.5,9.5,7.0,4.0,4.0,9.0,2.0,2.5,3.5,2.5,2.5,1.5,1.5,0.5,1.0,1.0,0,0,0,1.0,0,0,0,0,0,0.5,0,0,0
31,80.5,84.0,82.5,19.5,8.0,79.0,8.0,4.0,3.5,21.5,1.5,3.5,2.0,1.0,0.5,3.0,2.0,0,0,0,0.5,0,1.0,0,0,0.5,0,0,0,0,0,0,0,0,0
