sentence_index,NNS,NN,IN,JJ,VB,CC,DT,VBG,RB,VBP,MD,PRP,TO,VBZ,NNP,VBN,WRB,PRP$,VBD,WP,WDT,POS,RP,JJR,RBR,CD,JJS,PDT,EX,RBS,(,)
1,6,8,3,2,7,2,4,0,5,3,1,5,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
2,7,6,6,4,3,2,3,1,3,4,1,4,2,2,0,1,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
3,7,8,7,5,4,2,4,0,3,3,2,4,0,1,2,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0
4,13,7,7,5,8,5,1,1,3,1,4,4,1,0,1,0,1,0,2,1,1,2,0,0,0,0,1,0,0,0,0,0
5,11,7,4,5,10,4,2,0,5,2,3,6,2,0,1,1,1,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0
6,7,12,4,4,3,5,5,0,3,4,2,7,2,2,0,1,2,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
7,10,11,7,2,4,3,1,0,4,1,4,5,0,0,1,0,2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0
8,14,10,7,3,7,6,4,0,1,3,4,5,3,1,0,0,2,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0
9,8,16,5,9,6,3,6,0,3,2,2,1,2,1,1,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
10,12,8,8,6,7,3,3,3,3,3,6,2,2,0,2,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
11,10,4,7,2,6,5,4,2,3,4,2,8,1,1,0,2,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
12,13,12,7,3,8,5,4,2,2,2,5,4,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
13,14,10,8,9,5,4,1,4,1,4,4,5,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
14,15,10,11,6,9,6,7,7,4,3,5,5,2,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
15,9,13,9,13,4,3,6,4,2,2,2,2,2,2,4,0,1,0,3,1,0,1,1,0,0,0,0,1,1,0,0,0
16,17,10,8,7,8,6,6,3,2,4,6,6,1,0,1,3,3,0,4,3,1,0,0,0,0,0,1,0,0,0,0,0
17,12,15,8,4,6,6,7,2,6,6,3,4,1,0,0,1,1,1,0,1,2,0,0,1,2,0,0,0,0,0,0,0
18,16,12,9,12,12,3,8,2,3,2,6,2,3,1,3,0,2,0,3,1,0,0,1,0,1,0,0,0,2,0,0,0
19,23,11,7,5,8,6,7,6,1,2,5,5,4,2,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0
20,16,12,11,7,10,5,6,6,3,5,5,8,6,1,1,0,2,4,1,2,0,1,0,2,1,0,0,0,0,0,0,0
21,21,13,12,5,8,7,8,8,1,3,4,3,2,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,19,20,11,12,8,7,3,4,5,5,5,1,1,1,0,0,3,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0
23,21,12,7,3,10,7,2,6,3,9,5,7,3,3,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
24,24,25,14,12,5,9,7,6,3,6,3,2,1,3,1,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0
25,30,21,19,12,11,7,5,4,2,2,7,3,3,0,1,4,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
