sentence_index,NNS,NN,JJ,IN,VB,VBG,CC,DT,RB,MD,VBP,TO,PRP,NNP,VBZ,VBN,WRB,PRP$,WDT,WP,JJR,CD,RBR,VBD,RP,POS,JJS,RBS,EX,),NNPS,$,(
1,3,8,4,5,5,2,2,2,2,2,2,4,6,1,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
2,6,8,5,7,5,2,4,2,2,1,4,5,4,0,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
3,7,8,4,8,8,2,3,7,4,3,1,2,3,1,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
4,13,5,5,6,6,4,5,2,4,4,2,0,3,0,1,1,1,1,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0
5,12,9,5,5,7,3,4,1,3,4,3,1,4,0,1,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6,8,9,6,6,3,3,5,5,3,3,3,1,4,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,11,8,2,8,6,4,3,2,4,5,1,1,3,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8,17,8,4,3,7,4,5,4,2,4,4,4,3,0,0,0,2,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
9,9,7,7,7,10,7,3,4,3,4,3,3,1,1,0,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
10,13,8,7,8,9,5,3,4,3,6,2,2,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11,9,8,3,8,7,2,4,5,2,4,4,1,5,1,0,1,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12,13,10,6,6,10,4,5,3,3,6,2,2,5,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
13,14,10,8,8,7,6,4,2,2,6,5,1,5,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,16,13,7,6,7,5,6,7,5,6,1,1,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15,10,10,9,10,8,5,5,5,4,5,4,1,2,7,2,0,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0
16,16,8,14,9,8,6,5,5,4,4,4,2,2,0,4,1,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
17,14,14,12,7,8,4,4,9,1,4,4,5,3,2,1,2,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
18,22,4,6,9,12,5,6,3,3,6,2,5,2,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19,23,8,13,12,11,6,6,3,2,6,2,3,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20,23,9,12,15,10,7,5,5,1,7,1,2,3,2,1,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
21,18,14,6,8,11,8,4,9,2,5,3,4,4,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
22,18,15,8,10,10,7,7,3,6,4,3,4,2,0,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,19,21,8,12,7,6,5,8,5,4,6,3,4,0,2,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,18,20,10,16,11,9,6,9,4,6,7,4,8,0,0,1,2,4,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
25,21,20,12,18,8,13,7,11,2,5,2,2,2,0,2,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,23,26,15,17,14,7,7,7,4,6,3,6,2,1,3,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,36,16,18,11,11,7,10,3,7,4,5,1,1,2,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
28,28,26,19,18,11,7,9,3,9,5,5,4,2,0,2,2,1,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0
29,34,25,14,17,10,7,13,8,5,6,3,3,1,1,2,0,1,2,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0
30,36,25,18,23,11,9,13,4,7,7,2,3,2,6,2,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
31,29,24,27,22,13,10,6,10,6,6,3,4,1,1,7,2,2,3,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0
32,28,26,16,12,9,6,11,7,5,4,4,2,2,1,2,6,2,1,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0
33,26,24,16,11,16,14,9,8,11,7,7,7,4,1,6,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,33,31,11,16,12,8,9,6,1,4,5,5,3,1,1,2,2,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
35,30,24,16,14,12,10,7,13,7,5,7,7,2,2,4,2,2,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0
36,31,25,24,14,11,11,11,8,4,5,4,3,2,0,4,6,3,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
37,30,24,21,15,12,13,11,15,4,6,6,5,5,0,7,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
