sentence_index,NN,RB,VBG,JJ,NNS,IN,VBN,VB,DT,NNP,CC,VBP,MD,TO,VBD,VBZ,PRP,WRB,CD,RBR,WDT,PRP$,JJR,WP,POS,RP,(,),EX,JJS,RBS,PDT,NNPS
1,16,2,6,8,5,8,0,5,5,0,6,1,2,1,0,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,24,3,10,19,16,21,1,12,11,2,6,3,7,4,0,1,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3,21,5,6,18,15,12,2,7,8,2,4,7,4,3,0,2,2,3,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0
4,20,4,6,19,21,12,0,13,5,1,5,5,6,4,0,2,2,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0
5,25,2,8,18,18,16,1,13,7,1,5,3,6,3,0,1,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
6,21,6,11,18,25,16,0,12,6,0,7,3,6,5,0,2,2,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0
7,22,6,4,17,20,11,4,11,10,0,4,5,6,4,0,5,4,5,0,3,2,1,0,0,2,0,0,0,0,0,0,0,0
8,22,3,10,19,29,17,4,11,8,2,8,8,5,6,0,3,6,2,0,2,1,4,0,1,1,0,0,0,0,0,0,0,0
9,30,6,6,17,20,15,1,9,12,1,7,6,3,5,1,7,4,2,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0
10,29,9,10,20,32,17,4,12,9,4,9,3,8,4,0,5,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
11,32,7,16,24,39,23,1,9,11,1,10,2,6,5,0,7,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
12,31,6,8,25,24,19,2,11,14,6,8,7,5,9,0,2,3,2,0,2,1,2,4,1,0,2,1,1,0,0,0,0,0
13,22,9,15,25,40,20,1,9,8,0,9,7,6,3,0,1,3,4,1,1,1,1,2,0,1,0,0,0,0,2,0,0,0
