sentence_index,NN,RB,JJ,VBG,NNS,VBN,IN,VB,DT,CC,NNP,VBP,MD,TO,VBD,VBZ,PRP,CD,WDT,PRP$,WRB,RBR,WP,JJR,POS,EX,RBS,JJS,NNPS,PDT,(,),WP$,RP
1,23,6,20,5,17,0,17,7,10,7,0,3,2,4,0,6,5,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2,22,3,22,11,17,1,18,10,8,5,2,2,6,3,0,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3,26,8,13,2,18,3,18,8,7,5,2,6,6,3,0,2,1,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0
4,20,4,15,6,25,3,19,11,7,4,0,4,5,5,0,4,4,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
5,14,5,17,10,17,0,11,11,10,2,0,4,6,3,0,3,2,1,1,2,1,0,2,2,0,1,0,0,0,0,0,0,0,0
6,20,3,14,9,23,2,15,10,9,6,1,2,6,2,0,2,3,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
7,25,8,20,5,16,1,15,11,12,7,0,4,6,5,0,2,3,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
8,22,6,24,12,26,3,19,8,8,7,0,5,4,4,0,4,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
9,22,6,18,9,23,0,15,9,7,6,4,2,7,4,1,3,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
10,34,5,22,8,32,1,14,13,9,8,0,5,8,4,0,3,2,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
11,32,6,18,7,28,4,24,10,10,9,1,7,4,6,0,4,5,0,1,2,3,0,1,3,1,0,0,0,0,0,0,0,0,0
12,32,12,20,12,27,1,30,11,10,9,0,9,4,5,0,3,7,0,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0
13,30,9,30,7,31,5,23,11,7,9,0,10,4,7,1,6,3,0,2,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0
14,24,9,34,14,35,2,24,12,8,8,1,4,8,7,1,5,0,1,1,1,2,2,2,1,0,1,0,0,0,0,0,0,0,0
15,35,12,24,12,37,5,25,12,9,10,2,2,7,5,0,5,0,1,3,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0
16,39,6,32,15,28,8,20,13,8,11,1,2,6,6,0,8,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17,33,10,30,11,42,3,28,10,10,10,0,6,8,5,1,3,2,0,2,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0
18,45,5,25,11,37,2,23,8,7,11,2,5,5,4,1,6,1,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
19,31,8,27,18,40,3,26,15,11,8,3,7,7,5,0,3,5,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
20,41,6,33,12,33,1,29,11,16,9,1,4,8,2,2,5,2,0,2,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0
21,38,8,30,6,32,2,22,9,11,8,1,9,3,6,3,6,4,0,2,4,3,2,2,3,0,0,0,0,0,0,0,0,0,0
22,34,12,27,13,36,2,25,10,8,8,3,3,7,3,0,6,1,0,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0
23,9,3,16,8,24,2,15,6,9,3,0,3,2,3,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,20,6,10,7,17,2,10,4,8,5,0,2,3,1,0,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
25,7,1,4,3,10,3,7,4,5,3,0,3,2,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
26,24,12,13,10,33,2,17,7,8,9,0,4,4,5,0,1,0,0,1,2,1,2,1,1,1,0,0,1,0,0,0,0,0,0
27,19,4,20,12,20,4,13,10,7,5,1,3,6,3,0,2,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0
28,77,92,74,18,28,29,18,10,4,5,17,4,1,3,11,1,0,4,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
29,94,77,77,53,16,9,16,7,7,4,13,7,1,1,6,4,0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30,5,4,10,2,13,2,10,4,5,2,0,1,2,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,72,79,82,16,2,105,2,1,0,0,0,1,0,0,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
32,76,84,43,64,24,45,22,9,9,6,12,4,3,1,5,1,3,3,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0
33,68,85,52,65,18,33,15,20,8,5,15,4,6,7,4,0,2,5,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0
34,78,80,50,66,26,33,17,14,5,5,16,3,6,3,5,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35,72,80,46,62,28,31,19,13,7,8,16,6,5,3,5,0,1,4,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
36,78,80,57,67,21,33,21,10,10,7,13,6,3,3,4,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,75,82,47,65,28,31,15,11,6,7,15,7,2,5,4,0,0,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38,73,79,51,65,32,33,13,9,3,6,18,7,3,3,4,1,0,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
39,73,100,42,64,20,33,16,8,4,5,14,5,3,5,5,2,0,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
40,53,45,30,59,6,11,6,4,4,2,0,2,2,1,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
41,57,119,35,93,5,55,7,2,1,2,4,3,0,0,6,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
42,72,89,50,64,23,33,14,13,7,6,10,3,6,6,6,1,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
43,54,31,28,52,7,8,7,4,3,1,0,2,2,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,59,82,35,63,12,33,10,7,6,2,0,4,3,2,4,2,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
45,55,117,36,88,7,56,5,4,1,1,3,4,1,2,6,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
46,72,94,38,65,20,32,14,12,3,10,19,5,3,3,5,1,0,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
47,65,106,47,62,16,36,12,9,1,6,12,3,2,6,5,1,2,3,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
48,67,108,41,63,11,49,10,10,6,5,8,3,5,2,6,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
49,36,30,25,17,3,9,3,2,3,2,0,2,0,1,2,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
50,80,104,37,102,4,41,7,4,1,1,2,4,2,2,7,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
