sentence_index,NN,JJ,NNS,IN,VBG,NNP,RB,DT,VB,CC,VBP,VBZ,VBN,TO,WRB,PRP,MD,VBD,PRP$,WDT,JJR,WP,RBR,POS,NNPS,RBS,CD,FW,(,),JJS,RP,EX
1,17,13,11,10,2,1,6,7,4,5,4,4,2,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,24,22,14,15,6,7,3,5,2,5,3,5,1,2,2,1,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,25,19,13,14,3,9,8,7,11,6,3,3,2,6,1,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,20,21,13,10,1,9,6,8,6,5,2,3,3,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24,19,13,17,9,9,3,6,2,5,3,4,2,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
6,22,22,13,6,3,11,1,3,6,7,4,3,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,23,10,12,17,6,10,2,4,4,3,5,2,2,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,28,15,16,17,6,12,6,6,5,5,3,4,2,3,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,24,19,14,11,6,7,1,9,5,3,4,4,7,2,3,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
10,22,21,21,11,3,6,0,6,6,5,2,2,1,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
11,19,21,23,17,9,4,5,8,6,5,2,4,1,2,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
12,23,22,17,7,7,6,4,7,7,8,5,5,4,4,3,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
13,27,19,13,16,13,5,3,7,3,5,3,2,1,1,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
14,21,20,18,16,9,8,6,5,7,7,5,4,0,3,4,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,31,22,12,14,7,0,6,15,5,6,7,9,4,4,0,3,0,0,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0
16,42,26,13,18,6,13,6,14,9,8,4,4,0,5,2,3,2,1,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0
17,25,28,30,16,10,9,5,13,9,4,6,9,0,4,3,2,2,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0
18,37,19,17,25,13,15,5,12,10,5,3,7,4,2,3,4,6,1,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0
19,27,29,29,18,9,9,5,15,5,5,14,4,2,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,28,21,22,17,10,14,2,13,8,5,8,7,2,2,5,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0
21,31,32,24,17,10,11,7,9,6,4,5,8,3,3,2,4,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0
22,25,30,29,18,9,8,3,11,5,6,5,4,5,3,3,2,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
23,41,30,21,21,9,4,6,8,6,6,3,9,5,2,3,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
