sentence_index,NN,IN,NNS,JJ,VBG,DT,RB,VBZ,PRP,VBP,CC,VB,PRP$,VBN,TO,NNP,WRB,MD,VBD,WDT,WP,POS,EX,JJR,RP,RBR,JJS,CD,RBS,UH,FW,PDT,(,)
1,21,17,6,11,3,13,4,7,8,5,4,4,2,1,0,2,5,3,3,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
2,37,24,8,11,10,14,12,12,12,5,3,11,7,0,3,6,5,3,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
3,41,27,11,17,10,14,15,9,18,5,7,1,6,3,3,3,5,1,10,2,1,1,3,0,0,0,0,0,0,1,0,0,0,0
4,35,29,16,16,14,16,11,11,14,8,7,5,6,5,3,3,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
5,38,26,11,14,9,17,10,10,14,4,5,8,3,1,3,1,5,2,1,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0
6,29,30,20,23,11,16,15,7,11,7,7,7,5,1,3,10,4,4,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0
7,30,24,27,20,12,12,11,8,8,13,8,2,3,3,2,2,4,2,1,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0
8,36,25,24,18,10,13,8,8,11,7,8,3,7,1,5,2,4,1,2,2,0,1,1,1,2,0,0,0,0,0,0,1,0,0
9,36,25,13,18,8,18,11,16,12,8,5,10,6,2,5,2,6,4,1,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0
10,35,29,16,10,7,13,9,14,11,9,11,10,3,11,4,5,5,0,2,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0
11,32,24,23,15,8,18,14,8,10,12,8,9,4,7,6,2,7,0,5,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0
12,32,28,27,25,17,21,7,12,10,11,7,4,3,4,3,3,3,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0
13,40,23,28,24,12,16,10,9,7,7,10,9,4,3,6,3,3,1,3,1,1,2,1,0,3,0,0,1,0,0,0,0,0,0
14,42,29,26,15,8,16,15,10,8,13,12,8,4,6,4,6,3,0,1,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0
15,35,27,22,22,15,20,9,5,14,15,10,7,3,3,8,2,4,1,2,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0
16,41,28,21,22,9,15,7,5,7,11,9,9,7,8,3,6,3,1,5,0,3,0,0,1,2,0,1,0,0,0,0,0,0,0
17,44,24,20,23,19,15,10,11,12,8,9,8,7,6,4,4,3,3,2,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0
18,51,26,15,17,15,19,10,15,8,9,8,11,4,4,7,1,7,3,0,3,1,1,1,1,0,1,0,1,2,0,0,0,0,0
19,37,25,20,25,13,19,17,13,9,11,7,9,6,8,1,4,2,1,4,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0
20,42,28,19,25,15,19,15,12,14,12,6,11,10,4,4,3,4,2,1,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0
21,29,30,36,28,14,11,15,6,18,14,8,10,7,4,6,4,4,2,2,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0
22,42,30,23,15,15,16,16,12,12,11,8,8,8,1,6,5,2,1,1,2,2,2,3,1,0,0,1,0,2,0,1,0,0,0
23,40,29,26,21,16,12,15,12,7,9,11,4,10,4,4,5,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1
24,40,28,23,22,14,15,21,12,12,11,9,4,4,4,5,1,3,0,0,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0
25,49,27,20,26,20,20,10,15,7,5,8,7,6,2,5,5,5,2,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0
26,27,27,30,21,10,14,12,11,13,11,5,8,7,3,4,6,6,4,0,4,1,0,1,1,1,0,1,1,1,0,0,0,0,0
27,41,26,25,26,15,12,14,11,9,12,8,7,6,8,7,4,2,1,2,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0
28,36,25,27,23,13,16,21,10,11,16,9,6,5,5,5,5,7,2,1,2,2,1,3,1,0,1,0,1,0,0,0,0,0,0
29,34,29,37,20,17,14,18,12,8,15,8,3,4,3,4,4,5,3,3,1,1,1,4,1,0,1,1,0,0,0,0,0,0,0
30,42,38,30,21,14,21,22,11,13,15,9,7,6,6,5,3,2,2,2,0,1,0,2,3,0,1,0,0,0,0,0,0,0,0
31,45,32,26,21,17,16,12,12,13,7,8,7,3,4,1,4,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,39,32,31,30,9,16,13,7,8,14,7,5,5,7,5,4,4,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
33,37,29,25,29,15,14,15,10,6,11,6,11,2,7,4,1,4,6,1,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0
34,32,22,14,15,16,15,7,10,6,3,4,2,3,1,2,1,3,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0
35,43,30,25,24,17,13,9,8,8,10,6,8,4,6,4,2,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,43,29,23,26,17,17,15,14,12,6,5,7,9,1,5,2,2,3,1,3,1,2,0,2,0,0,1,0,0,0,0,0,0,0
37,35,35,31,25,26,12,18,13,11,7,10,6,5,7,4,2,2,3,0,2,4,0,0,0,0,2,1,0,1,0,0,0,0,0
38,30,30,31,30,17,18,12,16,8,6,7,6,4,5,4,2,3,2,0,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0
39,40,32,38,39,16,12,21,8,7,6,7,4,3,6,6,0,3,1,7,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0
40,37,35,37,26,27,12,19,11,12,11,7,7,5,6,5,2,4,3,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
