sentence_index,NN,JJ,NNS,IN,VBG,DT,NNP,VB,RB,CC,VBP,TO,VBZ,VBN,MD,CD,PRP,WRB,VBD,PRP$,WDT,WP,JJR,RBR,POS,NNPS,RBS,JJS,),(,FW,RP,EX,PDT
1,15.0,11.5,10.0,9.5,3.5,4.5,1.0,4.5,5.0,4.5,3.5,2.5,2.0,1.0,3.0,1.0,2.5,0,1.0,0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0
2,20.0,21.5,14.0,13.0,6.0,5.5,3.5,2.0,4.5,4.0,3.5,1.0,3.5,2.0,2.0,1.0,1.0,1.5,1.0,1.0,1.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0
3,21.5,18.0,12.0,11.5,2.5,5.5,4.5,6.5,5.0,5.0,3.0,4.0,3.5,3.0,1.5,1.0,2.0,1.5,0.5,1.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
4,18.0,19.5,13.0,11.0,3.0,6.0,6.0,5.5,4.0,4.5,3.0,3.5,2.5,2.0,1.5,1.0,1.0,1.0,0,0.5,1.0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
5,19.5,17.0,14.0,13.5,5.5,6.0,8.5,5.5,2.5,4.0,3.5,2.0,2.5,3.0,3.0,1.5,1.0,1.0,0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5
6,22.5,23.0,14.0,9.5,3.5,3.5,6.5,7.0,0.5,7.0,4.0,3.0,1.5,0.5,2.0,1.0,1.5,0,0.5,1.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0
7,20.5,12.5,13.5,14.5,4.5,4.0,6.5,5.5,2.0,4.0,4.5,1.5,1.5,1.5,1.5,1.0,1.5,0.5,0.5,1.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
8,23.0,15.0,15.5,13.5,6.5,6.5,6.5,5.0,4.5,4.5,3.0,3.0,3.0,1.0,0.5,1.0,1.0,1.5,0.5,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
9,19.5,18.0,13.5,11.0,5.5,8.5,4.5,6.0,2.5,4.0,3.5,2.5,2.5,4.0,1.5,1.5,1.0,1.5,1.0,1.5,1.0,0.5,1.0,0,0,0,0.5,0,0,0,0,0,0,0
10,20.5,19.5,17.0,9.0,4.5,5.5,4.5,8.0,0.5,6.0,2.5,4.5,1.5,1.0,2.0,1.5,1.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0
11,18.0,18.0,17.5,15.5,6.0,9.0,2.5,6.0,3.0,6.0,2.0,2.0,3.0,1.0,2.0,1.5,1.5,0.5,1.0,1.5,0,1.0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0
12,21.5,20.5,17.5,8.5,5.5,6.0,5.0,8.5,2.0,7.0,3.5,5.0,3.0,2.0,2.0,2.0,1.0,3.0,0.5,1.0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0
13,22.0,18.0,14.5,16.0,13.0,6.5,3.0,4.5,2.5,5.5,3.5,1.5,1.5,1.0,1.5,1.5,2.5,1.0,0,2.0,1.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
14,15.0,18.5,18.0,12.0,7.0,3.5,4.5,7.0,3.5,6.5,3.5,3.0,2.0,0,3.0,1.5,2.0,2.0,1.5,2.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0
15,28.5,18.5,14.5,12.0,4.5,10.5,0.5,6.5,3.5,5.5,4.5,3.5,5.0,2.0,1.5,2.0,2.0,0,0,1.5,1.0,1.0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
16,28.0,22.0,14.0,11.5,5.0,8.5,7.0,8.5,3.0,6.5,2.5,4.5,2.0,0,2.0,1.5,2.0,1.5,0.5,1.0,0.5,0.5,0,0,0,0,1.0,0,0,0,0,0.5,0,0
17,19.5,23.5,24.0,10.5,7.5,8.5,4.5,8.5,2.5,5.5,4.5,4.0,5.0,1.5,2.5,2.0,1.5,1.5,0,1.0,1.0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0
18,26.5,18.0,16.5,15.5,10.5,8.0,7.5,8.0,2.5,5.0,2.5,3.0,4.0,3.0,4.0,2.0,2.5,1.5,1.0,1.0,0,0.5,1.0,1.0,0,0.5,0,0,0,0,0,0,0,0
19,26.5,19.5,18.5,14.0,8.5,11.0,5.0,4.5,3.5,4.5,8.5,2.0,4.5,1.5,0.5,2.0,1.5,1.5,0,1.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
20,24.0,17.5,20.0,13.0,8.5,10.0,7.0,7.5,1.5,5.0,4.5,2.5,4.5,2.0,3.0,2.0,3.5,3.0,0,1.5,1.0,0,0,0,0,0,0,0.5,0,0,0,1.0,0,0
21,24.0,23.0,21.5,15.0,7.5,8.0,5.5,6.0,5.0,4.0,4.0,3.5,5.5,2.0,2.0,2.0,2.5,1.0,0.5,0.5,0.5,1.0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0
22,24.0,20.0,22.5,12.5,8.0,9.0,4.0,6.0,2.5,5.5,4.0,3.0,2.0,2.5,2.5,2.0,1.5,2.5,0,1.0,1.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0
23,32.0,22.5,20.0,16.0,9.0,6.5,2.5,6.0,3.0,5.0,2.5,2.0,5.0,2.5,2.0,2.5,1.0,1.5,0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
24,26.0,21.5,21.0,13.5,6.5,9.0,2.5,8.0,4.0,5.5,2.5,4.0,4.5,4.0,3.0,2.0,1.0,1.0,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0
25,30.0,17.0,20.0,16.0,11.5,8.0,7.5,8.0,3.5,4.5,3.5,4.5,2.5,5.5,2.5,2.0,2.5,2.0,1.5,1.5,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0
26,30.0,23.5,22.5,14.0,8.0,7.0,6.5,7.0,3.0,6.0,5.0,4.5,2.0,5.0,2.5,2.5,2.0,2.0,0,1.5,1.0,0.5,1.5,0.5,0,0,0.5,0,0,0,0,0,0,0
27,25.0,20.0,22.5,13.5,11.0,6.5,3.0,7.5,4.5,4.0,5.0,3.0,3.5,3.0,2.5,2.5,1.0,1.5,0.5,1.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0
28,25.0,25.5,25.5,16.5,11.5,6.5,4.5,9.0,2.0,6.0,2.5,3.0,3.0,2.0,2.5,2.5,1.0,1.0,1.5,1.0,0.5,1.0,0,0,1.5,0.5,0,0,0,0,0,0,0,0
