sentence_index,NN,IN,NNS,JJ,DT,VBG,RB,NNP,VB,PRP,VBP,VBZ,CC,PRP$,TO,VBN,WRB,MD,CD,VBD,WDT,WP,POS,JJR,EX,RP,RBR,JJS,RBS,UH,FW,NNPS,PDT,),(,WP$
1,22.0,17.5,7.0,12.5,12.5,5.0,7.5,1.0,5.0,11.5,6.0,6.0,5.5,1.5,1.0,2.0,4.0,3.0,0,5.0,1.5,1.0,0,0.5,1.0,0.5,0,0,0,1.5,0,0,0,0,0,0
2,36.5,25.0,8.5,13.5,14.5,9.0,9.5,3.0,8.0,12.5,3.5,6.5,4.0,4.0,2.5,2.0,3.5,2.0,0,6.0,0.5,0,0.5,0.5,1.0,0,0,0,0,1.0,0,0,0.5,0,0,0
3,32.0,22.5,12.0,14.0,12.5,9.5,8.5,3.5,2.5,12.5,4.0,6.0,6.5,3.0,3.0,2.0,4.5,2.0,0.5,5.5,1.0,0.5,0.5,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0
4,29.0,24.5,16.0,19.0,13.5,12.0,10.0,1.5,7.0,10.5,6.5,6.5,7.0,4.0,3.0,3.0,1.5,2.0,0,2.0,2.0,1.5,0.5,1.0,0,0,0,0,0,0.5,0,0,0,0,0,0
5,34.0,24.0,12.5,14.5,15.5,12.0,8.0,2.0,8.0,11.0,6.0,6.5,6.0,2.5,4.0,0.5,3.0,2.0,0,0.5,1.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0,0,0,0,0,0,0,0
6,24.0,23.5,18.0,18.0,14.0,10.0,11.0,5.0,6.5,7.5,6.0,5.5,6.0,4.0,2.5,2.0,3.0,3.5,1.5,0.5,0.5,0.5,0,0,1.0,1.0,0,0,0.5,0,0,0,0,0,0,0
7,30.0,20.5,22.0,17.0,12.0,12.0,9.5,1.5,3.0,8.0,10.5,6.5,8.0,3.5,2.0,2.0,3.5,2.5,1.0,1.0,3.0,2.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0,0,0,0,0,0,0.5
8,28.5,23.5,21.0,14.5,11.0,11.0,6.5,1.0,3.5,9.0,7.5,5.5,5.5,4.5,3.5,1.5,3.0,1.5,1.5,1.0,2.5,1.0,0.5,0.5,0.5,1.5,0,0,0,0,0,0,0.5,0,0,0
9,34.5,21.5,17.5,19.0,15.0,5.5,9.0,8.0,10.0,8.5,7.0,10.5,8.0,4.0,5.0,1.5,4.5,3.0,2.0,0.5,3.0,2.0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0,0
10,32.5,25.5,21.0,16.0,11.5,7.5,8.0,9.5,10.5,7.5,8.5,9.0,8.0,2.5,3.5,6.5,3.5,1.5,2.0,1.0,2.0,3.0,1.0,1.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
