sentence_index,NN,NNS,JJ,IN,VB,VBG,DT,CC,CD,TO,NNP,VBP,MD,VBN,RB,VBZ,PRP,PRP$,WDT,WRB,WP,VBD,JJR,JJS,POS,NNPS,RBS,(,),RBR,RP,PDT,FW
1,13,9,10,9,5,5,2,4,2,3,1,3,4,0,4,0,3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2,16,14,21,11,2,6,6,3,2,0,0,4,2,3,6,2,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
3,18,11,17,9,2,2,4,4,2,2,0,3,1,4,2,4,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
4,16,13,18,12,5,5,4,4,2,1,3,4,3,1,2,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,15,15,15,10,9,2,6,3,3,3,8,4,6,4,2,1,1,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0
6,23,15,24,13,8,4,4,7,2,2,2,4,3,1,0,0,2,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7,18,15,15,12,7,3,4,5,2,1,3,4,3,1,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,18,15,15,10,5,7,7,4,2,3,1,3,1,0,3,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,15,13,17,11,7,5,8,5,3,3,2,3,3,1,4,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10,19,13,18,7,10,6,5,7,3,5,3,3,4,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,17,12,15,14,6,3,10,7,3,2,1,2,4,1,1,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12,20,18,19,10,10,4,5,6,4,6,4,2,3,0,0,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
13,17,16,17,16,6,13,6,6,3,2,1,4,3,1,2,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9,18,17,8,7,5,2,6,3,3,1,2,4,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
15,26,17,15,10,8,2,6,5,4,3,1,2,3,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,14,15,18,5,8,4,3,5,3,4,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,14,18,19,5,8,5,4,7,4,4,0,3,3,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,16,16,17,6,6,8,4,5,4,4,0,2,2,2,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
19,26,8,10,10,4,8,7,4,4,2,1,3,1,1,2,5,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,20,18,14,9,7,7,7,5,4,3,0,1,3,2,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,17,19,14,13,6,5,7,4,4,4,0,3,3,1,3,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,23,16,10,7,7,7,7,5,4,3,0,3,3,0,2,0,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
23,23,19,15,11,6,9,5,4,4,2,1,2,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,19,17,14,11,9,8,8,3,4,4,1,1,4,3,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,21,21,12,11,6,12,7,4,4,4,1,3,3,1,2,0,1,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0
26,28,23,21,11,8,9,7,6,5,5,0,3,3,3,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
27,22,17,17,7,9,11,7,4,4,4,0,2,3,4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,17,23,20,10,11,11,5,5,4,4,0,3,3,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
29,23,18,13,14,6,12,10,7,4,2,1,4,3,2,2,2,2,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
30,27,20,17,9,9,3,6,5,4,5,1,1,3,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
31,10,27,17,10,9,10,5,4,4,4,0,3,3,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,15,28,10,17,7,10,6,5,4,3,1,4,3,3,0,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0
33,11,22,19,8,7,10,4,4,4,3,1,4,4,5,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34,21,20,14,8,7,14,7,6,4,4,1,2,3,2,2,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,18,17,13,10,7,9,10,7,4,4,1,3,2,4,4,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
36,23,18,13,16,7,9,6,4,4,5,1,3,2,6,1,1,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
37,20,21,16,11,8,9,4,4,4,4,0,2,3,2,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
