sentence_index,NN,IN,NNS,JJ,NNP,DT,VBG,VB,CC,PRP,VBP,RB,VBZ,TO,CD,PRP$,VBN,WRB,MD,WP,WDT,VBD,JJR,POS,RP,RBR,JJS,RBS,NNPS,EX,UH,FW,(,),WP$,PDT
1,23,18,8,14,0,12,7,6,7,15,7,11,5,2,0,1,3,3,3,1,3,7,0,0,1,0,0,0,0,1,2,0,0,0,0,0
2,36,26,9,16,0,15,8,5,5,13,2,7,1,2,0,1,4,2,1,0,1,12,0,0,0,0,0,0,0,2,1,0,0,0,0,0
3,23,18,13,11,4,11,9,4,6,7,3,2,3,3,1,0,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,23,20,16,22,0,11,10,9,7,7,5,9,2,3,0,2,1,2,3,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5,30,22,14,15,3,14,15,8,7,8,8,6,3,5,0,2,0,1,2,1,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0
6,19,17,16,13,0,12,9,6,5,4,5,7,4,2,2,3,3,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7,30,17,17,14,1,12,12,4,8,8,8,8,5,2,2,4,1,3,3,3,2,1,1,0,0,1,0,2,0,0,0,0,0,0,1,0
8,21,22,18,11,0,9,12,4,3,7,8,5,3,2,3,2,2,2,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,33,18,22,20,14,12,3,10,11,5,6,7,5,5,4,2,1,3,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
10,30,22,26,22,14,10,8,11,5,4,8,7,4,3,4,2,2,2,3,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
11,22,19,25,21,15,8,7,7,7,6,8,5,2,3,4,2,2,2,2,2,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
12,24,22,22,18,16,13,13,10,4,6,8,7,4,2,4,5,1,2,2,2,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
13,24,16,22,19,15,6,9,15,7,7,3,11,4,5,4,5,0,0,3,3,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
14,36,14,19,14,15,6,5,8,6,4,4,3,4,3,4,3,0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,29,18,16,15,16,11,6,13,6,5,4,4,4,3,4,5,3,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
