sentence_index,NN,IN,JJ,NNS,DT,PRP,RB,VBG,VB,VBP,CC,VBZ,TO,VBN,NNP,PRP$,MD,VBD,WRB,WDT,RBR,RP,JJR,CD,WP,POS,EX,UH,JJS,FW,RBS,NNPS,PDT
1,13,9,11,7,5,5,5,2,3,6,4,5,0,2,0,1,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,11,8,12,7,5,2,6,2,5,3,4,4,3,1,0,0,2,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0
3,9,7,7,3,3,2,7,3,4,4,4,1,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4,11,7,6,4,5,3,4,6,5,4,3,2,3,0,0,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
5,14,8,6,5,7,7,3,2,7,7,4,3,4,2,0,2,1,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0
6,9,7,10,6,4,6,7,5,4,4,1,2,3,0,0,1,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0
7,8,9,6,4,4,5,9,4,5,6,3,1,2,1,0,1,1,0,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0
8,10,8,8,5,8,7,9,4,1,5,3,4,0,2,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9,7,8,9,10,3,5,8,2,2,6,5,3,1,1,1,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10,9,9,7,6,5,6,6,3,0,5,3,4,2,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,8,7,5,4,5,6,6,4,6,6,3,2,3,2,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12,16,7,7,5,9,3,7,5,8,2,4,3,4,1,0,1,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0
13,7,7,9,9,5,7,9,4,7,9,4,0,5,3,0,2,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
14,6,7,8,12,4,5,3,5,7,4,5,3,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,18,11,12,10,7,3,4,2,4,3,7,3,1,2,0,0,2,1,1,1,1,0,3,0,1,0,0,0,1,0,0,0,0
16,14,9,13,5,8,4,10,3,4,3,4,1,2,2,0,0,3,3,1,2,1,2,0,0,0,0,0,1,0,0,1,0,0
17,20,13,10,4,10,5,7,5,3,2,4,0,2,0,0,1,2,9,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0
18,9,9,11,14,5,4,5,5,7,5,4,3,3,1,0,0,2,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0
19,16,10,7,10,6,6,7,2,3,5,5,5,4,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
20,16,8,9,15,6,5,5,1,3,3,7,6,3,2,0,2,1,1,1,2,0,2,0,1,1,0,0,0,0,0,0,0,0
21,11,9,13,19,7,5,8,2,3,5,4,3,3,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
22,13,14,11,6,9,8,5,8,5,2,4,1,3,2,1,1,0,6,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0
23,13,11,10,7,7,11,4,3,4,6,5,0,3,3,1,4,1,8,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0
24,19,15,8,11,10,5,6,1,4,2,3,3,2,5,2,1,3,2,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0
25,12,13,13,8,5,6,5,8,6,3,4,4,4,3,0,3,1,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0
26,16,13,8,5,8,7,5,8,3,6,6,4,3,4,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
27,18,11,7,5,8,9,6,6,1,7,3,2,4,4,1,2,0,3,1,2,0,2,0,1,0,1,0,1,0,0,0,0,0
28,13,7,9,8,4,6,4,3,3,2,6,4,3,3,3,4,0,5,1,3,0,1,2,1,0,0,0,0,0,0,0,0,0
