sentence_index,NN,IN,JJ,NNS,DT,RB,PRP,VBG,CC,VB,VBP,VBZ,TO,VBN,NNP,PRP$,VBD,MD,WRB,WDT,RBR,JJR,RP,CD,POS,UH,WP,EX,FW,RBS,JJS,PDT,NNPS
1,11,6,11,7,5,9,5,1,6,7,2,2,1,2,0,1,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
2,11,8,12,7,5,6,2,2,4,5,3,4,3,1,0,0,1,2,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0
3,9,7,7,3,3,7,2,3,4,4,4,1,1,2,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4,11,7,6,4,5,4,3,6,3,5,4,2,3,0,0,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5,14,8,6,5,7,3,7,2,4,7,7,3,4,2,0,2,0,1,3,0,0,2,0,1,0,0,1,0,0,0,0,0,0
6,9,7,10,6,4,7,6,5,1,4,4,2,3,0,0,1,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0
7,8,9,6,4,4,9,5,4,3,5,6,1,2,1,0,1,0,1,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0
8,10,8,8,5,8,9,7,4,3,1,5,4,0,2,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9,7,8,9,10,3,8,5,2,5,2,6,3,1,1,1,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10,9,9,7,6,5,6,6,3,3,0,5,4,2,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,8,7,5,4,5,6,6,4,3,6,6,2,3,2,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12,16,7,7,5,9,7,3,5,4,8,2,3,4,1,0,1,0,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
13,7,7,9,9,5,9,7,4,4,7,9,0,5,3,0,2,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
14,6,7,8,12,4,3,5,5,5,7,4,3,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,18,11,12,10,7,4,3,2,7,4,3,3,1,2,0,0,1,2,1,1,1,3,0,0,0,0,1,0,0,0,1,0,0
16,14,9,13,5,8,10,4,3,4,4,3,1,2,2,0,0,3,3,1,2,1,0,2,0,0,1,0,0,0,1,0,0,0
17,20,13,10,4,10,7,5,5,4,3,2,0,2,0,0,1,9,2,4,0,1,0,1,0,0,0,2,0,0,0,0,0,0
18,14,7,10,11,8,7,5,5,7,1,3,0,2,2,0,2,9,0,2,2,2,0,2,0,1,1,0,0,0,0,0,0,0
19,16,10,7,10,6,7,6,2,5,3,5,5,4,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
20,16,8,9,15,6,5,5,1,7,3,3,6,3,2,0,2,1,1,1,2,0,0,2,1,0,0,1,0,0,0,0,0,0
21,11,9,13,19,7,8,5,2,4,3,5,3,3,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
22,13,14,11,6,9,5,8,8,4,5,2,1,3,2,1,1,6,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0
23,14,16,12,9,12,3,7,5,4,2,3,1,3,0,2,2,9,0,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0
