sentence_index,NN,JJ,NNS,IN,DT,VBG,PRP,VBP,RB,CC,VB,VBN,VBZ,TO,PRP$,WRB,VBD,MD,WDT,NNP,POS,WP,RP,EX,CD,JJR,UH,PDT,RBR,JJS,(,),FW
1,14,12,9,10,4,5,7,7,7,7,5,1,5,4,4,5,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2,39,11,8,25,19,8,10,6,11,8,8,1,9,6,4,5,1,0,2,2,2,1,0,0,2,0,1,0,0,0,0,0,1
3,24,9,6,15,12,7,10,4,10,5,7,2,2,2,2,3,9,2,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0
4,24,12,11,14,8,2,20,6,15,6,10,5,4,5,7,5,11,2,0,2,1,1,1,0,1,0,2,0,0,0,0,0,0
5,28,12,9,24,13,4,13,7,10,5,3,2,3,1,4,2,13,1,0,1,1,2,1,0,1,0,1,0,0,0,0,0,0
6,31,11,8,21,13,2,17,12,7,7,7,5,7,3,5,2,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
7,17,12,8,13,11,4,15,9,6,5,11,0,8,2,3,5,3,2,1,5,0,0,0,3,2,0,1,0,0,0,0,0,0
8,22,10,11,15,10,9,15,5,13,6,8,4,2,3,4,3,12,1,1,2,3,1,0,1,0,0,1,0,0,0,0,0,0
9,18,9,9,19,11,5,23,8,12,4,9,3,1,2,2,4,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,23,12,12,16,12,7,10,5,11,6,6,3,2,3,2,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
11,19,14,10,13,12,4,16,5,8,6,8,4,1,4,3,3,9,2,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0
12,25,18,5,19,14,8,12,6,10,6,8,2,8,5,3,2,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
13,18,13,15,17,10,8,11,2,10,6,3,7,8,2,2,2,4,2,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0
14,28,13,12,16,11,13,9,7,12,9,2,4,7,3,2,1,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
15,25,14,16,20,9,7,10,5,7,8,5,3,3,2,0,2,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
16,28,14,11,15,10,10,9,4,10,7,6,3,3,4,3,3,7,1,3,0,0,0,1,1,1,0,0,1,0,0,0,0,0
17,15,16,18,13,10,9,10,8,9,5,9,6,4,4,4,1,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18,13,18,23,13,7,8,7,5,10,9,7,7,4,5,2,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,18,17,19,13,5,12,9,8,4,7,3,5,3,4,4,1,2,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0
20,15,20,19,15,8,12,7,4,5,6,4,4,8,5,3,3,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
21,21,14,10,16,10,8,8,3,7,4,5,5,5,2,1,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,16,17,16,14,10,8,9,5,6,4,7,5,5,4,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,17,20,17,13,10,7,4,6,5,5,2,5,3,2,2,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
24,14,17,20,10,5,5,4,4,4,7,6,5,3,6,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
25,26,21,23,21,8,12,7,6,6,9,4,3,5,3,3,2,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
26,19,18,21,19,7,9,8,5,4,8,6,6,4,3,6,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,23,18,17,14,5,7,4,4,4,6,6,4,3,4,4,3,1,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0
28,31,17,16,22,11,11,7,6,4,8,4,8,5,2,7,2,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0
29,16,23,24,13,10,9,10,10,7,5,5,6,6,4,2,3,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,22,14,22,20,9,8,6,8,2,5,6,6,3,4,4,3,1,2,3,3,0,1,1,0,0,0,0,0,0,0,1,1,0
31,29,25,23,21,16,8,7,12,7,6,7,9,4,5,6,5,1,3,4,0,1,1,0,0,0,1,0,0,1,0,0,0,0
32,25,24,24,21,10,11,7,7,4,4,9,4,3,6,3,5,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
33,27,22,24,19,8,12,9,6,5,5,7,7,5,3,4,2,2,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
34,28,17,15,15,8,11,8,9,4,6,6,3,6,5,2,4,1,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
35,24,24,19,15,9,12,7,5,6,7,6,6,6,4,1,2,2,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
36,28,23,21,15,10,10,6,6,3,5,5,4,4,3,1,4,4,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
37,17,25,25,22,5,11,6,5,3,5,7,8,4,5,5,4,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
38,23,20,22,16,9,10,5,9,7,7,4,7,3,3,3,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,24,23,22,21,7,8,6,8,4,6,6,9,2,3,1,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
40,23,21,24,20,9,15,7,6,2,5,6,4,4,4,3,4,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,30,22,19,19,12,12,6,7,4,7,3,7,6,4,3,5,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
42,24,29,25,21,7,8,7,9,7,8,7,5,2,3,3,5,2,3,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0
43,26,28,25,21,10,11,7,8,4,5,5,8,2,4,2,2,2,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0
44,28,19,28,22,10,13,8,10,3,6,7,7,5,6,7,3,2,3,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0
45,32,34,25,19,9,9,7,10,3,7,6,7,4,6,3,4,2,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0
46,26,25,28,22,5,11,6,7,3,10,5,4,5,5,3,5,4,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
47,33,27,27,25,12,12,7,8,4,6,8,5,3,4,2,3,2,2,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0
48,18,26,28,20,7,10,6,9,6,7,7,4,4,4,2,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
49,23,19,30,24,8,14,7,12,3,5,3,4,3,2,2,2,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
50,27,20,25,17,8,14,6,7,5,7,4,6,4,4,2,4,3,2,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0
