sentence_index,NN,IN,NNS,JJ,DT,VBG,PRP,VBP,RB,CC,VBZ,VBN,VB,TO,PRP$,WRB,VBD,MD,WDT,WP,NNP,POS,RP,UH,CD,EX,RBR,RBS,JJS,JJR,PDT,FW
1,36,24,11,24,15,7,13,6,7,10,11,4,6,2,3,5,0,3,0,1,2,1,0,2,0,2,0,0,0,0,0,0
2,39,25,8,11,19,8,10,6,11,8,9,1,8,6,4,5,1,0,2,1,2,2,0,1,2,0,0,0,0,0,0,1
3,30,18,7,15,15,7,17,10,7,6,9,2,8,4,2,6,3,3,2,0,1,0,0,0,1,1,1,0,0,0,0,0
4,24,14,11,12,8,2,20,6,15,6,4,5,10,5,7,5,11,2,0,1,2,1,1,2,1,0,0,0,0,0,0,0
5,28,24,9,12,13,4,13,7,10,5,3,2,3,1,4,2,13,1,0,2,1,1,1,1,1,0,0,0,0,0,0,0
6,31,21,8,11,13,2,17,12,7,7,7,5,7,3,5,2,0,2,2,1,1,1,0,0,0,1,0,0,0,0,0,0
7,14,16,14,7,9,2,11,10,8,4,5,5,9,3,6,2,3,4,2,4,3,1,0,2,1,1,0,1,0,1,1,0
8,21,19,15,13,13,12,13,6,6,3,4,4,6,4,3,3,7,3,0,1,2,4,1,2,1,1,0,0,1,0,0,0
9,30,19,10,17,20,3,13,5,9,2,7,4,8,4,5,1,11,2,1,2,0,1,0,1,1,0,1,0,0,0,0,0
10,18,16,10,15,9,8,14,8,10,5,5,2,5,3,4,4,2,1,0,0,1,1,1,0,0,0,1,0,2,0,0,0
11,32,18,13,9,16,8,15,8,2,4,3,2,9,5,3,3,5,1,0,1,0,2,1,1,1,0,1,0,0,0,0,0
12,35,25,13,17,12,13,12,9,8,7,5,1,8,6,3,1,2,2,1,0,0,1,2,1,1,2,0,0,0,0,0,0
13,27,20,14,15,13,9,7,6,9,5,7,5,0,2,3,2,1,0,1,2,0,1,1,1,0,2,0,1,0,0,0,0
14,26,19,16,15,14,12,5,4,7,5,7,6,2,4,4,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
15,23,15,18,13,12,8,12,8,5,7,6,5,1,2,2,2,0,0,1,1,1,3,2,1,1,0,0,0,0,0,0,0
16,24,18,15,16,7,13,8,4,15,5,3,3,3,3,5,3,7,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0
17,29,19,15,18,15,7,6,5,7,7,5,7,5,1,1,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
18,23,17,22,17,16,12,11,8,5,6,8,8,6,4,2,4,1,3,2,2,1,0,0,0,1,1,0,0,0,0,0,0
19,22,16,21,20,11,3,7,8,6,6,3,6,7,6,2,4,0,3,3,2,0,0,1,1,0,0,0,0,0,0,0,0
20,24,24,20,15,9,8,7,6,8,5,4,6,1,2,4,1,1,1,1,2,2,2,0,0,0,1,0,0,0,0,0,0
21,22,20,23,15,11,8,5,5,3,6,6,3,3,3,0,3,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
22,27,18,20,17,10,11,7,4,4,7,4,4,4,3,2,2,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
23,21,21,20,22,15,11,6,10,6,6,7,6,3,1,4,3,1,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0
24,24,15,17,13,9,10,6,6,5,6,5,5,4,3,3,1,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0
25,26,21,23,21,8,12,7,6,6,9,5,3,4,3,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0
26,24,14,18,17,9,7,3,7,6,7,4,9,3,4,5,1,2,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0
27,20,18,19,16,10,13,10,8,9,7,5,11,6,2,5,4,1,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0
