sentence_index,NN,IN,JJ,NNS,DT,PRP,VBG,RB,VBP,CC,VB,VBZ,VBN,TO,PRP$,WRB,MD,VBD,WDT,NNP,WP,RP,POS,RBR,EX,CD,JJR,UH,PDT,JJS,RBS,(,),#,FW,NNPS
1,31.0,22.0,19.5,10.0,14.5,12.0,11.0,7.0,4.5,8.5,5.5,8.0,4.0,2.5,2.0,4.5,2.5,2.0,0,2.0,1.0,1.0,1.0,0,1.0,0.5,0,1.5,0,0.5,0,0,0,0,0,0
2,33.5,25.0,11.5,7.0,18.0,12.5,7.5,15.5,6.0,7.5,8.0,5.0,2.0,6.0,4.0,3.5,1.5,4.5,1.0,1.5,1.0,1.0,1.0,1.0,0,1.0,0.5,0.5,0,0.5,0,0,0,0,0.5,0
3,28.0,15.5,14.5,11.5,11.0,12.0,5.0,6.5,8.0,6.0,8.5,6.5,2.5,3.5,1.5,7.0,3.5,2.0,1.5,2.0,0.5,0,0,1.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
4,22.5,15.5,13.0,16.0,9.5,15.0,5.0,13.5,6.5,7.0,10.5,3.0,5.0,4.0,4.5,6.0,3.5,6.0,0.5,1.5,0.5,0.5,0.5,0,1.0,0.5,1.0,1.0,0,0,0.5,0,0,0,0,0
5,29.0,21.0,13.0,11.5,13.0,10.5,5.5,9.5,6.0,6.5,6.0,3.5,3.0,2.0,4.5,3.5,2.5,7.0,0.5,1.0,1.0,1.0,0.5,0.5,1.5,0.5,0,0.5,0,0,0,1.0,1.0,0,0,0
6,32.5,21.5,12.0,13.0,13.0,11.5,6.0,7.0,8.0,8.0,6.0,7.0,5.0,2.5,4.0,3.0,2.0,1.0,2.0,0.5,1.0,0,1.0,0,1.0,0,0,0.5,0,0,0,0,0,0,0,0
7,17.5,15.5,12.0,13.5,9.0,10.0,6.5,8.0,5.0,5.5,7.5,4.0,4.5,3.5,4.0,2.0,3.5,4.0,1.5,2.0,2.0,0,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0,0.5,0,0,0,0,0
8,19.0,16.0,16.0,16.5,11.5,10.5,7.5,8.0,6.0,4.5,7.0,4.5,4.5,3.0,2.0,3.0,3.5,4.0,1.0,1.5,1.0,1.0,2.0,0,0.5,0.5,1.0,1.5,0.5,0.5,0,0,0,0,0,0
9,30.5,19.0,16.0,11.0,15.5,10.5,7.0,8.0,4.5,4.0,7.0,6.0,3.5,3.0,3.0,1.5,3.0,7.0,1.5,1.0,1.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0
10,20.0,17.0,12.5,13.5,8.0,10.0,7.0,9.0,5.0,6.0,5.5,3.0,1.5,2.0,3.5,3.0,1.5,4.5,0.5,1.0,0,1.0,0.5,0.5,0,0.5,0.5,0,0,1.0,0,0,0,0,0,0
