sentence_index,NN,NNS,JJ,IN,NNP,VB,VBG,CC,DT,MD,RB,TO,VBP,VBZ,VBN,WRB,PRP,PRP$,WDT,WP,JJR,POS,RBR,VBD,NNPS,EX,JJS,(,),RBS,RP,PDT,FW
1,19,10,11,12,0,6,4,5,10,4,9,2,5,5,2,3,4,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0
2,39,23,27,19,12,10,9,4,11,5,7,4,4,7,0,3,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,35,30,25,17,15,11,9,7,7,7,3,3,4,5,2,2,2,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
4,39,23,27,21,12,13,7,10,13,6,5,4,2,5,2,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
5,30,24,25,17,15,16,6,9,10,8,4,6,6,2,3,1,4,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
6,39,36,29,21,22,5,7,10,6,3,6,2,5,5,2,3,1,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0
7,3,2,3,4,0,1,1,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,44,32,31,23,21,8,10,7,7,3,4,2,3,6,1,0,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0
9,38,33,22,28,19,8,12,10,6,3,7,4,7,5,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10,32,35,28,23,17,14,7,8,14,6,4,4,2,4,3,0,2,3,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0
11,41,39,27,23,14,14,12,7,4,7,3,5,3,2,3,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
12,37,40,35,23,14,8,14,9,7,5,3,5,6,7,5,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,39,41,31,18,17,11,9,9,8,5,4,5,5,4,2,3,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
14,41,37,29,21,20,10,6,10,8,4,6,7,6,4,3,1,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
15,28,29,41,17,15,9,13,8,7,7,7,5,5,3,5,1,2,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0
16,40,39,34,28,13,5,12,11,10,2,5,1,7,4,1,2,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
17,51,37,33,26,19,18,9,8,10,10,5,7,6,2,1,2,3,3,2,2,1,4,1,0,0,0,0,0,0,0,0,1,0
18,39,35,30,27,16,8,13,11,9,4,5,4,5,6,4,2,0,2,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0
19,31,29,25,21,18,13,7,11,8,4,13,5,8,2,6,1,3,3,0,1,3,1,3,3,0,0,0,0,0,0,0,0,0
20,40,42,26,22,17,8,10,9,6,3,5,7,3,3,4,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
21,39,39,24,20,17,12,11,7,8,7,5,4,6,2,3,1,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
22,33,30,21,19,14,14,13,7,4,7,5,6,5,2,2,1,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
23,44,32,28,23,15,5,7,11,10,2,2,4,7,2,4,2,2,2,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0
24,38,30,28,22,18,6,7,7,8,3,3,1,5,4,1,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
25,34,32,21,21,16,10,11,8,6,3,4,6,2,0,0,0,1,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0
26,30,31,29,23,19,7,6,9,13,3,3,1,6,4,5,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
27,30,31,28,18,16,5,6,13,8,3,2,3,5,6,2,0,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1
28,41,25,20,21,18,8,11,7,8,4,3,4,1,5,4,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
29,32,31,20,16,16,14,5,10,5,6,4,7,1,7,4,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
30,29,36,23,16,20,9,9,10,4,4,6,3,6,2,1,0,2,0,1,1,2,0,1,0,0,0,0,1,1,0,0,0,0
31,30,25,27,15,11,11,10,9,11,7,6,5,4,4,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,34,22,18,20,13,10,6,6,8,7,6,3,2,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
33,29,29,22,18,20,13,8,7,8,4,4,7,3,0,4,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34,35,28,27,21,18,8,15,7,7,5,10,4,4,4,4,2,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
35,42,26,20,24,16,9,7,7,7,4,4,2,4,0,3,2,1,2,2,1,1,1,1,0,2,0,0,0,0,0,0,0,0
36,39,31,23,18,19,9,6,7,8,4,3,5,4,2,1,4,2,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
37,34,33,26,21,19,10,7,7,9,3,1,6,4,1,3,1,1,4,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
38,36,33,31,14,19,11,16,9,9,8,4,4,3,2,1,2,1,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
39,31,28,23,18,20,12,9,6,6,3,1,5,5,0,5,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40,41,23,11,21,22,6,6,8,9,3,3,2,4,2,4,1,0,3,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0
41,26,25,27,16,17,12,10,7,8,8,3,4,2,2,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,32,29,32,19,16,8,6,4,5,4,0,3,5,1,3,2,1,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0
43,30,30,19,14,19,9,8,5,4,3,2,7,3,1,1,2,0,1,1,1,1,1,0,2,0,0,0,0,0,1,0,0,0
44,36,33,20,15,19,9,6,7,6,3,3,5,1,1,0,0,0,0,2,1,1,1,2,0,0,0,0,1,1,0,0,0,0
45,34,21,21,14,22,13,7,7,6,8,4,7,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,31,22,31,16,20,9,9,5,7,7,6,3,2,3,1,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
47,35,23,20,14,18,5,5,5,8,5,5,0,3,4,2,0,0,1,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0
48,36,26,19,23,20,7,3,6,7,4,4,3,2,2,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,43,20,19,20,15,6,11,8,12,4,8,3,0,3,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,34,25,24,13,17,11,8,7,4,6,3,8,3,2,2,0,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
