sentence_index,NN,JJ,IN,NNS,DT,PRP,RB,VBG,VB,CC,VBP,VBZ,VBN,TO,MD,WRB,VBD,PRP$,WDT,NNP,RBR,RP,JJR,WP,EX,CD,PDT,POS,JJS,(,),UH,RBS,#,NNPS
1,26,15,20,9,14,11,7,15,5,7,3,5,4,3,2,4,4,1,0,2,0,2,0,1,0,1,0,1,1,0,0,1,0,0,0
2,28,12,25,6,17,15,20,7,8,7,6,1,3,6,3,2,8,4,0,1,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0
3,26,14,13,16,7,7,6,3,9,6,6,4,3,3,4,8,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,21,14,17,21,11,10,12,8,11,8,7,2,5,3,5,7,1,2,1,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0
5,30,14,18,14,13,8,9,7,9,8,5,4,4,3,4,5,1,5,1,1,1,1,0,0,3,0,0,0,0,2,2,0,0,0,0
6,34,13,22,18,13,6,7,10,5,9,4,7,5,2,2,4,2,3,2,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
7,21,17,15,13,9,9,8,11,6,7,0,3,4,4,3,2,5,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,17,19,13,18,10,8,10,3,8,6,6,5,5,2,4,3,1,1,2,1,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0
9,31,15,19,12,11,8,7,11,6,6,4,5,3,2,4,2,3,1,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
10,22,10,18,17,7,6,8,6,6,7,2,1,1,1,2,2,7,3,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
11,27,18,14,11,10,7,4,4,7,5,3,6,2,2,4,3,4,4,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
12,29,20,19,12,9,6,8,6,5,7,6,5,2,0,3,1,2,1,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
13,26,17,11,15,11,4,7,4,9,8,4,5,2,4,6,1,0,1,3,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
14,19,22,17,16,13,6,7,5,5,9,4,3,2,1,3,1,3,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
15,23,14,15,19,8,5,7,8,5,6,4,1,4,2,4,2,5,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,26,16,12,15,9,3,7,8,9,9,2,2,4,3,4,2,3,3,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
17,26,16,12,15,9,3,7,8,9,9,2,2,4,3,4,2,3,3,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
18,28,15,13,15,9,6,7,4,7,8,5,4,4,2,3,2,3,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,24,17,17,17,7,5,7,7,7,7,3,3,3,1,4,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,22,21,13,15,9,6,5,7,8,9,6,2,3,3,3,1,3,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,22,21,13,15,9,6,5,7,8,9,6,2,3,3,3,1,3,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,27,15,18,18,13,5,5,6,5,5,5,2,4,3,2,1,7,3,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
23,18,20,16,23,8,8,7,5,10,7,7,2,7,4,4,2,1,1,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,20,19,17,22,9,5,8,6,6,9,9,3,6,2,3,1,0,1,3,5,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
25,17,26,14,26,7,4,8,6,7,8,7,3,3,2,5,3,0,1,1,6,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
26,18,22,13,20,8,6,6,6,10,6,5,1,1,3,5,3,3,3,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
27,26,19,16,18,11,6,1,5,9,8,6,5,4,3,6,2,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,25,14,16,15,9,12,6,7,12,5,9,6,5,8,3,2,2,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,20,17,11,12,8,7,5,11,6,6,5,4,6,3,4,0,0,4,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
30,22,11,11,13,8,11,13,10,8,7,6,9,6,6,1,2,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
31,17,16,15,13,8,11,9,10,7,6,11,5,5,4,1,3,1,0,2,0,1,4,2,0,0,1,0,1,0,0,0,0,0,0,0
32,26,15,11,7,6,9,14,10,7,5,9,7,5,3,2,3,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
33,23,18,15,13,8,8,9,6,7,5,7,4,3,4,2,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
34,23,19,14,10,7,8,6,11,6,6,7,6,3,4,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,24,18,17,10,13,9,8,10,9,9,5,8,7,4,1,0,5,6,2,0,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0
36,24,19,11,8,10,14,10,10,5,8,8,8,4,2,2,1,5,2,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0
37,16,20,13,10,11,18,12,5,9,6,13,6,4,3,2,3,2,1,1,1,0,1,2,0,2,1,1,0,0,0,0,0,0,0,0
38,21,16,10,5,11,15,15,5,7,7,6,5,2,4,2,1,2,1,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
39,28,18,16,8,6,9,3,12,7,6,5,11,3,6,1,1,0,2,2,1,3,2,0,0,2,1,1,0,0,0,0,0,0,0,0
40,32,16,17,12,10,10,7,16,5,6,6,7,1,3,2,1,1,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
41,27,23,16,8,8,7,12,9,5,7,3,7,1,4,1,1,2,4,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
42,26,23,18,16,11,5,7,10,4,7,6,4,2,3,2,2,1,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
43,30,21,15,11,10,12,13,5,7,9,13,4,2,2,2,0,0,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0
44,34,17,20,14,13,10,4,7,8,6,6,7,4,5,2,1,1,5,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
45,34,12,19,15,13,10,8,9,4,4,6,11,3,2,2,1,0,4,4,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0
46,28,20,14,17,14,7,9,9,8,4,10,8,4,4,3,3,1,3,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
47,22,26,14,13,6,8,8,7,9,5,6,7,6,5,3,2,1,0,2,0,2,1,0,2,1,1,0,0,1,0,0,0,0,0,0
48,29,17,14,13,10,9,9,5,3,8,6,9,3,2,1,2,1,1,1,2,1,2,0,2,0,1,0,0,0,1,1,0,1,0,0
49,25,18,20,16,8,9,6,8,12,4,7,3,3,5,4,1,1,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
50,26,22,22,14,12,9,8,12,5,7,12,5,2,3,0,1,0,3,0,2,2,1,0,1,1,0,0,0,0,1,1,0,0,0,0
