sentence_index,NN,NNS,JJ,IN,VB,VBG,DT,CC,TO,RB,MD,VBP,VBN,VBZ,NNP,PRP,WDT,WRB,WP,PRP$,VBD,JJR,RBR,POS,JJS,NNPS,RBS,RP,CD,(,),EX,PDT
1,15,7,9,9,5,4,5,3,1,6,4,2,1,7,1,2,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
2,19,13,13,13,6,2,8,4,2,7,2,2,3,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,23,11,15,13,8,3,9,9,3,7,5,2,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
4,3,3,1,0,1,0,2,2,1,1,0,2,1,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,2,3,2,1,1,0,2,0,0,1,0,3,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,5,5,3,2,2,4,2,0,2,1,4,1,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,13,14,17,12,7,10,6,2,2,9,5,3,4,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,23,20,21,14,6,10,7,8,4,4,4,2,3,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,22,18,16,9,8,7,2,4,4,2,2,2,2,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,14,20,10,11,9,8,5,6,5,2,4,3,1,1,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,24,19,14,10,8,8,5,7,1,4,6,2,2,3,1,2,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,17,20,9,11,6,6,5,5,3,3,4,2,1,1,1,1,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
13,13,21,13,15,9,7,6,6,3,2,5,2,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,12,18,14,12,5,6,1,5,4,1,3,2,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15,9,16,12,4,7,6,3,6,3,4,3,3,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
16,20,14,12,8,5,9,5,6,2,1,3,2,1,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,13,15,13,11,4,7,6,4,2,2,4,2,2,0,0,0,2,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
18,24,13,14,11,8,6,3,7,2,3,2,3,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
19,19,14,9,13,4,7,8,6,3,2,2,1,2,3,0,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
20,13,18,9,9,7,11,4,5,3,0,4,1,1,2,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
21,21,17,8,10,6,5,5,5,1,2,4,2,2,4,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,15,19,9,9,7,7,3,5,3,8,1,2,6,4,1,1,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0
23,27,14,9,12,5,6,9,5,3,4,1,4,1,4,1,2,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
24,23,16,11,9,4,2,7,5,3,4,2,7,1,3,1,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
25,25,16,14,10,13,6,5,4,4,1,5,1,0,1,1,1,0,1,0,1,2,0,1,2,0,0,0,1,0,0,0,0,0
26,19,21,17,8,11,4,7,7,5,2,5,2,0,1,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,16,13,13,10,4,5,6,4,1,3,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,24,14,14,8,6,7,9,6,4,3,2,2,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,18,17,15,8,8,6,3,6,4,2,4,1,1,2,3,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30,13,19,17,8,4,5,5,3,3,4,2,3,2,2,2,0,2,0,1,1,2,1,0,0,0,0,1,0,0,1,1,0,0
31,17,17,13,10,4,6,3,4,2,2,1,2,2,1,4,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
32,15,18,11,9,9,4,3,6,4,2,3,2,1,1,6,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,19,11,13,4,10,7,3,4,6,3,2,2,0,1,2,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
34,14,23,18,12,7,4,5,6,2,4,3,4,3,1,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
35,16,13,15,13,6,7,5,4,3,1,4,1,3,4,1,2,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
36,21,20,15,13,6,8,7,6,3,4,3,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
37,11,21,23,11,7,8,5,4,3,2,3,1,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,16,21,17,14,8,5,8,6,4,2,2,4,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,17,20,10,10,9,6,2,6,4,4,3,4,2,0,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,11,17,19,11,7,7,4,2,5,2,3,2,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
41,11,25,18,11,5,10,2,2,3,4,3,2,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
42,18,21,10,10,9,6,5,4,3,2,3,2,1,1,3,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
43,19,18,13,15,8,6,7,4,4,4,3,1,5,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
44,23,15,12,11,6,6,4,3,2,2,4,5,2,3,2,1,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
45,17,15,13,8,8,8,6,4,7,3,4,1,1,2,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
46,17,18,14,12,9,7,6,5,4,3,2,1,5,2,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,20,18,14,14,6,6,5,4,4,2,4,1,1,3,1,1,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0
48,18,16,10,11,6,10,5,3,2,3,2,2,4,2,3,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
49,14,21,12,9,7,5,5,5,3,4,3,3,1,0,3,0,1,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0
50,13,19,13,9,5,6,5,3,6,3,3,4,1,1,0,3,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
