sentence_index,NN,IN,JJ,RB,DT,PRP,VB,NNS,VBG,VBP,CC,VBZ,TO,PRP$,VBN,WRB,NNP,WP,MD,RP,VBD,UH,WDT,JJR,POS,RBR,EX,CD,JJS,RBS,PDT,FW
1,15,11,10,11,4,7,6,4,2,3,1,5,0,3,1,4,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
2,13,9,5,6,7,6,4,3,4,6,2,7,2,2,3,3,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,15,9,11,7,6,6,3,5,4,5,3,6,4,1,1,3,2,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
4,19,13,5,6,5,7,5,2,6,5,3,3,2,0,1,3,1,0,0,3,1,1,0,0,2,0,0,1,0,0,0,0
5,12,13,12,10,5,12,8,2,6,5,2,6,3,1,0,3,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
6,19,8,10,11,9,5,7,3,5,2,5,7,2,1,0,3,2,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0
7,13,17,6,12,7,7,4,6,10,3,5,8,1,1,1,1,3,2,2,0,0,0,1,1,0,1,1,0,1,0,0,0
8,10,12,12,7,4,7,12,4,7,9,4,1,3,0,0,2,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0
9,16,10,10,8,10,9,6,8,2,8,4,5,4,1,0,5,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0
10,12,10,11,10,5,8,5,7,9,6,3,7,2,1,2,3,0,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0
11,18,15,12,13,8,9,6,3,9,4,4,8,2,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12,9,10,7,8,8,5,7,5,4,4,5,5,3,1,2,1,3,2,1,1,0,0,1,1,1,0,1,1,0,0,0,0
13,19,12,9,7,8,7,2,7,4,7,8,5,1,2,3,2,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0
14,21,17,7,7,8,5,8,8,7,4,6,5,3,1,2,2,1,3,1,0,1,2,0,0,1,1,0,0,0,0,0,0
15,11,10,5,11,7,10,12,10,2,7,5,3,3,2,2,1,0,1,3,3,0,0,0,0,1,1,1,0,0,0,0,0
16,16,12,5,7,7,3,6,5,5,3,4,2,3,2,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0
17,10,11,4,7,6,5,4,9,7,9,5,5,1,4,2,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0
18,8,5,8,6,7,5,12,9,4,5,6,2,4,2,1,0,2,2,2,1,0,0,1,2,1,0,0,0,0,0,0,0
19,11,10,7,6,7,5,8,5,4,3,5,1,4,1,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
20,12,10,7,9,6,8,6,9,5,10,5,3,3,1,1,1,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
21,15,9,5,9,9,5,5,8,6,4,4,2,4,3,1,1,1,1,0,1,4,0,0,0,1,0,0,1,0,0,0,0
22,10,6,6,4,4,2,6,5,5,3,4,3,4,0,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,7,7,4,8,3,7,7,1,6,6,4,1,2,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,12,9,8,5,6,5,6,5,3,4,4,0,3,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0
25,14,9,10,6,5,8,8,5,5,6,4,6,7,2,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0
26,8,9,7,7,5,6,7,2,3,4,2,0,2,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
27,12,9,8,9,6,9,4,6,6,6,3,3,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
28,17,12,7,3,7,5,6,2,4,2,5,4,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
29,15,11,10,4,9,7,6,1,8,5,3,6,4,3,3,0,1,2,3,0,0,0,0,0,0,1,1,0,0,1,0,0
30,8,13,10,6,6,4,5,6,3,5,3,3,2,2,2,1,0,1,1,1,0,2,0,0,0,1,0,0,1,0,0,0
31,11,18,12,2,6,7,6,15,6,7,4,2,5,4,3,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
32,10,10,5,6,7,6,7,6,4,4,3,3,5,1,4,0,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0
33,16,10,11,5,11,8,7,5,2,3,5,8,2,3,0,2,0,2,2,2,1,1,0,0,1,1,0,0,0,0,0,0
34,14,10,7,5,6,10,8,2,4,4,4,1,3,2,0,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
35,10,9,13,5,7,7,7,8,2,4,3,1,1,2,2,2,1,0,2,0,3,1,0,1,0,0,0,1,0,0,0,1
36,11,11,4,6,6,8,5,7,5,8,4,1,1,2,0,0,1,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0
37,15,12,6,4,13,5,4,3,7,2,3,1,3,2,2,1,1,0,1,0,4,2,0,1,1,0,1,0,0,0,0,0
38,14,11,7,6,7,3,4,3,3,6,7,1,3,1,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
