sentence_index,NN,IN,JJ,NNS,PRP,VB,DT,VBG,RB,VBP,CC,TO,PRP$,VBZ,MD,VBN,WRB,NNP,WP,WDT,RBR,VBD,EX,JJR,RP,RBS,JJS,POS,CD,PDT
1,14,5,6,5,8,5,8,3,4,6,5,1,2,1,3,2,1,2,1,1,2,1,0,0,0,0,0,0,0,1
2,12,9,13,6,12,11,4,6,10,2,5,3,2,3,8,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
3,10,11,10,11,10,8,5,6,10,3,2,4,4,3,4,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0
4,19,15,11,6,10,6,9,6,5,5,4,2,3,4,4,0,2,2,1,1,0,0,1,0,0,1,0,0,0,0
5,17,13,8,6,11,13,7,5,10,4,4,5,2,6,4,0,6,0,0,1,2,0,0,1,0,0,0,0,1,0
6,13,11,15,5,10,6,9,9,10,6,4,2,2,5,3,1,4,0,1,1,2,0,1,1,0,1,0,0,1,0
7,16,15,11,9,6,7,7,6,4,3,3,4,4,6,3,3,3,1,0,0,1,0,1,0,1,0,0,0,0,0
8,15,13,14,9,9,8,4,5,3,4,5,4,6,6,3,1,2,0,0,1,0,0,1,2,1,0,0,0,0,0
9,12,12,13,11,10,7,8,5,5,6,2,5,3,4,4,3,5,1,1,0,1,2,2,1,0,0,0,0,1,0
10,15,8,10,9,6,9,5,7,6,7,4,5,6,2,2,2,3,1,0,0,1,1,1,1,0,0,0,0,0,0
11,10,11,16,11,7,7,5,9,8,5,4,4,3,3,4,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0
12,18,13,13,7,9,10,5,9,8,6,5,5,6,3,6,5,5,1,0,3,1,0,0,0,0,0,0,0,0,0
13,19,14,7,8,14,11,8,7,4,6,4,5,4,2,4,3,4,0,2,0,1,1,0,0,1,0,0,0,0,0
14,15,13,9,7,6,7,5,7,9,2,3,3,6,3,5,1,3,1,0,0,1,1,0,1,0,0,0,0,0,0
15,13,6,10,9,7,7,6,6,4,5,3,3,3,4,4,2,4,1,0,0,2,0,0,0,0,0,0,0,0,0
16,11,11,10,14,5,7,5,10,7,2,2,3,3,4,2,3,3,0,0,0,1,0,0,0,0,0,1,2,1,0
17,12,11,13,11,8,7,4,10,5,6,2,6,5,4,2,2,3,1,0,1,1,0,1,0,1,0,0,0,0,0
