sentence_index,NN,IN,JJ,RB,DT,NNS,VB,PRP,VBP,VBG,CC,VBZ,TO,WRB,VBN,NNP,MD,PRP$,WP,RP,VBD,POS,UH,WDT,JJR,JJS,RBR,EX,CD,PDT,RBS,FW,NNPS,WP$
1,15.0,7.5,8.5,8.5,4.5,4.0,5.0,6.0,2.5,3.0,2.0,4.5,1.0,3.0,1.5,1.5,1.5,2.0,1.0,0.5,0,0,1.0,0,0,0.5,0,0,0,0,0,0,0,0
2,15.5,9.5,10.5,7.5,8.0,6.0,5.5,6.0,6.0,3.5,4.0,5.5,1.0,3.5,2.5,3.0,0.5,1.5,1.0,1.0,0,1.5,1.0,0.5,0,0.5,0,0,0,0,0,0,0,0
3,16.0,11.0,12.0,8.5,5.5,4.5,5.5,6.5,4.0,5.5,3.5,5.5,2.5,3.5,1.5,1.5,0.5,1.5,1.0,0.5,0.5,1.0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0
4,20.0,13.5,9.5,9.0,8.5,6.0,7.0,7.5,3.5,5.0,4.5,5.0,2.0,4.0,1.5,0.5,1.5,0.5,0.5,2.0,0.5,1.5,1.0,0,0,1.0,0.5,0,1.0,0,0,0,0,0
5,15.0,12.0,9.5,8.5,6.0,5.5,6.0,8.5,5.0,6.0,2.5,5.5,2.5,2.5,1.0,2.0,0.5,0.5,0.5,0,1.0,0.5,0.5,0,0.5,0.5,1.0,0,0,0.5,0,0,0,0
6,18.0,10.0,12.0,11.0,9.5,5.0,7.5,5.0,3.0,5.5,3.5,4.5,3.0,2.5,0,2.5,2.0,1.0,0,0.5,0,1.0,0.5,0.5,0.5,0,1.0,0.5,0.5,0.5,0,0,0,0
7,15.5,17.5,7.5,13.0,8.0,6.0,6.5,8.5,4.0,7.0,4.0,8.5,1.5,1.5,1.0,1.5,1.5,0.5,1.0,0.5,0,0.5,1.0,0.5,0.5,0.5,1.5,0.5,0,0,0,0,0,0
8,12.5,14.0,11.0,10.0,4.5,8.5,11.0,8.0,8.0,7.0,4.5,1.5,3.0,2.0,0.5,1.5,1.0,1.0,2.5,0,1.0,0,1.0,0.5,1.0,0.5,0,0,0.5,0,0,0,0,0
9,14.5,11.5,11.5,10.0,9.0,7.5,7.0,8.0,6.5,3.5,5.5,4.0,3.5,3.5,1.5,1.0,2.5,2.0,1.0,0.5,0,0.5,1.0,0.5,0,0.5,0,0,0,0,0,0,0,0
10,14.0,11.5,15.5,9.5,7.5,7.0,5.0,7.0,6.0,8.0,3.0,6.0,2.0,2.5,1.5,0.5,1.5,1.5,0.5,0.5,1.0,0,0,0.5,0,0.5,0.5,1.0,0,0.5,0,0,0,0
11,15.0,13.0,11.0,10.5,7.5,7.5,8.0,6.5,7.0,7.0,3.5,5.0,2.5,2.0,2.0,1.0,1.5,1.0,0.5,0,0,0.5,0,0,1.0,0,0.5,0.5,0,0,0,0,0,0
12,14.0,10.0,9.5,8.5,7.5,6.0,5.0,5.0,4.5,4.0,5.0,6.5,3.0,2.5,1.5,1.5,0.5,1.0,1.5,0.5,0,1.0,0.5,1.0,1.0,0,0,0.5,0.5,0,0,0,0,0
13,18.0,14.0,8.5,7.5,7.0,7.5,3.5,5.0,6.5,5.0,6.0,4.0,2.0,1.5,2.5,0.5,0,1.5,1.5,1.0,0.5,1.0,0.5,1.0,0,0.5,0,0,0,0,0,0,0,0
14,19.0,15.0,10.5,7.5,9.0,10.0,5.5,5.5,4.5,4.5,4.5,4.0,2.0,3.0,1.5,1.0,1.0,0.5,1.5,0,1.0,0.5,1.0,0,0,0,0.5,0,0,0,0,0,0,0
15,13.5,11.5,8.0,10.5,7.0,9.5,10.0,7.0,6.0,3.0,4.5,2.5,3.5,1.5,1.0,0,1.5,1.5,1.0,1.5,0.5,1.0,0,0,0.5,0,0.5,1.0,0,0,0,0,0,0
16,15.5,13.5,8.0,6.5,6.5,6.0,6.5,4.5,4.5,5.5,4.0,1.5,2.5,0.5,1.0,0.5,1.5,1.5,1.0,1.5,0,1.0,0.5,0,0,0,0.5,0,0,0,0,0,0,0
17,13.5,11.0,10.0,6.0,5.5,8.0,5.5,6.5,7.0,4.0,4.0,5.0,1.5,1.5,3.0,1.0,0.5,2.5,1.0,0,0,1.0,0.5,0.5,0.5,0.5,1.0,0,0,0,0,0,0,0
18,10.0,9.0,9.5,8.0,7.5,7.5,10.0,5.0,6.0,3.5,5.0,1.5,3.5,1.0,2.0,1.5,1.0,1.5,1.5,1.0,0,0.5,0.5,0.5,1.0,0,0,0,0,0,0,0,0,0
19,15.5,11.5,11.0,8.0,10.0,4.5,9.0,7.0,4.0,4.5,5.5,3.0,3.5,1.5,1.5,1.0,2.5,1.5,1.5,0.5,0,1.5,0.5,0.5,1.0,1.0,0,0,0.5,0,0,0,0,0
20,15.5,10.0,8.5,12.5,6.0,8.0,6.5,6.5,6.5,4.5,5.5,3.5,2.5,1.0,4.0,1.0,1.0,1.5,1.0,1.0,1.0,0.5,0,1.0,0,0,0.5,0,0.5,0,0,0,0,0
21,14.5,10.0,11.0,9.5,6.5,7.5,9.0,5.0,4.0,6.0,5.0,2.0,3.5,1.5,1.0,3.0,0,2.0,1.0,1.5,2.0,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0.5,0,0
22,17.5,9.5,8.5,6.0,7.0,5.0,7.0,3.5,2.5,5.5,5.5,3.5,4.0,1.0,1.0,4.0,0.5,0.5,0,0.5,1.0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0
23,13.0,12.5,8.0,8.5,6.5,4.0,8.0,6.5,5.0,4.5,5.0,2.5,3.0,2.0,1.5,1.5,1.5,0.5,0,1.0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0
24,18.5,14.0,7.0,9.0,6.0,5.0,7.0,5.5,3.5,6.5,4.0,3.5,2.0,2.0,2.0,2.5,1.0,2.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0
25,14.0,10.5,12.5,3.5,6.5,7.0,8.5,5.5,4.5,3.0,5.0,4.5,5.5,1.0,1.0,2.0,1.5,1.0,0,0,0.5,0.5,0,1.0,0,0.5,0,0.5,0,0.5,0,0,0,0
