sentence_index,NN,IN,JJ,NNS,RB,VB,DT,PRP,VBP,CC,VBG,VBZ,TO,WRB,VBN,NNP,MD,PRP$,RP,POS,VBD,WP,UH,JJS,WDT,JJR,RBR,EX,CD,PDT,FW,NNPS,WP$,RBS
1,15,4,7,4,6,4,5,5,2,3,4,4,2,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,18,10,16,9,9,7,9,6,6,6,3,4,0,4,2,1,1,1,2,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0
3,17,13,13,4,10,8,5,7,3,4,7,5,1,4,2,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4,21,14,14,10,12,9,12,8,2,6,4,7,2,5,2,0,3,1,1,1,0,1,1,2,0,0,1,0,1,0,0,0,0,0
5,18,11,7,9,7,4,7,5,5,3,6,5,2,2,2,2,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,0,0,0
6,17,12,14,7,11,8,10,5,4,2,6,2,4,2,0,3,3,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
7,18,18,9,6,14,9,9,10,5,3,4,9,2,2,1,0,1,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0
8,15,16,10,13,13,10,5,9,7,5,7,2,3,2,1,0,2,2,0,0,1,2,1,1,0,2,0,0,1,0,0,0,0,0
9,13,13,13,7,12,8,8,7,5,7,5,3,3,2,3,1,3,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
10,16,13,20,7,9,5,10,6,6,3,7,5,2,2,1,1,1,2,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0
11,12,11,10,12,8,10,7,4,10,3,5,2,3,4,3,1,2,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
12,19,10,12,7,9,3,7,5,5,5,4,8,3,4,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
13,17,16,8,8,8,5,6,3,6,4,6,3,3,1,2,0,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
14,17,13,14,12,8,3,10,6,5,3,2,3,1,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,13,11,9,10,8,7,4,5,4,4,2,4,2,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
16,15,15,11,7,6,7,6,6,6,4,6,1,2,1,1,1,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17,17,11,16,7,5,7,5,8,5,3,1,5,2,2,4,1,1,1,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0
18,12,13,11,6,10,8,8,5,7,4,3,1,3,2,3,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
19,20,13,15,4,10,10,13,9,5,6,5,5,3,2,3,1,3,2,1,3,0,1,1,2,1,1,0,0,1,0,0,0,0,0
20,19,10,10,7,16,7,6,5,3,6,4,4,2,1,7,2,1,2,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0
21,14,11,17,7,10,13,4,5,4,6,6,2,3,2,1,5,0,1,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
22,25,13,11,5,8,8,10,5,2,7,6,4,4,1,1,4,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
23,19,18,12,7,9,9,10,6,4,6,3,4,4,2,2,1,2,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
24,25,16,5,4,10,9,7,5,4,4,8,3,4,3,2,5,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
25,14,12,15,9,1,9,8,3,3,6,1,3,4,2,1,3,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
26,16,13,11,6,9,8,9,7,6,5,5,6,2,4,5,3,2,0,0,0,2,1,1,1,1,0,1,1,0,0,0,0,0,0
27,25,15,16,11,6,5,11,5,5,7,5,5,2,2,4,6,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
28,19,19,13,6,7,11,9,11,5,4,6,5,2,2,1,4,1,2,2,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0
29,23,14,11,10,13,12,8,6,2,7,4,7,4,2,0,3,3,2,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0
30,15,11,15,12,12,7,8,6,8,7,8,5,4,1,1,3,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
31,19,13,15,9,9,11,11,8,7,6,4,9,6,2,2,1,2,2,2,0,1,2,2,0,1,1,0,0,0,0,0,0,0,0
32,20,16,10,9,14,8,5,12,5,6,5,5,4,2,3,2,3,3,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
33,21,13,11,9,12,5,8,5,8,4,10,3,2,2,3,0,2,1,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
34,17,15,21,13,9,10,10,7,3,7,8,8,4,2,4,1,3,3,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
35,21,16,16,6,8,6,7,9,7,6,5,6,4,1,1,2,0,4,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
36,21,16,15,10,10,10,11,4,5,5,5,3,4,2,0,0,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,22,13,12,11,5,11,11,7,9,5,3,1,4,2,2,2,2,2,3,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0
38,22,14,12,14,12,8,10,4,4,6,2,6,3,2,4,2,3,1,2,0,3,2,0,1,0,1,0,1,0,0,0,0,0,0
39,23,13,15,11,8,13,11,7,7,7,3,5,5,1,1,4,3,3,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
40,17,15,11,12,9,8,6,6,3,8,8,6,2,2,1,2,2,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
41,20,10,15,12,9,12,14,5,2,6,5,6,3,0,0,2,4,0,1,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0
42,23,8,11,13,7,9,9,5,8,5,4,5,3,4,2,5,2,1,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0
43,16,13,9,12,6,10,7,9,8,4,8,1,2,1,2,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
44,16,12,13,15,13,8,9,6,9,5,4,4,6,0,0,3,3,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
45,19,15,13,12,8,11,9,8,4,4,5,3,3,2,2,4,3,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
46,17,10,9,7,5,8,11,5,3,3,2,6,4,2,1,1,2,1,2,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0
47,13,10,9,15,8,11,6,5,5,4,3,2,3,2,2,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
48,18,11,13,14,9,14,7,7,5,3,2,3,4,4,2,2,5,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
49,21,9,14,13,8,12,6,6,3,5,7,1,3,3,2,4,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50,14,15,17,19,8,11,9,5,5,8,2,2,7,2,7,2,2,2,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
