sentence_index,NN,JJ,NNS,IN,NNP,VB,DT,VBG,RB,CC,VBP,PRP,VBZ,TO,CD,VBN,WRB,PRP$,MD,WDT,WP,RBR,VBD,POS,JJR,RP,NNPS,JJS,EX,(,),RBS,FW
1,18,15,7,12,0,4,4,1,6,5,6,7,6,3,1,2,1,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0
2,13,12,10,9,1,1,4,4,7,5,4,4,5,1,0,2,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0
3,14,13,3,12,0,5,7,5,10,6,3,6,6,1,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,16,14,10,13,0,5,12,0,10,5,6,3,2,2,1,4,3,1,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0
5,21,9,7,12,1,5,8,4,3,5,6,3,2,6,0,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
6,15,7,7,11,0,9,4,5,5,7,3,8,2,3,0,1,3,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7,7,7,9,9,0,4,8,4,5,4,5,6,3,1,0,0,3,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0
8,18,12,6,11,0,5,8,7,9,5,3,5,3,3,1,1,2,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0
9,9,15,8,12,0,5,5,1,8,4,7,7,2,3,1,0,3,1,3,0,2,2,0,1,0,1,0,0,0,0,0,0,0
10,13,8,5,13,0,7,8,10,5,3,5,7,2,5,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,13,9,7,9,0,5,9,7,8,5,4,8,6,1,1,3,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
12,11,12,5,6,0,8,9,5,3,4,2,5,4,2,0,1,1,0,3,1,0,3,1,0,1,0,0,0,0,0,0,0,0
13,11,11,11,10,1,9,7,5,6,5,2,6,4,3,1,2,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,9,10,11,13,5,6,3,3,5,4,8,8,1,3,0,4,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0
15,13,9,13,18,6,3,8,4,3,7,7,6,2,2,1,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
16,20,10,9,16,1,7,8,6,2,6,5,5,3,6,1,0,2,0,0,1,0,2,0,0,2,0,0,0,1,0,0,0,0
17,17,12,6,12,1,9,8,1,6,6,2,7,5,4,0,1,2,0,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0
18,20,14,13,16,2,9,7,4,9,6,5,4,2,2,0,2,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
19,16,10,15,11,0,8,5,5,4,4,3,5,4,5,0,4,3,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0
20,18,8,13,7,0,7,7,6,6,5,4,4,6,3,2,0,3,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0
21,15,9,18,11,2,12,7,4,7,4,5,6,5,5,1,2,2,1,4,2,0,1,0,2,0,1,0,0,0,0,0,0,0
22,20,7,14,17,0,11,12,6,10,5,6,7,4,5,0,2,3,5,3,0,1,1,1,0,1,2,0,0,0,0,0,0,0
23,16,14,19,14,1,10,14,6,5,7,6,4,6,6,0,6,2,2,2,1,2,0,1,0,0,3,0,1,0,0,0,0,0
24,20,12,18,13,2,7,11,8,5,10,9,7,5,4,1,6,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
25,26,15,17,10,0,9,5,6,4,9,4,5,4,6,1,1,1,2,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
26,29,10,16,18,1,11,9,8,6,5,5,6,8,5,1,4,2,1,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0
