sentence_index,NN,JJ,NNS,IN,NNP,VB,DT,VBG,CC,RB,VBP,PRP,VBZ,TO,CD,VBN,WRB,PRP$,MD,WDT,JJR,WP,VBD,RBR,POS,RP,EX,NNPS,RBS,(,),JJS,FW,UH
1,18,15,7,12,0,4,4,1,5,6,6,7,6,3,1,2,1,0,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0
2,13,12,10,9,1,1,4,4,5,7,4,4,5,1,0,2,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0
3,14,13,3,12,0,5,7,5,6,10,3,6,6,1,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,16,14,10,13,0,5,12,0,5,10,6,3,2,2,1,4,3,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0
5,21,9,7,12,1,5,8,4,5,3,6,3,2,6,0,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
6,15,7,7,11,0,9,4,5,7,5,3,8,2,3,0,1,3,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7,7,7,9,9,0,4,8,4,4,5,5,6,3,1,0,0,3,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8,18,12,6,11,0,5,8,7,5,9,3,5,3,3,1,1,2,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
9,9,15,8,12,0,5,5,1,4,8,7,7,2,3,1,0,3,1,3,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0
10,13,8,5,13,0,7,8,10,3,5,5,7,2,5,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,13,9,7,9,0,5,9,7,5,8,4,8,6,1,1,3,2,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
12,11,12,5,6,0,8,9,5,4,3,2,5,4,2,0,1,1,0,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0
13,11,11,11,10,1,9,7,5,5,6,2,6,4,3,1,2,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,9,10,11,13,5,6,3,3,4,5,8,8,1,3,0,4,1,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
15,13,9,13,18,6,3,8,4,7,3,7,6,2,2,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16,15,9,12,14,4,5,10,3,4,8,3,5,4,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,12,6,12,1,9,8,1,6,6,2,7,5,4,0,1,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
18,14,13,11,11,0,4,8,4,4,5,5,6,4,2,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
19,18,10,12,12,1,9,3,3,5,6,2,4,5,3,0,1,1,1,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
20,26,10,15,10,0,11,8,5,6,3,2,2,7,6,1,2,1,3,4,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0
21,16,7,12,9,0,10,9,9,3,5,3,3,5,4,0,2,2,3,3,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0
22,24,8,9,18,0,13,9,8,4,2,8,9,2,10,1,2,1,5,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
23,20,14,14,16,0,10,13,11,7,8,6,6,9,6,0,3,2,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
24,19,14,16,11,0,9,14,6,7,7,8,6,5,3,0,7,1,0,2,1,0,1,0,1,1,3,1,0,0,0,0,0,0,0
25,18,11,16,13,0,12,9,11,7,4,9,9,3,4,0,4,4,1,4,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0
26,27,16,12,13,0,4,9,16,8,7,7,3,9,2,1,5,3,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
27,27,16,12,15,0,8,9,12,9,9,9,9,10,3,0,6,3,4,3,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0
28,30,23,20,20,15,12,7,8,10,6,7,5,4,6,5,2,0,5,2,0,0,3,0,0,2,1,0,0,2,0,0,0,0,0
29,34,24,30,17,17,12,11,8,9,3,6,3,6,3,6,7,3,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0
30,38,30,35,21,23,12,8,10,12,2,8,5,10,4,7,7,4,2,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
31,40,25,25,20,24,17,13,17,10,9,8,10,4,7,7,2,4,4,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
32,44,26,33,23,23,19,9,13,11,6,6,3,5,6,7,3,4,2,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0
33,35,34,20,26,21,18,11,9,8,11,8,12,6,7,7,3,4,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,34,30,27,19,21,15,7,13,14,6,9,7,4,6,7,1,2,6,4,3,0,2,0,0,1,1,0,1,0,0,0,0,0,0
35,26,28,35,22,29,15,2,12,12,5,8,7,3,5,7,5,4,4,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0
36,35,25,25,19,29,15,10,12,11,8,5,4,6,5,7,2,6,6,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
37,42,40,30,24,26,19,9,13,10,10,6,8,8,10,7,5,4,2,4,2,2,0,3,1,0,1,0,0,0,0,0,0,0,0
38,35,26,35,17,26,19,14,10,7,12,10,3,7,5,7,6,5,2,3,4,1,1,2,0,1,0,2,0,0,0,0,0,0,0
39,39,29,27,22,23,17,17,12,9,9,5,2,7,5,7,5,3,2,1,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0
40,41,19,29,25,26,13,12,14,10,8,8,4,4,6,7,5,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
41,37,28,26,19,25,15,13,15,12,8,12,5,7,4,7,6,2,5,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
42,39,35,36,21,34,13,10,12,11,4,10,5,8,3,7,5,5,5,2,4,0,1,0,0,3,0,0,0,1,0,0,0,0,0
43,51,32,26,22,31,16,18,8,12,5,9,5,1,7,7,5,5,2,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
44,35,24,29,23,30,22,11,9,8,10,7,5,2,5,7,6,4,4,3,3,1,2,0,0,3,0,0,0,0,0,0,0,0,1
45,51,27,21,30,34,10,11,14,11,11,8,6,7,3,7,4,5,3,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0
46,47,28,28,27,33,15,13,11,10,7,7,4,6,5,7,5,5,1,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0
47,35,31,34,25,34,18,16,8,14,8,7,10,4,4,8,4,4,4,3,0,1,2,3,0,1,0,0,1,0,0,0,0,0,0
48,39,34,38,25,29,17,8,8,10,11,9,7,7,6,7,5,5,4,1,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0
49,36,31,39,20,31,12,8,8,10,6,7,2,6,3,7,4,4,2,2,2,1,1,0,0,1,1,0,0,0,1,1,1,0,0
50,43,25,34,20,33,16,8,13,8,14,10,3,5,6,7,4,5,2,1,3,0,1,1,1,0,0,0,0,0,1,1,0,0,0
