sentence_index,NN,JJ,IN,NNS,DT,RB,CC,PRP,VBZ,VBP,VBG,VB,NNP,PRP$,TO,VBN,MD,VBD,WRB,WDT,POS,WP,CD,JJR,RP,RBR,PDT,FW,EX,RBS,WP$,(,),NNPS
1,9,9,9,8,3,3,5,7,5,5,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,18,11,14,7,9,8,3,10,5,7,6,7,0,1,2,1,3,0,3,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
3,16,19,13,10,7,5,6,8,5,7,5,7,0,2,3,2,3,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,19,14,15,9,8,6,1,7,6,4,9,6,1,4,2,2,3,2,4,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0
5,19,17,9,8,10,8,5,13,1,4,6,5,0,5,3,1,2,8,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6,20,14,12,5,7,10,5,10,7,6,3,7,1,6,4,0,3,5,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
7,19,15,13,12,7,8,5,6,4,4,3,8,0,7,3,2,5,1,3,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0
8,21,18,12,12,12,8,6,8,3,6,7,6,0,3,3,3,5,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
9,16,20,18,12,9,8,5,6,1,6,9,7,0,0,3,3,5,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
10,12,15,13,13,4,7,6,6,7,3,6,4,0,3,1,4,2,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11,13,15,13,22,4,8,7,5,3,6,6,7,0,3,4,5,4,1,0,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0
12,19,15,8,10,10,4,4,6,2,3,3,5,0,6,2,2,3,5,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
13,16,11,18,13,12,7,4,8,5,2,4,7,0,1,2,1,3,5,3,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0
14,20,14,12,13,9,6,10,6,2,2,5,5,0,4,1,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,18,16,12,15,9,3,4,5,6,2,6,5,1,2,3,1,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
16,16,17,12,8,10,5,6,6,4,3,4,5,1,1,2,3,2,4,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
17,18,17,10,13,8,6,7,8,1,5,2,4,1,3,2,3,2,7,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
18,26,8,14,10,11,5,5,6,3,3,3,8,4,3,5,1,2,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
19,22,13,10,4,10,7,5,6,7,3,1,4,5,3,2,2,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,21,15,12,7,9,8,5,6,7,4,3,5,1,1,2,3,2,1,1,2,1,1,0,0,2,1,0,1,0,0,0,0,0,0
