sentence_index,NN,JJ,IN,NNS,DT,RB,CC,PRP,VBZ,VBG,VB,VBP,NNP,TO,PRP$,VBN,VBD,MD,WRB,WDT,POS,CD,JJR,WP,RP,RBR,PDT,FW,EX,RBS,NNPS,WP$,UH,(,)
1,23,19,15,7,9,8,6,8,5,4,8,4,0,1,2,0,0,3,1,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0
2,18,11,14,7,9,8,3,10,5,6,7,7,0,2,1,1,0,3,3,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
3,22,14,17,10,9,3,5,8,6,8,7,5,0,4,3,0,0,2,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,19,14,15,9,8,6,1,7,6,9,6,4,1,2,4,2,2,3,4,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
5,19,17,9,8,10,8,5,13,1,6,5,4,0,3,5,1,8,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,20,14,12,5,7,10,5,10,7,3,7,6,1,4,6,0,5,3,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7,19,15,13,12,7,8,5,6,4,3,8,4,0,3,7,2,1,5,3,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
8,18,15,8,9,7,3,5,6,5,4,7,5,0,2,5,4,0,4,2,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
9,16,20,18,12,9,8,5,6,1,9,7,6,0,3,0,3,1,5,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
10,13,17,9,12,6,6,7,5,2,7,4,5,0,2,4,2,1,2,2,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
11,8,13,13,20,6,8,8,4,2,7,5,6,3,4,2,3,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,13,9,11,12,3,6,4,5,1,4,4,1,0,0,5,3,8,4,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
13,18,14,12,9,10,8,3,5,0,4,6,3,0,3,5,2,4,3,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14,18,17,9,11,10,4,5,6,4,6,2,4,0,1,2,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,15,13,15,7,3,5,5,3,3,5,3,0,5,3,5,4,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
16,15,14,10,12,8,5,4,7,2,3,5,3,1,5,3,4,5,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
17,18,14,10,9,11,8,8,5,2,4,4,3,0,3,2,3,5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,21,14,8,7,11,5,6,6,3,4,4,2,2,2,4,2,4,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,20,8,6,6,8,4,3,6,5,5,5,4,7,4,3,5,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20,17,20,12,8,13,8,5,6,2,3,3,6,5,2,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,17,14,8,8,9,6,7,7,7,5,4,2,1,3,1,2,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
22,25,15,12,8,9,0,6,3,6,5,5,1,2,3,3,3,1,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
23,20,14,10,8,10,4,5,5,6,4,3,4,3,1,1,6,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,22,11,13,7,13,5,4,4,4,5,3,3,3,2,1,3,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
25,19,15,15,8,16,8,7,4,5,8,2,3,2,2,1,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,23,15,14,10,11,6,7,6,4,3,4,5,1,2,1,4,1,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
27,21,15,15,11,10,8,6,3,5,4,2,4,0,2,3,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,26,15,8,8,13,5,7,2,6,3,4,4,1,4,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,18,15,7,8,10,7,7,3,7,6,3,4,0,2,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,23,15,9,9,13,11,8,6,5,3,3,4,2,3,4,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,29,13,9,7,15,6,6,3,8,2,4,2,2,4,2,1,0,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
32,26,15,8,6,12,10,8,3,10,4,2,2,0,3,2,2,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
33,20,15,9,14,11,7,5,3,7,4,4,2,5,3,1,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,24,14,15,11,15,5,6,2,5,4,1,5,4,2,1,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
35,19,13,15,15,11,4,5,4,5,5,3,5,2,2,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
36,19,11,8,9,9,7,6,2,7,3,2,4,7,2,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,21,13,12,11,6,6,4,3,5,7,2,5,7,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,20,15,14,11,11,5,8,5,6,3,2,2,5,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,17,14,12,12,13,6,7,2,4,3,3,3,5,3,2,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
40,19,15,10,10,10,5,6,3,5,3,3,1,6,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,18,14,17,10,10,5,6,3,5,3,4,2,7,2,1,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
42,14,17,11,15,7,3,5,3,4,3,3,3,7,4,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,13,15,9,13,8,4,4,2,3,0,1,3,7,1,2,3,1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
44,15,9,8,13,7,4,7,3,4,3,7,5,9,4,2,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,21,16,11,10,11,5,8,2,3,1,2,4,8,1,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,19,10,13,11,8,7,6,4,4,1,4,3,9,2,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,16,17,10,14,10,3,6,4,3,1,4,4,6,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,15,12,11,11,7,3,5,4,3,2,4,4,9,3,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,19,13,10,12,9,5,7,3,3,2,3,4,13,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,20,17,8,9,7,5,4,3,4,4,4,4,8,3,2,0,0,1,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
