sentence_index,NN,JJ,NNS,IN,NNP,DT,VB,VBG,RB,CC,VBZ,PRP,VBP,TO,VBN,CD,PRP$,WRB,MD,VBD,WDT,WP,JJR,POS,RBR,RP,NNPS,RBS,PDT,JJS,),(,FW,EX,UH,WP$
1,10.0,5.5,5.5,9.0,0,3.5,4.0,3.5,5.5,3.5,4.0,8.5,6.0,1.0,0.5,0,1.0,2.0,2.0,1.0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0
2,15.0,9.0,6.5,12.5,0.5,8.5,6.0,5.0,8.5,3.5,4.0,10.0,7.0,3.0,1.0,0,0.5,3.0,2.5,0.5,0,1.0,1.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0.5,0,0
3,17.0,14.0,9.5,13.5,0,7.5,6.0,5.5,7.5,5.0,6.5,7.5,6.0,2.5,4.0,0,1.5,2.5,2.0,0,1.0,0,0,0,1.0,0.5,0,0,0.5,0,0,0,0,0,0,0
4,16.0,14.0,8.5,13.0,0.5,8.0,7.0,9.5,6.5,1.5,5.0,9.0,4.0,2.5,1.5,0.5,2.5,3.0,2.5,2.0,0.5,0,0.5,1.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5
5,17.5,13.5,7.5,9.5,0,9.5,4.5,5.0,10.0,5.0,3.0,11.0,4.5,2.0,3.0,0.5,4.0,3.5,3.0,5.5,0.5,1.0,0,1.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0
6,21.0,12.0,6.0,12.5,0.5,9.0,4.5,2.5,10.0,4.0,4.5,8.5,4.0,3.0,1.0,1.0,4.5,3.0,2.0,9.5,1.0,1.0,0,1.5,0.5,0.5,0,0,0,0,0,0,0,1.0,0,0
7,18.5,12.0,14.5,12.0,0,7.5,6.5,3.5,8.0,6.0,3.5,4.5,4.0,3.0,4.5,1.0,5.5,2.5,3.5,2.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
8,16.0,14.5,16.5,11.5,0,11.5,5.5,7.0,5.0,6.5,5.0,6.0,5.0,3.5,5.0,0.5,3.0,2.5,4.0,0,1.0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0
9,17.5,16.0,13.0,14.0,0,9.5,6.5,8.5,6.5,4.0,3.5,5.0,5.5,3.5,3.5,0.5,1.5,1.5,4.0,0.5,1.0,0.5,1.5,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
10,17.0,12.5,13.5,12.0,0,7.0,6.0,7.5,7.5,4.5,6.0,6.0,6.0,3.5,4.5,0.5,2.0,2.0,2.0,1.0,2.5,0.5,0.5,0.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0
11,15.0,12.0,19.0,13.0,0,9.5,7.5,7.0,5.5,5.5,2.5,5.5,4.0,5.0,3.5,1.5,3.5,2.0,3.5,6.5,3.0,1.5,0,0,0,1.0,0,0,0,0,0,0,0,0,0.5,0
12,18.5,13.0,13.0,9.0,0.5,8.5,7.5,7.5,4.5,4.5,3.0,6.0,4.0,3.0,1.5,0.5,3.5,3.0,3.0,2.5,0.5,1.0,1.0,0.5,0.5,1.0,0,0,0,0,0,0,0,0,0,0
