sentence_index,NN,JJ,NNS,IN,NNP,DT,VBG,VB,RB,CC,VBZ,PRP,VBP,TO,VBN,PRP$,CD,WRB,MD,VBD,WDT,WP,POS,JJR,RBR,RP,NNPS,RBS,),(,FW,PDT,EX,JJS,UH,WP$
1,19.0,13.0,7.5,13.5,0.5,7.0,4.0,8.5,6.5,5.0,4.5,8.0,4.0,2.5,0,2.0,0,1.0,3.5,0,1.0,1.0,0.5,0,1.5,0.5,0,0,0,0,0,0,1.0,0,0,0
2,18.0,10.5,6.0,12.0,0,9.0,4.0,7.0,6.0,3.0,5.0,10.0,5.5,2.5,3.0,1.5,0,3.5,3.5,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0
3,18.0,13.5,11.0,16.5,0.5,7.0,8.5,7.5,5.5,5.0,5.5,10.0,4.0,4.5,1.0,4.0,1.0,1.5,2.5,0.5,1.0,0,0.5,0,1.0,0,0,0,0,0,0,0.5,0,0.5,0,0
4,16.0,12.5,11.0,13.5,0.5,8.5,7.5,5.0,6.5,2.5,3.5,7.0,4.0,3.0,2.0,4.5,1.0,2.5,2.5,4.0,0.5,0.5,1.0,1.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5
5,13.5,12.5,11.5,9.5,0,8.5,7.0,4.5,11.0,5.0,3.0,9.5,4.0,3.0,2.5,4.5,0,3.0,2.0,4.5,0,0.5,0.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0
6,17.5,13.5,7.0,11.0,1.0,8.5,5.0,4.5,11.0,5.0,4.5,10.5,4.0,2.0,2.0,5.0,1.5,2.5,2.5,8.0,1.0,0,1.0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0
7,17.5,13.0,11.5,11.5,0,7.5,7.0,7.0,8.0,5.0,6.0,6.5,5.0,3.5,3.5,5.5,1.0,3.0,3.5,0.5,1.5,0,0,1.0,1.5,0,0,0,0,0,0,0,0,0,0,0
8,17.5,13.5,13.0,11.5,0,7.0,6.0,7.5,7.5,5.0,5.0,6.5,6.5,3.0,5.5,4.5,1.0,2.0,4.0,0,1.0,1.0,0.5,1.0,0.5,1.5,0.5,0.5,0,0,0,0,0,0,0,0
9,16.0,15.5,13.0,15.5,0,9.5,7.0,8.0,7.0,5.0,5.0,8.5,7.0,3.5,4.5,1.5,1.0,2.0,4.5,1.0,0.5,1.0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
10,14.5,15.5,10.0,10.0,0,8.0,7.0,7.0,9.0,5.0,3.0,5.5,3.5,2.5,2.0,2.0,1.5,1.5,2.5,1.5,1.5,0.5,1.0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0
11,14.0,12.5,18.5,14.0,1.5,8.5,11.0,5.5,6.5,5.5,5.5,4.5,6.0,3.0,3.5,2.5,0.5,1.0,1.5,0.5,2.0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
12,18.5,8.5,11.5,13.0,0,7.0,6.5,4.0,7.0,4.5,4.0,4.0,3.0,2.0,3.5,3.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
13,18.0,11.0,12.5,12.5,0,7.5,6.5,6.5,9.0,6.0,3.5,6.5,4.5,4.0,2.5,4.5,0.5,1.5,3.0,2.0,2.0,0.5,0.5,1.0,0,0.5,0,0,0,0,0,0,0,0,0,0
14,18.5,15.0,14.5,12.0,0,11.0,8.5,3.0,6.0,6.0,4.0,6.0,4.0,1.0,2.0,2.5,0,2.5,2.0,2.0,1.0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
15,19.0,16.5,18.0,16.0,0,9.5,5.0,6.5,3.5,5.5,5.0,5.5,2.5,4.0,4.0,2.5,0,1.5,2.0,2.5,1.0,1.0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0
16,21.5,19.0,13.0,11.5,1.0,9.5,5.5,4.5,6.5,5.0,5.0,6.5,5.5,3.5,2.5,3.0,0.5,2.0,2.5,2.5,2.0,1.0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
17,25.0,16.5,11.5,14.0,0.5,15.5,5.5,7.0,9.5,8.0,5.5,6.5,4.5,3.5,3.5,2.0,0,1.0,1.5,2.5,3.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
18,27.0,17.5,14.5,12.0,12.0,12.0,8.5,9.0,8.0,7.0,5.5,6.0,4.0,3.5,2.0,4.0,3.0,3.0,2.5,3.0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
