sentence_index,NN,JJ,IN,RB,DT,VB,NNS,PRP,VBG,VBZ,CC,VBP,TO,MD,VBN,NNP,WRB,PRP$,RP,POS,VBD,JJR,EX,WP,WDT,UH,RBR,JJS,CD,PDT,FW,RBS
1,14,7,10,8,8,3,3,6,5,7,2,6,2,0,1,0,2,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
2,19,6,14,8,6,8,6,8,6,4,1,4,2,1,2,2,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
3,16,9,7,10,7,3,4,2,5,4,2,3,1,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,7,10,9,6,7,4,6,6,3,4,2,4,4,1,3,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
5,10,7,13,11,6,6,3,6,7,7,2,3,1,0,1,1,2,1,0,1,0,0,2,2,0,2,0,0,0,0,0,0
6,13,2,9,7,5,3,7,7,4,5,2,7,2,0,0,3,3,0,1,0,0,3,2,1,1,0,0,0,0,0,0,0
7,17,4,13,7,8,7,8,3,6,3,5,1,4,1,0,4,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0
8,11,5,7,9,5,9,4,3,3,3,3,2,3,3,1,2,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0
9,20,10,9,9,5,9,5,4,2,4,4,1,3,3,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10,16,6,9,11,4,9,4,3,4,2,2,2,5,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11,16,11,9,7,6,5,5,5,4,3,5,2,3,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0
12,8,11,12,10,5,7,10,2,4,2,2,3,3,0,3,3,1,2,1,0,2,0,0,0,0,1,0,2,0,0,0,0
13,10,10,11,6,8,2,7,4,4,2,1,5,2,0,2,3,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
14,12,7,10,8,7,8,9,9,3,1,5,6,2,4,0,0,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0
15,6,9,7,15,3,7,8,8,7,1,3,7,2,2,0,2,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
16,11,8,5,7,6,6,8,3,3,4,3,2,1,4,2,1,2,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0
17,12,8,8,11,9,8,5,3,3,2,2,1,3,2,1,1,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0
18,15,10,9,7,5,3,5,4,1,3,2,2,2,1,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
19,13,9,12,10,8,2,3,4,3,4,2,2,2,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
20,11,9,12,9,7,4,6,5,5,0,3,5,2,2,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
21,17,11,9,10,8,6,2,5,2,2,3,4,3,2,2,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
22,14,12,15,4,7,4,6,5,4,7,1,5,4,0,1,0,2,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0
23,14,8,12,7,7,4,7,4,3,6,2,4,4,1,1,1,0,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0
24,16,14,11,5,7,7,7,8,3,5,2,3,3,2,1,1,2,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0
25,18,14,15,6,8,6,8,6,3,3,4,3,3,2,1,2,0,2,0,2,1,0,1,1,1,1,0,0,0,0,0,0
26,13,8,8,9,5,10,9,9,3,2,2,5,3,3,3,1,2,3,1,0,4,1,0,2,1,0,1,0,0,0,0,0
27,13,12,12,8,8,5,10,4,4,4,3,2,2,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
28,10,10,11,8,7,10,6,5,2,2,3,1,3,4,0,2,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
29,16,6,7,11,5,9,9,5,2,2,5,5,2,3,2,0,3,2,1,1,1,1,0,0,0,0,0,1,0,0,1,0
30,11,13,7,11,11,8,4,5,4,4,3,3,4,1,1,3,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0
31,14,10,18,7,8,6,6,3,6,7,2,1,2,2,2,2,1,1,1,0,0,2,1,2,1,1,1,0,1,0,0,0
32,19,9,11,7,12,8,6,5,4,7,5,1,1,2,1,0,1,2,0,1,0,2,0,0,1,0,0,1,0,0,0,0
33,15,14,14,3,11,10,6,4,6,4,3,0,2,5,1,1,2,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0
34,21,11,12,9,7,9,7,2,4,1,4,4,3,1,2,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
35,13,7,6,9,4,10,7,3,3,4,6,1,1,5,1,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0
36,18,11,9,4,9,8,4,6,4,6,6,2,4,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
37,15,16,10,9,10,5,7,6,8,7,5,2,0,2,1,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
38,16,13,8,10,6,11,7,6,8,3,4,1,3,4,3,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
39,18,13,14,7,8,6,5,2,0,1,3,3,2,3,2,3,2,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0
40,13,17,9,6,8,10,7,7,1,5,2,5,4,3,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,17,13,9,5,7,9,8,3,2,1,3,3,2,4,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0
42,15,14,7,8,7,9,5,7,1,4,4,5,2,4,2,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
43,20,12,12,10,7,7,6,5,1,2,6,2,1,2,1,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0
44,18,13,10,9,7,10,9,4,4,2,7,5,3,2,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
45,15,11,9,13,6,8,4,6,6,2,4,5,4,1,3,1,2,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0
46,12,10,13,9,8,8,6,5,2,4,1,3,1,3,4,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
47,12,12,9,10,5,6,7,8,6,5,7,1,1,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
48,10,9,8,5,7,9,10,7,9,1,4,5,4,1,2,2,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0
49,9,12,11,7,7,7,14,4,5,1,4,4,2,3,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,11,18,4,8,7,7,8,3,3,5,2,3,3,2,2,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0
