sentence_index,NN,IN,JJ,NNS,DT,VB,RB,PRP,CC,VBP,VBG,VBZ,MD,TO,VBN,WRB,JJR,EX,PRP$,VBD,RBR,WDT,NNP,WP,RP,JJS,CD,POS,UH,PDT,RBS,WP$
1,12.0,5.5,4.5,1.0,5.5,2.0,3.0,5.0,3.5,2.0,2.0,3.5,0.5,0.5,1.0,2.0,0.5,1.0,0.5,1.0,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0,0
2,9.0,7.0,9.0,5.0,5.0,4.0,7.0,7.5,3.5,6.5,2.5,2.5,2.0,1.0,1.5,2.0,0,1.0,0.5,0.5,0.5,0,0.5,1.0,0.5,0,0,0,0,0,0,0
3,14.5,8.5,6.5,2.5,7.0,4.5,7.0,4.5,3.0,3.0,3.0,2.5,2.0,2.0,0.5,1.5,1.0,1.0,1.0,0.5,0,0,0,0,0,0.5,0,1.0,0,0,0,0
4,16.0,10.5,3.5,2.5,7.5,5.5,10.5,9.0,4.0,4.5,5.5,4.5,2.5,3.0,1.0,2.5,1.5,1.0,1.0,2.5,1.0,0.5,0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,0
5,11.0,7.0,7.0,8.0,4.5,6.0,7.0,6.0,5.0,4.0,4.0,6.0,2.0,2.0,1.0,3.0,0.5,1.5,0.5,0,1.0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0
6,13.0,11.5,4.0,6.5,7.0,6.0,5.5,3.0,3.5,2.5,7.0,3.5,3.0,2.0,1.5,2.0,0.5,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
7,10.5,11.0,4.0,3.5,7.0,5.0,8.5,6.5,3.5,3.5,6.5,4.0,3.0,2.0,2.0,2.0,0.5,2.0,0,0.5,1.0,0,0.5,0,0.5,0.5,0,0,0,0,0,0
8,13.0,11.5,8.5,5.5,7.5,5.5,6.0,5.0,4.5,4.5,4.0,5.0,2.0,2.0,2.0,2.0,0.5,1.5,0.5,1.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0
9,11.0,7.0,6.0,6.5,6.0,7.0,6.5,5.5,3.5,3.5,2.5,4.0,3.0,3.0,1.0,3.0,1.5,0.5,0.5,1.5,1.0,0.5,0,0,0,0,0,0,0.5,0,0,0
10,15.0,8.5,4.5,4.5,9.0,7.0,7.0,4.5,3.5,3.5,4.5,3.0,4.0,2.5,3.0,1.0,0.5,0,0,1.0,0,0.5,0.5,0.5,0.5,0,0.5,0,0,0.5,0,0
