sentence_index,NN,IN,JJ,RB,VB,NNS,DT,PRP,VBG,CC,VBP,VBZ,TO,MD,VBN,NNP,PRP$,WRB,RP,WP,VBD,JJR,POS,WDT,EX,RBR,UH,JJS,CD,PDT,RBS,FW
1,14.5,9.5,8.0,6.0,3.5,6.0,6.5,5.5,5.0,1.5,5.5,6.5,1.5,0.5,0.5,1.0,0,2.0,0.5,1.5,0,0,0.5,1.0,0,0.5,1.0,0,1.0,0,0,0.5
2,16.5,11.5,4.5,7.5,8.5,5.0,6.0,7.5,6.0,1.5,3.0,4.0,1.5,1.5,2.5,2.0,0,2.0,1.0,0.5,0,0.5,1.5,0.5,0,0,1.0,0.5,0,0,0,0
3,16.0,8.0,8.0,8.0,3.5,4.5,6.5,2.5,3.5,2.0,3.0,5.5,1.0,1.0,1.0,0.5,1.0,2.0,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0
4,16.5,12.0,5.5,12.0,6.0,3.5,7.5,5.0,6.0,3.5,1.5,3.0,4.0,2.5,1.0,2.5,1.5,2.5,1.0,0.5,1.0,1.0,0,0,0,0.5,1.5,0.5,0,0.5,0,0
5,10.0,11.0,6.0,9.0,7.0,3.0,4.5,7.5,6.0,3.5,5.0,5.0,0.5,1.0,1.0,1.0,1.0,1.5,0,1.5,0,0,0.5,0,1.0,0,1.5,0.5,0,0,0,0
6,12.5,10.0,4.5,6.5,4.5,5.0,4.0,6.0,6.5,2.0,5.0,5.5,2.5,1.0,1.0,2.0,0,1.5,0.5,1.0,0.5,1.5,0.5,0.5,1.0,0,0.5,0.5,0,0,0,0
7,14.5,13.5,5.5,6.0,5.5,7.0,7.5,5.0,7.0,5.0,3.5,3.5,3.0,1.0,1.0,2.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0,0,0.5,1.0,1.0,0,0.5,0,0
8,8.5,6.5,4.0,8.0,7.0,4.5,4.0,5.0,4.5,3.0,3.5,4.0,2.5,2.5,2.0,1.5,1.0,1.0,0.5,1.5,0,0.5,0.5,1.0,0.5,0,0.5,0,0.5,0,0,0
9,15.0,9.0,8.0,9.0,7.0,6.5,5.5,6.0,4.0,2.5,3.5,5.5,2.5,3.0,0.5,1.0,1.0,1.5,1.5,0.5,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0.5,0,0
10,14.5,11.5,5.0,10.5,7.0,6.0,4.5,6.5,5.5,2.5,4.5,3.0,4.0,0.5,1.0,0.5,1.5,0.5,0,0.5,0,0.5,1.0,0,0.5,0,0,0.5,0,0,0,0
