sentence_index,NN,NNS,JJ,NNP,IN,VB,VBG,DT,RB,CC,VBP,VBZ,PRP,CD,TO,VBN,WRB,PRP$,MD,VBD,WDT,WP,JJR,RBR,RP,POS,NNPS,RBS,JJS,(,),EX,UH,PDT
1,11,3,2,0,9,6,5,4,8,2,7,3,10,0,1,1,3,0,4,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2,12,6,7,1,11,5,4,8,9,4,7,3,10,0,4,1,3,0,2,1,0,1,2,1,0,1,0,0,1,0,0,0,0,0
3,18,9,9,0,14,5,6,8,10,4,5,8,7,0,2,6,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
4,13,8,14,0,11,8,10,8,7,2,4,4,11,0,3,1,2,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5,16,7,10,0,10,4,4,9,12,5,5,5,9,1,1,5,3,3,4,3,1,2,0,1,1,1,0,0,0,0,0,0,0,0
6,22,7,10,0,13,2,2,11,10,3,2,2,7,1,2,2,3,3,1,14,1,2,0,1,1,2,0,0,0,0,0,1,0,0
7,18,17,9,0,11,5,4,8,8,7,4,3,3,1,3,7,2,4,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
8,11,21,11,0,11,5,7,11,2,7,4,7,4,1,4,7,3,3,3,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0
9,19,14,12,0,10,6,8,10,5,3,5,6,4,0,4,4,2,3,3,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0
10,22,14,10,0,11,8,9,10,8,3,9,5,6,1,6,5,4,1,2,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0
11,17,16,9,0,13,8,8,15,3,4,2,2,6,2,6,2,4,4,3,12,2,1,0,0,1,0,0,0,0,0,0,0,1,0
12,18,16,11,1,10,10,12,7,5,5,5,4,6,1,4,1,3,1,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0
13,17,12,10,0,9,7,9,9,7,6,7,6,4,1,3,3,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
14,11,20,13,1,15,9,6,4,6,7,7,3,10,0,6,1,3,5,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
15,27,15,14,0,18,7,10,12,12,7,7,5,6,1,3,2,3,3,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
16,27,20,20,2,19,5,7,10,3,5,6,4,5,0,2,3,4,2,2,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0
17,14,21,19,0,11,8,6,6,9,6,9,5,6,0,3,3,3,1,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
18,42,25,19,15,16,17,7,12,2,10,6,6,3,5,8,6,2,2,2,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
19,39,23,23,17,23,14,6,17,3,13,8,9,7,6,3,7,1,2,2,1,1,1,0,0,2,1,2,0,0,0,0,0,0,0
20,29,35,33,24,17,12,10,6,3,9,9,6,3,7,3,4,2,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
21,40,27,24,27,25,19,17,9,14,10,6,13,8,7,5,3,2,4,3,2,0,1,1,0,1,0,1,0,1,0,0,0,0,0
22,43,30,31,27,19,18,14,14,7,10,8,8,4,7,9,2,4,2,2,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0
23,30,32,27,29,16,18,10,10,6,9,5,10,5,7,4,4,7,4,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
24,51,31,26,24,23,11,13,11,5,11,8,10,5,8,4,5,3,1,1,0,2,1,0,2,2,0,2,0,1,0,0,0,0,0
25,42,33,27,29,22,16,10,8,7,11,7,3,3,7,4,1,5,2,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
26,41,34,35,32,28,12,9,5,10,8,4,10,4,7,4,5,3,1,1,0,0,0,2,1,1,2,0,1,0,0,0,0,0,0
27,39,38,38,29,27,11,14,7,4,10,7,13,5,7,3,3,2,1,1,2,2,1,1,0,0,0,0,1,0,1,1,0,0,0
28,36,31,30,23,24,12,8,6,9,8,6,16,4,7,4,5,5,3,1,2,2,0,1,1,0,2,1,0,0,0,0,0,0,0
29,38,32,29,26,23,13,12,10,7,9,8,5,4,8,5,6,2,2,2,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0
30,38,35,37,30,24,12,10,9,6,9,7,7,3,7,4,1,4,2,2,1,1,1,0,1,0,2,0,0,0,2,2,0,0,0
31,38,36,30,33,22,12,17,8,5,7,7,9,3,7,4,3,2,3,1,2,1,1,2,0,0,1,0,0,0,1,1,0,0,0
32,38,26,31,34,17,10,20,6,7,10,6,5,3,7,2,1,4,3,1,2,2,0,2,1,0,0,0,0,0,0,0,1,0,0
33,36,36,37,32,21,8,16,11,7,8,6,9,3,7,3,6,3,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0
34,43,39,37,28,18,9,22,8,15,7,7,9,4,7,3,2,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0
35,41,29,31,28,19,14,11,6,7,9,8,7,8,7,3,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,39,31,39,28,19,11,14,6,11,10,6,10,3,8,2,4,4,2,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0
37,35,36,35,28,17,12,17,7,6,7,7,6,2,7,3,0,2,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
38,48,38,31,31,21,10,9,6,7,8,3,5,3,7,5,3,5,4,2,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0
39,34,30,29,20,18,15,8,6,10,6,4,6,4,6,4,3,3,2,2,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
40,36,36,27,28,20,13,12,8,5,9,11,6,5,7,5,6,6,5,1,3,1,2,3,0,0,0,1,0,0,0,0,0,0,0
41,42,27,31,30,23,15,12,6,6,11,10,9,10,7,4,1,4,6,2,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
42,42,27,28,24,17,15,14,17,9,9,10,3,6,7,3,5,7,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
43,38,26,35,25,15,11,9,5,5,9,10,6,6,7,4,5,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,40,25,23,26,22,16,14,11,5,8,5,9,6,7,6,4,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
45,47,28,23,27,24,12,17,16,9,9,3,6,3,7,2,4,1,3,1,3,0,3,2,0,0,1,0,1,0,0,0,0,0,0
46,38,25,24,27,19,12,13,8,10,6,10,3,10,7,5,1,3,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
47,43,22,26,26,22,15,15,5,7,10,10,1,10,7,3,3,3,4,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0
48,40,25,25,24,14,14,12,5,9,6,8,5,6,7,2,5,2,4,2,1,1,3,2,1,1,0,0,1,0,0,0,0,0,0
49,46,20,32,31,16,15,16,7,18,7,5,4,8,7,2,2,4,3,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0
50,40,27,36,24,19,11,13,11,18,7,7,9,7,7,2,5,2,4,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
