sentence_index,NN,JJ,NNS,NNP,IN,VBG,VB,RB,DT,CC,VBZ,VBP,PRP,CD,VBN,TO,PRP$,WRB,MD,VBD,WDT,WP,JJR,RBR,POS,RP,NNPS,(,),RBS,JJS,EX,FW,UH
1,15,7,8,1,12,4,9,5,5,4,4,4,8,0,0,4,2,1,4,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
2,18,10,5,0,10,2,7,4,9,3,5,4,10,0,5,3,2,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,14,13,12,1,16,9,8,8,5,5,5,3,12,1,2,5,5,1,3,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
4,13,11,13,0,12,6,4,7,9,4,1,4,7,1,2,4,5,1,2,6,0,1,2,1,1,1,0,0,0,0,0,0,0,0
5,8,8,15,0,10,8,4,14,7,5,5,4,6,0,4,3,4,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6,15,13,9,1,10,7,2,12,10,5,2,2,11,2,4,0,4,2,2,11,1,0,0,0,1,1,0,0,0,1,0,0,0,0
7,16,11,11,0,10,11,6,8,8,5,8,6,7,1,5,4,4,3,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
8,17,12,17,0,15,8,8,12,7,5,5,8,7,1,7,4,4,2,4,0,1,2,1,0,0,3,0,0,0,1,0,0,0,0
9,16,11,14,0,13,5,9,6,10,5,9,8,11,1,6,4,3,3,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10,16,14,8,0,11,7,10,12,10,3,4,2,6,2,2,3,0,1,3,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
11,20,12,17,0,15,15,6,5,11,3,9,6,5,1,4,2,3,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
12,24,8,11,0,15,9,4,8,11,5,7,5,3,1,4,4,1,2,2,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0
13,18,8,16,0,13,9,7,10,5,9,7,6,8,1,3,5,4,1,3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
14,19,13,18,0,15,11,4,8,12,7,4,4,6,0,2,1,3,3,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
15,23,18,21,0,19,7,8,4,12,6,7,2,6,0,3,3,2,2,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
16,28,24,14,1,13,8,4,8,11,6,8,8,6,0,1,2,3,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
17,32,19,14,1,18,7,10,11,20,8,9,6,8,0,4,4,2,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
18,33,21,22,22,16,13,14,11,13,8,8,6,6,6,2,5,4,3,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
19,31,20,29,23,16,12,14,10,11,8,8,7,4,7,8,7,3,4,2,4,1,3,0,0,0,1,0,0,0,0,1,0,0,0
20,39,31,28,19,19,20,14,6,11,7,6,8,5,8,3,6,3,2,3,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0
21,40,24,30,32,23,14,12,6,11,9,9,7,3,7,5,4,4,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
22,39,27,28,24,20,16,12,9,12,10,8,8,5,7,2,3,3,3,2,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0
23,39,25,25,25,20,14,18,14,12,7,9,9,5,7,5,6,2,2,2,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0
24,50,38,25,23,24,9,10,7,10,12,7,9,5,7,3,4,5,2,1,1,2,1,0,2,0,0,1,0,0,0,0,0,0,0
25,37,35,32,26,20,13,13,9,7,7,8,9,5,7,4,7,1,3,2,1,3,1,2,1,1,0,1,0,0,0,0,0,0,0
26,40,38,26,37,27,14,10,5,10,7,11,8,4,7,3,3,2,2,1,1,1,2,0,1,0,0,0,1,1,0,0,0,0,0
27,42,25,27,31,19,17,14,4,9,11,6,10,4,7,5,4,6,3,1,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0
28,33,25,33,23,27,13,16,9,12,4,9,5,5,7,6,5,4,3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0
29,42,30,22,28,28,16,15,9,11,7,5,6,3,7,3,5,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
30,42,32,29,28,29,15,16,8,9,7,5,5,3,7,6,4,1,3,1,1,0,1,1,1,1,0,0,2,2,0,0,0,0,1
31,39,37,34,32,25,13,12,2,8,5,8,5,5,7,4,5,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
32,31,26,29,26,21,19,13,16,11,5,7,8,5,7,8,2,2,2,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0
33,47,36,37,21,24,12,11,15,7,8,6,6,3,7,8,4,5,1,3,2,1,2,1,1,0,0,2,1,1,0,0,0,0,0
34,35,34,29,27,22,15,14,12,7,7,10,4,3,7,5,3,3,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
35,40,37,28,32,18,14,15,8,13,7,10,5,7,7,3,5,1,3,4,0,1,2,1,1,1,0,0,0,0,1,0,0,0,0
36,41,35,29,31,23,18,15,10,9,10,8,7,3,8,4,5,2,2,6,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
37,38,24,37,33,19,11,13,6,7,9,5,9,5,7,7,5,6,4,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
38,37,28,27,26,14,15,18,7,8,8,9,5,6,7,5,7,0,3,3,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0
39,46,24,28,31,15,15,10,6,9,11,11,5,3,7,7,4,3,4,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0
40,44,25,33,27,21,15,16,11,6,9,6,2,2,7,6,4,5,2,1,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0
41,32,31,33,27,18,15,19,8,10,10,10,8,7,7,3,6,3,5,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
42,35,36,36,19,22,13,15,8,7,9,5,6,3,7,4,3,3,2,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0
43,42,29,29,28,16,16,12,7,8,9,10,4,3,7,7,3,1,3,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
44,37,29,27,25,18,16,10,11,10,9,8,5,3,7,2,3,3,2,1,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0
45,36,32,36,26,19,12,9,6,8,9,6,6,2,7,2,4,3,2,1,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0
46,33,30,20,28,14,14,16,14,6,9,3,9,8,7,3,5,3,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
47,38,20,19,25,17,11,20,12,5,10,5,6,12,7,2,4,5,2,2,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0
48,35,26,26,27,18,11,15,7,5,8,4,4,8,7,2,2,4,3,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
49,38,33,24,26,12,16,12,19,6,6,4,8,8,7,1,2,3,4,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
50,38,34,28,28,12,18,13,26,6,10,10,4,3,7,3,2,1,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
