sentence_index,NN,IN,JJ,NNS,DT,VB,RB,PRP,VBP,VBG,CC,VBZ,MD,TO,VBN,WRB,VBD,JJR,PRP$,RBR,EX,NNP,WP,RP,WDT,JJS,CD,POS,UH,RBS,PDT,WP$
1,15,8,2,1,9,3,3,6,2,2,2,3,1,1,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2,11,10,14,4,5,3,8,9,9,4,4,3,1,1,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3,16,10,10,1,9,5,8,4,3,6,3,3,1,4,1,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
4,23,13,3,3,11,4,14,11,6,8,5,5,2,4,2,4,5,1,2,1,1,0,2,0,0,1,1,1,0,0,0,0
5,12,10,10,13,5,8,8,7,6,5,5,5,3,3,1,4,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
6,15,15,7,7,9,6,7,3,4,10,4,4,3,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
7,13,13,5,5,10,5,9,7,3,7,4,5,4,3,4,3,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0
8,14,14,11,9,9,4,8,7,7,5,6,6,1,2,4,3,3,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
9,11,9,5,7,5,9,9,8,5,5,4,4,2,6,1,5,3,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0
10,17,10,3,3,12,7,7,5,3,7,3,4,4,2,5,1,2,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
11,11,11,6,5,10,6,13,11,1,8,2,1,0,4,0,3,13,1,1,1,1,0,1,2,0,1,1,0,1,0,0,0
12,13,8,7,4,7,4,13,10,5,8,4,6,1,3,1,2,3,1,0,0,1,1,1,3,1,1,0,1,0,0,0,0
13,15,14,2,8,10,4,9,8,1,3,2,2,3,1,4,1,6,1,0,2,1,1,0,2,2,0,0,0,0,0,0,0
14,11,17,6,12,9,6,7,8,4,11,2,2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
15,17,13,6,7,7,10,6,9,5,4,3,4,4,3,1,2,1,1,1,0,2,1,0,2,1,0,0,0,0,0,0,0
16,15,9,16,7,5,9,5,8,6,5,6,4,3,4,0,0,2,1,1,1,1,3,2,1,1,0,0,0,0,0,0,0
17,18,15,7,6,11,7,7,9,8,5,3,3,5,1,1,1,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0
18,19,13,14,9,9,6,5,3,4,4,4,3,1,4,1,1,2,1,1,2,1,1,2,2,0,0,0,0,0,0,0,0
19,16,10,12,7,7,9,8,10,3,8,4,7,5,2,0,1,2,2,0,1,1,0,1,2,0,0,0,0,1,0,0,0
20,17,10,20,8,7,8,7,7,5,4,4,6,6,2,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
21,18,13,16,16,9,13,7,5,2,4,5,4,7,4,0,2,0,2,0,2,1,0,0,0,3,0,0,0,0,0,0,0
22,16,13,10,10,7,8,10,7,3,5,5,4,5,2,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0
23,13,11,7,8,10,9,8,6,4,5,5,5,2,3,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
24,15,13,11,8,12,9,6,7,6,4,4,5,4,5,1,1,0,2,0,0,1,0,2,1,1,0,1,0,0,0,0,0
25,26,13,13,7,6,7,5,4,7,1,5,5,1,3,2,2,0,2,0,1,3,7,2,2,0,0,0,0,0,0,0,1
26,13,14,12,14,9,9,6,6,7,4,4,5,4,4,0,1,2,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0
27,15,16,13,13,7,9,5,6,7,2,5,3,5,3,1,1,0,0,0,0,2,0,1,1,3,0,0,0,0,0,0,0
28,20,14,17,9,7,5,5,4,6,4,5,3,3,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
29,12,10,15,11,6,11,10,7,9,3,10,3,3,5,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
30,22,22,22,17,9,6,7,8,7,7,6,4,4,1,2,0,1,0,4,2,0,1,2,0,1,0,0,0,0,0,0,0
31,20,17,20,13,11,11,8,9,5,6,5,5,6,3,2,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
32,18,14,13,15,9,6,4,8,9,5,5,2,3,4,1,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0
33,22,11,17,9,10,7,4,4,6,4,6,1,2,4,3,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0
34,12,13,13,15,7,4,12,5,7,4,5,3,2,3,2,0,0,2,3,1,0,1,2,0,1,0,0,0,0,0,0,0
35,15,15,13,13,8,11,9,8,8,3,5,3,6,4,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36,17,15,19,17,7,8,4,5,3,5,9,6,5,3,2,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0
37,18,10,24,10,8,6,7,6,4,5,5,4,3,3,3,1,2,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0
