sentence_index,NN,IN,RB,JJ,NNS,VB,DT,PRP,VBG,VBP,CC,VBZ,TO,MD,VBN,PRP$,NNP,WP,RP,WRB,VBD,JJR,WDT,EX,POS,RBR,JJS,UH,CD,PDT,RBS,FW
1,15,9,4,9,9,4,5,5,5,5,1,6,1,1,0,0,2,2,1,2,0,0,1,0,0,1,0,1,1,0,0,1
2,14,9,7,3,4,9,6,7,6,2,2,4,1,2,3,0,2,1,2,1,0,1,0,0,2,0,1,1,0,0,0,0
3,16,9,6,7,5,4,6,3,2,3,2,7,1,0,0,1,1,1,0,2,1,1,1,0,1,0,0,1,0,0,0,0
4,21,14,15,4,3,5,9,4,6,1,3,3,4,1,1,2,2,1,1,2,2,1,0,0,0,1,1,2,0,1,0,0
5,10,9,7,5,3,8,3,9,5,7,5,3,0,2,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
6,12,11,6,7,3,6,3,5,9,3,2,6,3,2,2,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
7,12,14,5,7,6,4,7,7,8,6,5,4,2,1,2,1,1,1,0,2,0,1,0,0,1,0,2,1,0,0,0,0
8,6,6,7,3,5,5,3,7,6,5,3,5,2,2,3,1,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0
9,10,9,9,6,8,5,6,8,6,6,1,7,2,3,0,1,0,1,2,2,1,1,1,0,0,0,0,0,1,1,0,0
10,13,14,10,4,8,5,5,10,7,7,3,4,3,0,2,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
11,14,10,13,5,4,3,6,13,5,8,4,8,2,2,1,2,0,3,3,2,2,2,0,0,0,2,1,1,0,0,0,0
12,11,11,14,7,5,8,8,10,4,4,3,4,1,3,3,1,1,0,4,2,0,2,0,1,0,1,0,1,1,0,0,0
13,12,18,7,9,6,3,11,12,9,7,4,4,0,1,4,0,0,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0
14,14,14,16,6,7,6,6,8,6,6,2,3,3,1,1,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
